N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 11769431398084725929, Dim = 300
[10386258220820625000, 1, 1383173177264100929, -1383173177264100929]
[58447965370638136293, 5, 399191619785493352, -399191619785493352]
[11770158114000000000, 1, 726715915274071, 726715915274071]
[12654138648990275388, 1, 884707250905549459, 884707250905549459]
[82387655470916720496, 7, 1635684323638993, 1635684323638993]
[11375796674617049961, 1, 393634723467675968, -393634723467675968]
[23094788341113873475, 2, 444074455055578383, -444074455055578383]
[11770656473877310625, 1, 1225075792584696, 1225075792584696]
[188281765832543371989, 16, 29136536812242875, -29136536812242875]
[23262374393859755859375, 1976, 5977951244337423671, 5977951244337423671]
[82122350365369823535, 7, 263669421223257968, -263669421223257968]
[11721196260188197640, 1, 48235137896528289, -48235137896528289]
[11853556702968953742, 1, 84125304884227813, 84125304884227813]
[22479913281850859835, 1, 10710481883766133906, 10710481883766133906]
[11769196037721615675, 1, 235360363110254, -235360363110254]
[11876515712321465205, 1, 107084314236739276, 107084314236739276]
[11731370552061724655, 1, 38060846023001274, -38060846023001274]
[7356006619028451932912, 625, 111995225498227287, 111995225498227287]
[23311400733789823655, 2, 227462062379628203, -227462062379628203]
[106867483863868911425, 9, 942601281106378064, 942601281106378064]
[69289161368444824218750, 5887, 2518727920042674727, 2518727920042674727]
[7896065327720927500, 1, 3873366070363798429, -3873366070363798429]
[11755815554010581361, 1, 13615844074144568, -13615844074144568]
[88334862034279560128, 7, 5948842247686478625, 5948842247686478625]
[152871407881988400000, 13, 131200293113037077, -131200293113037077]
[12208678705827945693, 2, 11330184090341506165, -11330184090341506165]
[1223245127616896927245, 104, 775737783914569371, -775737783914569371]
[10406160608839603608, 1, 1363270789245122321, -1363270789245122321]
[8099874296271331200, 1, 3669557101813394729, -3669557101813394729]
[11773023789984977520, 1, 3592391900251591, 3592391900251591]
[152992908063831456000, 13, 9700111269981077, -9700111269981077]
[341350773504851247280, 29, 37262960394195339, 37262960394195339]
[1415424435245501644035, 121, 8676763922750193374, -8676763922750193374]
[11839236218810000000, 1, 69804820725274071, 69804820725274071]
[11712490865127343750, 1, 56940532957382179, -56940532957382179]
[200080332641601562500, 17, 1125838778293, -1125838778293]
[13572837099544627520, 1, 1803405701459901591, 1803405701459901591]
[11800321260628824000, 1, 30889862544098071, 30889862544098071]
[60893893894825444453, 5, 2046736904401814808, 2046736904401814808]
[11699109533222974044, 1, 70321864861751885, -70321864861751885]
[3978299559364364151225, 338, 231746811726787223, 231746811726787223]
[59428975419389806195, 3, 24120681225135628408, 24120681225135628408]
[184690549187549279329, 16, 3620353181806335535, -3620353181806335535]
[94262400964143393135, 8, 106949779465585703, 106949779465585703]
[129187015280151562500, 11, 276730098780422719, -276730098780422719]
[31246833960099628750, 3, 4061460234154549037, -4061460234154549037]
[24076117834710757425, 2, 537255038541305567, 537255038541305567]
[7261108199795705112, 1, 4508323198289020817, -4508323198289020817]
[16249260610110029544, 1, 4479829212025303615, 4479829212025303615]
[12268702382832881568, 1, 499270984748155639, 499270984748155639]
[35216150075589683200, 3, 92144118664494587, -92144118664494587]
[23429205916552734375, 2, 109656879616717483, -109656879616717483]
[441807935664921380555, 38, 5430457462298204747, -5430457462298204747]
[46825635137805234375, 4, 252090454533669341, -252090454533669341]
[611937339900509810495, 52, 73092799895937813, -73092799895937813]
[75664493784663840230, 3, 40356199590409662443, 40356199590409662443]
[68294856954163769501, 5, 9447699963740139856, 9447699963740139856]
[2871704439345724606437, 245, 11806253185033246168, -11806253185033246168]
[7070463567746226065, 1, 4698967830338499864, -4698967830338499864]
[11311543759992097592334, 961, 1120186432675974565, 1120186432675974565]
[10383640719232967802, 1, 1385790678851758127, -1385790678851758127]
[11798913966777074025, 1, 29482568692348096, 29482568692348096]
[2801218036457564383725, 238, 93363713399612623, 93363713399612623]
[105610973705617842176, 9, 313908877144691185, -313908877144691185]
[32748581659200929275, 3, 2559712535053248512, -2559712535053248512]
[11787060748814300125, 1, 17629350729574196, 17629350729574196]
[669562871104736328125, 57, 1294718586093049828, -1294718586093049828]
[318101704120572968750, 27, 327056372285368667, 327056372285368667]
[11505690205348100489, 1, 263741192736625440, -263741192736625440]
[45411737988011621655, 4, 1665987604327282061, -1665987604327282061]
[294089347078407564788, 25, 146437873710583437, -146437873710583437]
[1471008989560087693404, 125, 169935200503047721, -169935200503047721]
[117701635469301816471, 10, 7321488454557181, 7321488454557181]
[177793446901334708444, 15, 1251975930063819509, 1251975930063819509]
[11590996130439287562, 1, 178435267645438367, -178435267645438367]
