N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 1458932014483, Dim = 130
[414998793616, 1, 1043933220867, -1043933220867]
[2546344345545, 1, 1087412331062, 1087412331062]
[1463258671875, 1, 4326657392, 4326657392]
[980906239456, 1, 478025775027, -478025775027]
[1883021765625, 1, 424089751142, 424089751142]
[1377891961875, 1, 81040052608, -81040052608]
[1481358278400, 1, 22426263917, 22426263917]
[1465564100000, 1, 6632085517, 6632085517]
[2930058338207, 2, 12194309241, 12194309241]
[1448646051125, 1, 10285963358, -10285963358]
[10204191360000, 7, 8332741381, -8332741381]
[46724894801585, 32, 39070338129, 39070338129]
[3337860107421875, 2288, 176341715229, -176341715229]
[1456079336985, 1, 2852677498, -2852677498]
[4007685032273, 1, 2548753017790, 2548753017790]
[13293357295790, 9, 162969165443, 162969165443]
[689931383680, 1, 769000630803, -769000630803]
[1480767445443, 1, 21835430960, 21835430960]
[283596799563, 1, 1175335214920, -1175335214920]
[1803476549875, 1, 344544535392, 344544535392]
[1522415269375, 1, 63483254892, 63483254892]
[11745706651679, 5, 4451046579264, 4451046579264]
[1431812195940, 1, 27119818543, -27119818543]
[3591955266284, 1, 2133023251801, 2133023251801]
[14835816806250, 13, 4130299382029, -4130299382029]
[3191640568688, 3, 1185155474761, -1185155474761]
[1443622511760, 1, 15309502723, -15309502723]
[6119624671875, 4, 283896613943, 283896613943]
[13522710968715, 7, 3310186867334, 3310186867334]
[1608932432250, 1, 150000417767, 150000417767]
[2778905329200, 1, 1319973314717, 1319973314717]
[796584140625, 1, 662347873858, -662347873858]
[5875708383363, 4, 39980325431, 39980325431]
[1484118670320, 1, 25186655837, 25186655837]
[13010874296875, 9, 119513833472, -119513833472]
[1610650284375, 1, 151718269892, 151718269892]
[1592154083520, 1, 133222069037, 133222069037]
[1458380859375, 1, 551155108, -551155108]
[1557994838400, 1, 99062823917, 99062823917]
[1170227234176, 1, 288704780307, -288704780307]
[4158604750300, 3, 218191293149, -218191293149]
[72110595736400, 49, 622927026733, 622927026733]
[7361783367939, 5, 67123295524, 67123295524]
[10839916985625, 8, 831539130239, -831539130239]
[1364343750000, 1, 94588264483, -94588264483]
[1489560187500, 1, 30628173017, 30628173017]
[1461617500000, 1, 2685485517, 2685485517]
[188121704734678, 125, 5755202924303, 5755202924303]
[1382041024875, 1, 76890989608, -76890989608]
[24899927616960, 17, 98083370749, 98083370749]
[1458134379520, 1, 797634963, -797634963]
[65270196479488, 45, 381744172247, -381744172247]
[23338871658531, 16, 4040573197, -4040573197]
[1494732271484375, 1053, 41523139766224, -41523139766224]
[63376234228125, 44, 816774409127, -816774409127]
[1466762393600, 1, 7830379117, 7830379117]
[25191142705820, 17, 389298459609, 389298459609]
[1433073261312, 1, 25858753171, -25858753171]
[24802055313750, 17, 211067539, 211067539]
[19236565794600, 13, 270449606321, 270449606321]
[111612119056000, 77, 725646059191, -725646059191]
[703107519750713, 480, 2820152798873, 2820152798873]
