N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 673988410211, Dim = 120
[664272984375, 1, 9715425836, -9715425836]
[569376843750, 1, 104611566461, -104611566461]
[733873609755, 1, 59885199544, 59885199544]
[697415468750, 1, 23427058539, 23427058539]
[571286014299, 1, 102702395912, -102702395912]
[243323437500, 1, 430664972711, -430664972711]
[949228957215, 1, 275240547004, 275240547004]
[1362241830950, 3, 659723399683, -659723399683]
[344030029343, 2, 1003946791079, -1003946791079]
[299746321875, 1, 374242088336, -374242088336]
[690923920687, 5, 2679018130368, -2679018130368]
[2479280132329, 3, 457314901696, 457314901696]
[677279728125, 1, 3291317914, 3291317914]
[813465402750, 1, 139476992539, 139476992539]
[437937500000, 1, 236050910211, -236050910211]
[4162673869263, 5, 792731818208, 792731818208]
[2686846096935, 4, 9107543909, -9107543909]
[5654137409375, 6, 1610206948109, 1610206948109]
[10742303013750, 13, 1980453681007, 1980453681007]
[524861926875, 1, 149126483336, -149126483336]
[574661587500, 1, 99326822711, -99326822711]
[1283144424133, 3, 738820806500, -738820806500]
[3034084078025, 4, 338130437181, 338130437181]
[1193457927025, 2, 154518893397, -154518893397]
[9771638306859, 14, 335800563905, 335800563905]
[738632422528, 1, 64644012317, 64644012317]
[20747657154224, 27, 2549970078527, 2549970078527]
[5979710894300, 9, 86184797599, -86184797599]
[5441536913813, 8, 49629632125, 49629632125]
[645770361600, 1, 28218048611, -28218048611]
[633113505024, 1, 40874905187, -40874905187]
[691161163875, 1, 17172753664, 17172753664]
[2001699218750, 3, 20266011883, -20266011883]
[670029744384, 1, 3958665827, -3958665827]
[87815859307813, 135, 3172576070672, -3172576070672]
[84194329391744, 125, 54221884631, -54221884631]
[668544274944, 1, 5444135267, -5444135267]
[8718953906250, 13, 42895426493, -42895426493]
[43821621499392, 65, 12374835677, 12374835677]
[898825728819200, 1331, 1747154828359, 1747154828359]
[201989373586, 1, 471999036625, -471999036625]
[2064325916250, 1, 1390337506039, 1390337506039]
[394225469330, 1, 279762940881, -279762940881]
[443887638843, 1, 230100771368, -230100771368]
[256979311160, 1, 417009099051, -417009099051]
[1320533409195, 1, 646544998984, 646544998984]
[1290925465258, 3, 731039765375, -731039765375]
[350477501880, 1, 323510908331, -323510908331]
[170999925525, 1, 502988484686, -502988484686]
[1218953916180, 1, 544965505969, 544965505969]
[683043059160, 1, 9054648949, 9054648949]
[1884613112382, 5, 1485328938673, -1485328938673]
[1243619513136, 1, 569631102925, 569631102925]
[625070875000, 1, 48917535211, -48917535211]
[368051612110, 1, 305936798101, -305936798101]
[1571033134957, 7, 3146885736520, -3146885736520]
[634701249455, 2, 713275570967, -713275570967]
[1606388437500, 1, 932400027289, 932400027289]
[1065304262880, 1, 391315852669, 391315852669]
[625012171875, 1, 48976238336, -48976238336]
[290894553950, 1, 383093856261, -383093856261]
[666410995600, 1, 7577414611, -7577414611]
[1548207813229, 5, 1821734237826, -1821734237826]
[821665232388, 1, 147676822177, 147676822177]
[1994651862840, 1, 1320663452629, 1320663452629]
[551958467346, 1, 122029942865, -122029942865]
[231663822390, 1, 442324587821, -442324587821]
[397613266050, 1, 276375144161, -276375144161]
[3988007188737, 4, 1292053547893, 1292053547893]
[174073583860, 1, 499914826351, -499914826351]
[492506632800, 1, 181481777411, -181481777411]
[671159737248, 1, 2828672963, -2828672963]
[453568500000, 1, 220419910211, -220419910211]
[4594175920477, 9, 1471719771422, -1471719771422]
[440267397570, 1, 233721012641, -233721012641]
[454825504497, 2, 893151315925, -893151315925]
[1444445832963, 1, 770457422752, 770457422752]
[1574228112611, 1, 900239702400, 900239702400]
[1034124609375, 2, 313852211047, -313852211047]
[339565733793, 1, 334422676418, -334422676418]
[1296259868007, 5, 2073682183048, -2073682183048]
[7471036219311, 13, 1290813113432, -1290813113432]
[1331150935400, 1, 657162525189, 657162525189]
[633466360836, 1, 40522049375, -40522049375]
[288519904530, 1, 385468505681, -385468505681]
[2515363286777, 2, 1167386466355, 1167386466355]
[803515625000, 1, 129527214789, 129527214789]
[1152846627075, 1, 478858216864, 478858216864]
[579662717283, 1, 94325692928, -94325692928]
[704999724000, 1, 31011313789, 31011313789]
[750974251456, 1, 76985841245, 76985841245]
[675131096640, 1, 1142686429, 1142686429]
[1665056032640, 1, 991067622429, 991067622429]
[2400819467200, 3, 378854236567, 378854236567]
[18966436588099, 17, 7508633614512, 7508633614512]
[339304062500, 1, 334684347711, -334684347711]
[263944317015, 1, 410044093196, -410044093196]
[3248150651460, 7, 1469768220017, -1469768220017]
[487011837312, 1, 186976572899, -186976572899]
[2371757529940, 9, 3694138161959, -3694138161959]
[337341571875, 1, 336646838336, -336646838336]
[193868136000, 1, 480120274211, -480120274211]
[522620555625, 1, 151367854586, -151367854586]
[436073581125, 1, 237914829086, -237914829086]
[502968070836, 1, 171020339375, -171020339375]
[478690641000, 1, 195297769211, -195297769211]
[4376869981869, 4, 1680916341025, 1680916341025]
[16752202692498, 25, 97507562777, -97507562777]
[703076171875, 1, 29087761664, 29087761664]
[2374178386125, 2, 1026201565703, 1026201565703]
[997830064176, 1, 323841653965, 323841653965]
[663796875000, 1, 10191535211, -10191535211]
[4211642056545, 8, 1180265225143, -1180265225143]
[772083984375, 1, 98095574164, 98095574164]
[593870973696, 1, 80117436515, -80117436515]
[4368648289720, 7, 349270581757, -349270581757]
[6353150825259, 5, 2983208774204, 2983208774204]
[9865070848672, 15, 244755304493, -244755304493]
[651867898500, 1, 22120511711, -22120511711]
[599002171875, 1, 74986238336, -74986238336]
[4806881312233, 9, 1259014379666, -1259014379666]
[538829541120, 1, 135158869091, -135158869091]
[751270704800, 1, 77282294589, 77282294589]
[127133179362225, 169, 13229138036566, 13229138036566]
[542226003515625, 686, 79869954110879, 79869954110879]
[583664400000, 1, 90324010211, -90324010211]
