N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 16668371, Dim = 30
[22674816, 1, 6006445, 6006445]
[14348907, 1, 2319464, -2319464]
[10546875, 1, 6121496, -6121496]
[18007500, 1, 1339129, 1339129]
[34034175, 2, 697433, 697433]
[33339600, 1, 16671229, 16671229]
[24504606, 1, 7836235, 7836235]
[16800000, 1, 131629, 131629]
[41177150, 3, 8827963, -8827963]
[120932352, 7, 4253755, 4253755]
[5760000000, 343, 42748747, 42748747]
[15688134, 1, 980237, -980237]
[14790160, 1, 1878211, -1878211]
[21789075, 1, 5120704, 5120704]
[5810420, 1, 10857951, -10857951]
[21741885, 1, 5073514, 5073514]
[51878750, 1, 35210379, 35210379]
[17151750, 1, 483379, 483379]
[17217816, 1, 549445, 549445]
[11647251, 1, 5021120, -5021120]
[19487171, 1, 2818800, 2818800]
[4584195, 1, 12084176, -12084176]
[116923026, 5, 33581171, 33581171]
[17187500, 1, 519129, 519129]
[32019867, 2, 1316875, -1316875]
[36602500, 3, 13402613, -13402613]
[63412811, 4, 3260673, -3260673]
[20870080, 1, 4201709, 4201709]
[67381875, 4, 708391, 708391]
[15523200, 1, 1145171, -1145171]
[174330387, 10, 7646677, 7646677]
[16866432, 1, 198061, 198061]
[16238475, 1, 429896, -429896]
[1647086000, 99, 3082729, -3082729]
[184528125, 11, 1176044, 1176044]
[2249794624, 135, 435461, -435461]
