N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 10404327652314191, Dim = 240
[4506583004972201335, 432, 11913459172470823, 11913459172470823]
[10739390656044050, 1, 335063003729859, 335063003729859]
[63700595218134875, 6, 1274629304249729, 1274629304249729]
[583483685064129135, 56, 841336534534439, 841336534534439]
[82049017553301799, 8, 1185603665211729, -1185603665211729]
[52075496201257606, 5, 53857939686651, 53857939686651]
[27193989760815605, 2, 6385334456187223, 6385334456187223]
[521153952686219853, 50, 937570070510303, 937570070510303]
[47232415774001458, 5, 4789222487569497, -4789222487569497]
[42501402511570625, 4, 884091902313861, 884091902313861]
[176794821328125000, 17, 78748761216247, -78748761216247]
[10473894669580056, 1, 69567017265865, 69567017265865]
[112629697473345381, 11, 1817906702110720, -1817906702110720]
[333333790666797375, 32, 395305792743263, 395305792743263]
[8911314857969216, 1, 1493012794344975, -1493012794344975]
[10026141757872240, 1, 378185894441951, -378185894441951]
[20384457788695000, 1, 9980130136380809, 9980130136380809]
[14533038696940192, 1, 4128711044626001, 4128711044626001]
[3488474875548663, 1, 6915852776765528, -6915852776765528]
[3073761079154766, 1, 7330566573159425, -7330566573159425]
[19456152265845238671, 1870, 59556017701501, 59556017701501]
[10019091149746250, 1, 385236502567941, -385236502567941]
[4310908118006490, 1, 6093419534307701, -6093419534307701]
[10429483730640975, 1, 25156078326784, 25156078326784]
[11339609531250000, 1, 935281878935809, 935281878935809]
[10646260625000000, 1, 241932972685809, 241932972685809]
[10261171777532416, 1, 143155874781775, -143155874781775]
[25600997340343502, 3, 5611985616599071, -5611985616599071]
[10980274141534005, 1, 575946489219814, 575946489219814]
[11769722304743205, 1, 1365394652429014, 1365394652429014]
[10432270327238991, 1, 27942674924800, 27942674924800]
[20741016358955475, 2, 67638945672907, -67638945672907]
[134808822558246375, 13, 447436921838108, -447436921838108]
[51402487079734812, 5, 619151181836143, -619151181836143]
[34144769236430853, 1, 23740441584116662, 23740441584116662]
[10625114253600000, 1, 220786601285809, 220786601285809]
[194073049070266730, 19, 3609176323702899, -3609176323702899]
[344458009776400000, 33, 1115197250031697, 1115197250031697]
[8622730530173760, 1, 1781597122140431, -1781597122140431]
[7445006434120710, 1, 2959321218193481, -2959321218193481]
[28059356197738229, 3, 3153626759204344, -3153626759204344]
[14255749773722457, 2, 6552905530905925, -6552905530905925]
[166419390316308129, 16, 49852120718927, -49852120718927]
[114437092721527296, 11, 10511453928805, -10511453928805]
[11990137058927300, 1, 1585809406613109, 1585809406613109]
[256809007500708663, 25, 3299183807146112, -3299183807146112]
[9703945400774625, 1, 700382251539566, -700382251539566]
[6910165996699680, 1, 3494161655614511, -3494161655614511]
[10116125809161372, 1, 288201843152819, -288201843152819]
[10365626530980864, 1, 38701121333327, -38701121333327]
[114098271158334736, 11, 349333017121365, -349333017121365]
[789613631314883375, 76, 1115270260995141, -1115270260995141]
[10093613235956250, 1, 310714416357941, -310714416357941]
[10449577347709500, 1, 45249695395309, 45249695395309]
[1830102759243290259, 176, 1058907564007357, -1058907564007357]
[1264154879651113125, 121, 5231233721096014, 5231233721096014]
[82656657588847342, 5, 30635019327276387, 30635019327276387]
