N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 1034879359475633166138643, Dim = 1200
[1033813217109045895144350, 1, 1066142366587270994293, -1066142366587270994293]
[1035182569195752597409405, 1, 303209720119431270762, 303209720119431270762]
[1032466560683643273806475, 1, 2412798791989892332168, -2412798791989892332168]
[1035101979896673583984375, 1, 222620421040417845732, 222620421040417845732]
[1034605260894414696592875, 1, 274098581218469545768, -274098581218469545768]
[1032814484989324545292785, 1, 2064874486308620845858, -2064874486308620845858]
[25902853301590012521908862, 25, 30869314699183368442787, 30869314699183368442787]
[1061506376208778665826980, 1, 26627016733145499688337, 26627016733145499688337]
[1032987809960538625493685, 1, 1891549515094540644958, -1891549515094540644958]
[1034855009821408538750000, 1, 24349654224627388643, -24349654224627388643]
[23692571506003597308167364, 23, 109653761935965513021425, -109653761935965513021425]
[1036201316504627139666345, 1, 1321957028993973527702, 1321957028993973527702]
[1007179038809404037957835, 1, 27700320666229128180808, -27700320666229128180808]
[1032924692477995905489264, 1, 1954666997637260649379, -1954666997637260649379]
[7267920211005190978109440, 7, 23764694675758815138939, 23764694675758815138939]
[11234731811873071178987505, 11, 148941142358893648537568, -148941142358893648537568]
[2070916378449105078862775, 2, 1157659497838746585489, 1157659497838746585489]
[1032980376092749698420378, 1, 1898983382883467718265, -1898983382883467718265]
[1034766979058550159579651, 1, 112380417083006558992, -112380417083006558992]
[5727004266385118284306255, 1, 4692124906909485118167612, 4692124906909485118167612]
[2114609830752411162843431, 2, 44851111801144830566145, 44851111801144830566145]
[1045628440601307908681050, 1, 10749081125674742542407, 10749081125674742542407]
[1034938152500000704350318, 1, 58793024367538211675, 58793024367538211675]
[994524554002988054921875, 1, 40354805472645111216768, -40354805472645111216768]
[1035025598508390858162728, 1, 146239032757692024085, 146239032757692024085]
[2032210731347449218735169, 2, 37547987603817113542117, -37547987603817113542117]
[5186612068241396216476962, 5, 12215270863230385783747, 12215270863230385783747]
[1017087375285634807504896, 1, 17791984189998358633747, -17791984189998358633747]
[17603408247936316366178800, 17, 10459136850552541821869, 10459136850552541821869]
[17628791657991105384153088, 17, 35842546905341559796157, 35842546905341559796157]
[1031473386409247669960800, 1, 3405973066385496177843, -3405973066385496177843]
[7263114195572840284007900, 7, 18958679243408121037399, 18958679243408121037399]
[1035050037220564358022315, 1, 170677744931191883672, 170677744931191883672]
[1034847015905107052995375, 1, 32343570526113143268, -32343570526113143268]
[1034790491688253579574736, 1, 88867787379586563907, -88867787379586563907]
[1034831034958477805088768, 1, 48324517155361049875, -48324517155361049875]
[17593239048350826254249856, 17, 289937265062429892925, 289937265062429892925]
[5181035111821124320125438, 5, 6638314442958489432223, 6638314442958489432223]
[31046053200228048818670527, 30, 327584040946165488763, -327584040946165488763]
[13454101102383976905863014, 13, 669429200745746060655, 669429200745746060655]
[1035378166603242560643072, 1, 498807127609394504429, 498807127609394504429]
[1038347893035528884645625, 1, 3468533559895718506982, 3468533559895718506982]
[4139868420573931514263277, 4, 350982671398849708705, 350982671398849708705]
[25870442863061469276002581, 25, 1541123829359877463494, -1541123829359877463494]
[7229463155267480866652160, 7, 14692361061951296318341, -14692361061951296318341]
[1042626214476141644240275, 1, 7746855000508478101632, 7746855000508478101632]
[1033746056477120506609375, 1, 1133302998512659529268, -1133302998512659529268]
[1036273899207920419921875, 1, 1394539732287253783232, 1394539732287253783232]
[24832460131304264892578125, 24, 4644496110931094749307, -4644496110931094749307]
