N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 220190119273699, Dim = 200
[218515776879400, 1, 1674342394299, -1674342394299]
[239491972617975, 1, 19301853344276, 19301853344276]
[245048843239200, 1, 24858723965501, 24858723965501]
[335708326848125, 2, 104671911699273, -104671911699273]
[1250068112109375, 7, 291262722806518, -291262722806518]
[626621383500035, 4, 254139093594761, -254139093594761]
[208953338343750, 1, 11236780929949, -11236780929949]
[959613096613724, 5, 141337499754771, -141337499754771]
[2181345521026100, 9, 199634447562809, 199634447562809]
[4704421034347125, 22, 139761589674253, -139761589674253]
[215378947265625, 1, 4811172008074, -4811172008074]
[472150160757275, 2, 31769922209877, 31769922209877]
[234726651489330, 1, 14536532215631, 14536532215631]
[210764424994200, 1, 9425694279499, -9425694279499]
[217455107950080, 1, 2735011323619, -2735011323619]
[1077424308934974, 5, 23526287433521, -23526287433521]
[212521697256960, 1, 7668422016739, -7668422016739]
[451663207734375, 2, 11282969186977, 11282969186977]
[215924080335600, 1, 4266038938099, -4266038938099]
[5010337781998250, 21, 386345277250571, 386345277250571]
[27347144849593569, 125, 176620059618806, -176620059618806]
[4548914685493750, 21, 75077819253929, -75077819253929]
[215429943987882, 1, 4760175285817, -4760175285817]
[218079400000000, 1, 2110719273699, -2110719273699]
[658978706376250, 3, 1591651444847, -1591651444847]
[430247877184125, 2, 10132361363273, -10132361363273]
[2421256370070930, 11, 834941939759, -834941939759]
[217559703961600, 1, 2630415312099, -2630415312099]
[37401234210182150, 169, 189104052927019, 189104052927019]
[220195165132800, 1, 5045859101, 5045859101]
[412885080219820208, 1875, 28606581634583, 28606581634583]
[48505572093440000, 221, 156444266047479, -156444266047479]
[11275034457836976827, 51200, 1300351023588027, 1300351023588027]
[2645781409132068636, 12005, 2399027251312141, 2399027251312141]
[483971593114979200, 2197, 213901070662497, 213901070662497]
[357808491685680651, 1625, 452134080224, -452134080224]
[1101135315861504, 5, 184719493009, 184719493009]
[6512692699402015104, 29575, 569921882367179, 569921882367179]
[4321311188228125, 18, 357889041301543, 357889041301543]
[297353729707125, 1, 77163610433426, 77163610433426]
[2656913071492735, 14, 425748598339051, -425748598339051]
[223528569081818, 1, 3338449808119, 3338449808119]
[389926865687128, 1, 169736746413429, 169736746413429]
