N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 73986123192697, Dim = 190
[64842711153220, 1, 9143412039477, -9143412039477]
[600120309262500, 7, 82217446913621, 82217446913621]
[107698175812500, 1, 33712052619803, 33712052619803]
[62220584765625, 1, 11765538427072, -11765538427072]
[161848818611025, 2, 13876572225631, 13876572225631]
[183370094496875, 3, 38588275081216, -38588275081216]
[76157995753125, 1, 2171872560428, 2171872560428]
[69995891566216, 1, 3990231626481, -3990231626481]
[49244032165328, 1, 24742091027369, -24742091027369]
[48126568359375, 1, 25859554833322, -25859554833322]
[72432302556250, 1, 1553820636447, -1553820636447]
[59395875000000, 1, 14590248192697, -14590248192697]
[75447673437500, 1, 1461550244803, 1461550244803]
[224403961796875, 3, 2445592218784, 2445592218784]
[237468860171543, 3, 15510490593452, 15510490593452]
[223124067200650, 3, 1165697622559, 1165697622559]
[574121650781250, 7, 56218788432371, 56218788432371]
[73842463695000, 1, 143659497697, -143659497697]
[77031115536375, 1, 3044992343678, 3044992343678]
[76169254795920, 1, 2183131603223, 2183131603223]
[2631066414100839, 35, 41552102356444, 41552102356444]
[3275990088229625, 44, 20600667750957, 20600667750957]
[74085448937500, 1, 99325744803, 99325744803]
[77526906632500, 1, 3540783439803, 3540783439803]
[14968754710833825, 208, 420358913247151, -420358913247151]
[1846060475991732, 25, 3592603825693, -3592603825693]
[139759554515625, 2, 8212691869769, -8212691869769]
[372356055773548, 5, 2425439810063, 2425439810063]
[1165624682347125, 16, 18153288736027, -18153288736027]
[75664230468750, 1, 1678107276053, 1678107276053]
[75386083500000, 1, 1399960307303, 1399960307303]
[73771233325218, 1, 214889867479, -214889867479]
[952133642578125, 13, 9685958926936, -9685958926936]
[74007830856960, 1, 21707664263, 21707664263]
[967246875000000, 13, 5427273494939, 5427273494939]
[277487669594953125, 3757, 478195240009504, -478195240009504]
[73637200000000, 1, 348923192697, -348923192697]
[4134043475315325, 56, 9179423475707, -9179423475707]
[46212944517003264, 625, 28382478432361, -28382478432361]
[62703899706093750, 847, 37653361879391, 37653361879391]
[74050383052800, 1, 64259860103, 64259860103]
[233727320564531200, 3159, 5157398801377, 5157398801377]
[84852650045625, 1, 10866526852928, 10866526852928]
[70798507073125, 1, 3187616119572, -3187616119572]
[59116248547785, 1, 14869874644912, -14869874644912]
[75160311302076, 1, 1174188109379, 1174188109379]
[72945380796750, 1, 1040742395947, -1040742395947]
[140640885542521, 1, 66654762349824, 66654762349824]
[53321673340000, 1, 20664449852697, -20664449852697]
[72784084109100, 1, 1202039083597, -1202039083597]
[39278940180558, 1, 34707183012139, -34707183012139]
[81211817631945, 1, 7225694439248, 7225694439248]
[102511122079509, 2, 45461124305885, -45461124305885]
[261829795658145, 4, 34114697112643, -34114697112643]
[113304298061500, 1, 39318174868803, 39318174868803]
[92909379751650, 1, 18923256558953, 18923256558953]
[71142946875000, 1, 2843176317697, -2843176317697]
[104406818196681, 1, 30420695003984, 30420695003984]
[126457954521822, 1, 52471831329125, 52471831329125]
[74790330230000, 1, 804207037303, 804207037303]
[950396436484375, 13, 11423165020686, -11423165020686]
[72657658616400, 1, 1328464576297, -1328464576297]
[68337828631072, 1, 5648294561625, -5648294561625]
[300608970537603, 5, 69321645425882, -69321645425882]
[48946763490625, 1, 25039359702072, -25039359702072]
[73980400606596, 1, 5722586101, -5722586101]
[62566609049217, 1, 11419514143480, -11419514143480]
[59226024664872, 1, 14760098527825, -14760098527825]
[103917970125585, 1, 29931846932888, 29931846932888]
[78941575004292, 1, 4955451811595, 4955451811595]
[171775532500000, 3, 50182837078091, -50182837078091]
[970206179314295, 13, 8386577809234, 8386577809234]
[222945480901000, 3, 987111322909, 987111322909]
[69651435800375, 1, 4334687392322, -4334687392322]
[213608662169903, 3, 8349707408188, -8349707408188]
[490959052645750, 7, 26943809703129, -26943809703129]
[225925357030516, 3, 3966987452425, 3966987452425]
[63289647926505, 1, 10696475266192, -10696475266192]
[72667438593750, 1, 1318684598947, -1318684598947]
[555768158359375, 7, 37865296010496, 37865296010496]
[75007324218750, 1, 1021201026053, 1021201026053]
[3259981547265625, 33, 818439481906624, 818439481906624]
[1181986292317922, 15, 72194444427467, 72194444427467]
[70519609573875, 1, 3466513618822, -3466513618822]
[302155416308295, 4, 6210923537507, 6210923537507]
[78639832521250, 1, 4653709328553, 4653709328553]
[56916754486515, 1, 17069368706182, -17069368706182]
[289673591796875, 3, 67715222218784, 67715222218784]
[10998488338205069, 110, 2860014787008399, 2860014787008399]
[651355105181907, 11, 162492249937760, -162492249937760]
[120868538415625, 2, 27103707969769, -27103707969769]
[691422816523530, 11, 122424538596137, -122424538596137]
[65460148309920, 1, 8525974882777, -8525974882777]
[492461848456875, 7, 25441013892004, -25441013892004]
[115184935490625, 2, 32787310894769, -32787310894769]
[256719919523067, 4, 39224573247721, -39224573247721]
[1302244992837789, 19, 103491347823454, -103491347823454]
[3031436500241875, 39, 145977695726692, 145977695726692]
[73898694533664, 1, 87428659033, -87428659033]
[1484021289829617, 25, 365631789987808, -365631789987808]
[221391973746944, 3, 566395831147, -566395831147]
[74033218191240, 1, 47094998543, 47094998543]
[2497896300061019, 27, 500270973858200, 500270973858200]
[73792064586240, 1, 194058606457, -194058606457]
[2288075504622908, 25, 438422424805483, 438422424805483]
[1036325438671875, 14, 519713974117, 519713974117]
[77401598301027, 1, 3415475108330, 3415475108330]
[662900581427084, 9, 2974527307189, -2974527307189]
[151562962890625, 2, 3590716505231, 3590716505231]
[1657194971656250, 21, 103486384609613, 103486384609613]
[813810207619500, 11, 37147500167, -37147500167]
[73296373150000, 1, 689750042697, -689750042697]
[401456212493193, 5, 31525596529708, 31525596529708]
[527866300164060, 7, 9963437815181, 9963437815181]
[3385291601562500, 51, 388000681265047, -388000681265047]
[154177365313125, 2, 6205118927731, 6205118927731]
[147947976815625, 2, 24269569769, -24269569769]
[191506700000000, 3, 30451669578091, -30451669578091]
[1925474951227737, 25, 75821871410312, 75821871410312]
[1286472166980000, 17, 28708072704151, 28708072704151]
[372258289589004, 5, 2327673625519, 2327673625519]
[1196714478799125, 16, 12936507715973, 12936507715973]
[70203616323750, 1, 3782506868947, -3782506868947]
[73984231421100, 1, 1891771597, -1891771597]
[234847131721972, 3, 12888762143881, 12888762143881]
[73564311300480, 1, 421811892217, -421811892217]
[156745810546875, 2, 8773564161481, 8773564161481]
[367370175054168, 5, 2560440909317, -2560440909317]
[665874780484375, 9, 328249898, -328249898]
[28723077354704348, 375, 978281157442973, 978281157442973]
[9102119772262275, 128, 368103996402941, -368103996402941]
[2438774494142415, 32, 71218551976111, 71218551976111]
[366642584849772, 5, 3288031113713, -3288031113713]
[1852824991635423, 25, 3171911817998, 3171911817998]
[16134384888950000, 221, 216548336636037, -216548336636037]
[74159386875000, 1, 173263682303, 173263682303]
[1852860548448052, 25, 3207468630627, 3207468630627]
[510992259951888, 7, 6910602396991, -6910602396991]
[459817626953125, 6, 15900887796943, 15900887796943]
[7290072526953125, 99, 34553669123878, -34553669123878]
[1228720553084024, 17, 29043541191825, -29043541191825]
[1167190814453125, 16, 16587156630027, -16587156630027]
[7630964805839375, 102, 84380240184281, 84380240184281]
[386741800638336, 5, 16811184674851, 16811184674851]
[74098686832632, 1, 112563639935, 112563639935]
[1183999937676633, 16, 221966593481, 221966593481]
[76785075671040, 1, 2798952478343, 2798952478343]
[1263623388671875, 17, 5859294396026, 5859294396026]
[9112271601562500, 121, 159950695246163, 159950695246163]
[76636177838649, 1, 2650054645952, 2650054645952]
[2367359736328125, 32, 196205838179, -196205838179]
[817934414062500, 11, 4087058942833, 4087058942833]
[200689604683840440, 2717, 330692030717309, -330692030717309]
[658616943359375, 9, 7258165374898, -7258165374898]
[74514504379392, 1, 528381186695, 528381186695]
[813945265169400, 11, 97910049733, 97910049733]
[509401318359375, 7, 8501543989504, -8501543989504]
[74532145123800, 1, 546021931103, 546021931103]
[1406673873730125, 19, 937533068882, 937533068882]
[1187063684296875, 16, 3285713213723, 3285713213723]
[2564343840743586, 35, 25170471000809, -25170471000809]
[1856071289813832, 25, 6418209996407, 6418209996407]
[10053852179041125, 136, 8260575165667, -8260575165667]
[72863698811904, 1, 1122424380793, -1122424380793]
[1403778530435424, 19, 1957810225819, -1957810225819]
[1405022979360000, 19, 713361301243, -713361301243]
[9489110023614375, 128, 18886254949159, 18886254949159]
[46149334716796875, 616, 573882830095523, 573882830095523]
[1856944485935616, 25, 7291406118191, 7291406118191]
[1401238562435712, 19, 4497778225531, -4497778225531]
[6742310942416500, 91, 9573731881073, 9573731881073]
[74286940000000, 1, 300816807303, 300816807303]
[1258536972000000, 17, 772877724151, 772877724151]
[73958793216000, 1, 27329976697, -27329976697]
[74116973998080, 1, 130850805383, 130850805383]
[9212422017390592, 125, 35843381696533, -35843381696533]
[8957704505568000, 121, 5383599251663, 5383599251663]
[1401984688190625, 19, 3751652470618, -3751652470618]
[815009006928753, 11, 1161651809086, 1161651809086]
[223813233213216192, 3025, 5210555307767, 5210555307767]
[3618282405074184, 49, 7037631367969, -7037631367969]
[23885963964843750, 323, 11553826397381, -11553826397381]
[32692244609375000, 441, 64364281395623, 64364281395623]
[112007309563703125, 1512, 140291296345261, 140291296345261]
[75754744104703125, 1024, 7046044618603, -7046044618603]
[3272159515625000000, 44217, 715106413516751, 715106413516751]
[1640944311631625, 17, 383180217355776, 383180217355776]
[81507175750000, 1, 7521052557303, 7521052557303]
[84456888303125, 1, 10470765110428, 10470765110428]
[70862707561854, 1, 3123415630843, -3123415630843]
[65947355906250, 1, 8038767286447, -8038767286447]
[55534978756250, 1, 18451144436447, -18451144436447]
[1312967279881125, 13, 351147678376064, 351147678376064]
[61439335011670, 1, 12546788181027, -12546788181027]
[74072671580831, 1, 86548388134, 86548388134]
[45971573441157, 1, 28014549751540, -28014549751540]
[69649814098125, 1, 4336309094572, -4336309094572]
[68003893459425, 1, 5982229733272, -5982229733272]
[102521891583300, 1, 28535768390603, 28535768390603]
[62958976521210, 1, 11027146671487, -11027146671487]
[60495364396467, 1, 13490758796230, -13490758796230]
