N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 4771078001207339, Dim = 230
[99684297958960000, 21, 508340066394119, -508340066394119]
[52608546710981625, 11, 126688697700896, 126688697700896]
[236373268833744801, 50, 2180631226622149, -2180631226622149]
[4771049167364480, 1, 28833842859, -28833842859]
[9539109587109375, 2, 3046415305303, -3046415305303]
[23768345168255688, 5, 87044837781007, -87044837781007]
[4760610818782455, 1, 10467182424884, -10467182424884]
[1459938660992391125, 306, 11207377054609, -11207377054609]
[6151513573830625, 1, 1380435572623286, 1380435572623286]
[6176738815321074, 1, 1405660814113735, 1405660814113735]
[5430039301740625, 1, 658961300533286, 658961300533286]
[4970634680886875, 1, 199556679679536, 199556679679536]
[14037606086678755, 3, 275627916943262, -275627916943262]
[5262697127187500, 1, 491619125980161, 491619125980161]
[10963840484619140625, 2299, 4867840156531736, -4867840156531736]
[4767030693062550, 1, 4047308144789, -4047308144789]
[4879410452658357, 1, 108332451451018, 108332451451018]
[4858451387739950, 1, 87373386532611, 87373386532611]
[4968713750000000, 1, 197635748792661, 197635748792661]
[1612881035018859375, 338, 256670610778793, 256670610778793]
[6522451368671875, 1, 1751373367464536, 1751373367464536]
[18748754891464000, 3, 4435520887841983, 4435520887841983]
[228924209862322117, 48, 87534195630155, -87534195630155]
[62029680445101600, 13, 5666429406193, 5666429406193]
[4761236863039800, 1, 9841138167539, -9841138167539]
[5146238794125000, 1, 375160792917661, 375160792917661]
[9719439384279625, 2, 177283381864947, 177283381864947]
[1554157357954130930, 323, 13099163564160433, 13099163564160433]
[4976023073026005, 1, 204945071818666, 204945071818666]
[23816038458856644, 5, 39351547180051, -39351547180051]
[7783752449633589, 1, 3012674448426250, 3012674448426250]
[33249065614379550, 7, 148480394071823, -148480394071823]
[720429532282753293, 152, 4774323900762235, -4774323900762235]
[4748691566158848, 1, 22386435048491, -22386435048491]
[7009940437500000, 1, 2238862436292661, 2238862436292661]
[13797265625000000, 3, 515968378622017, -515968378622017]
[4773293043750000, 1, 2215042542661, 2215042542661]
[6862261902132780, 1, 2091183900925441, 2091183900925441]
[5056566214590891, 1, 285488213383552, 285488213383552]
[7379687834268750, 1, 2608609833061411, 2608609833061411]
[834888823073338176, 175, 49827137946149, -49827137946149]
[4683969731940642, 1, 87108269266697, -87108269266697]
[5645382927952768, 1, 874304926745429, 874304926745429]
[23613466654418368, 5, 241923351618327, -241923351618327]
[4862923828125000, 1, 91845826917661, 91845826917661]
[3035946376705687500, 637, 3230310063387443, -3230310063387443]
[3606791722245387, 1, 1164286278961952, -1164286278961952]
[4878919006693875, 1, 107841005486536, 107841005486536]
[605584782994287200, 121, 28284344848199181, 28284344848199181]
[78962720103972705, 17, 2145605916552058, -2145605916552058]
[82696840699002348, 17, 1588514678477585, 1588514678477585]
[5119422581078848, 1, 348344579871509, 348344579871509]
[53323910636556175, 12, 3929025377931893, -3929025377931893]
[8721900601381110, 1, 3950822600173771, 3950822600173771]
[184935701255600295, 38, 3634737209721413, 3634737209721413]
[24055550079533973, 5, 200160073497278, 200160073497278]
[4625386471493424, 1, 145691529713915, -145691529713915]
[52702577539852032, 11, 220719526571303, 220719526571303]
[63831787593631245, 13, 1807773577935838, 1807773577935838]
[7887530105671125, 1, 3116452104463786, 3116452104463786]
[4762243821366720, 1, 8834179840619, -8834179840619]
[4198742483203125, 1, 572335518004214, -572335518004214]
[122821653341165625, 26, 1226374690225189, -1226374690225189]
[11270221920546875, 2, 1728065918132197, 1728065918132197]
[4922754419781198, 1, 151676418573859, 151676418573859]
[14011819768623292, 3, 301414234998725, -301414234998725]
[1651173955986555, 1, 3119904045220784, -3119904045220784]
[4585669294758552, 1, 185408706448787, -185408706448787]
[10445263314788931200, 2187, 10915726148480807, 10915726148480807]
[47777879838010014, 5, 23922489831973319, 23922489831973319]
[9619249171764375, 2, 77093169349697, 77093169349697]
[4793277060000000, 1, 22199058792661, 22199058792661]
[872841649805125, 1, 3898236351402214, -3898236351402214]
[463233892566406250, 99, 9102829553120311, -9102829553120311]
[1363254067916015625, 286, 1274240429283329, -1274240429283329]
[6689404541015625, 1, 1918326539808286, 1918326539808286]
[4738592282287500, 1, 32485718919839, -32485718919839]
[4716875883984264, 1, 54202117223075, -54202117223075]
[65468430034455756, 13, 3444416018760349, 3444416018760349]
[47879108938476562500000, 10034717, 2691411435257311937, 2691411435257311937]
[4514339213344688, 1, 256738787862651, -256738787862651]
[52315217500000000, 11, 166640513280729, -166640513280729]
[14229739160000000, 3, 83494843622017, -83494843622017]
[835144273992278016, 175, 205623780993691, 205623780993691]
[3765346120244709, 1, 1005731880962630, -1005731880962630]
[593078762710121688, 125, 3305987440795687, -3305987440795687]
[2383557599971163187, 500, 1981400632506313, -1981400632506313]
[692969845119571448, 147, 8378621057907385, -8378621057907385]
[4118842467796875, 1, 652235533410464, -652235533410464]
[97348318025698311, 17, 16239992005173548, 16239992005173548]
[1346821483468230, 1, 3424256517739109, -3424256517739109]
[53924983946388100, 11, 1443125933107371, 1443125933107371]
[19616203841238675, 4, 531891836409319, 531891836409319]
[4792357215607104, 1, 21279214399765, 21279214399765]
[7465607617569192, 1, 2694529616361853, 2694529616361853]
[52071015014107362, 11, 410842999173367, -410842999173367]
[8089950948726465, 1, 3318872947519126, 3318872947519126]
[1644219679177075, 1, 3126858322030264, -3126858322030264]
[38394961753108233, 8, 226337743449521, 226337743449521]
[4843822263328125, 1, 72744262120786, 72744262120786]
[5234866623874125, 1, 463788622666786, 463788622666786]
[4332333451187500, 1, 438744550019839, -438744550019839]
[8667818269140030, 1, 3896740267932691, 3896740267932691]
[4771423094529000, 1, 345093321661, 345093321661]
[13980153997960000, 3, 333080005662017, -333080005662017]
[13706015908229568000, 2873, 1291189239116947, -1291189239116947]
[19085512670048825, 4, 1200665219469, 1200665219469]
[6414417767242121, 1, 1643339766034782, 1643339766034782]
[4445642373046875, 1, 325435628160464, -325435628160464]
[118631484640313073, 25, 645465389870402, -645465389870402]
[104774464893515625, 22, 189251133045833, -189251133045833]
[14326715571100625, 3, 13481567478608, 13481567478608]
[109687461477343750, 23, 47332550425047, -47332550425047]
[22907572640877708, 5, 947817365158987, -947817365158987]
[4771391554753200, 1, 313553545861, 313553545861]
[596662270803646047, 125, 277520652728672, 277520652728672]
[10481758706093516325, 2197, 299662559007458, -299662559007458]
[4813704770715750, 1, 42626769508411, 42626769508411]
[806672756528100000, 169, 360574324059709, 360574324059709]
[4769525687472000, 1, 1552313735339, -1552313735339]
[10965830153662109375, 2299, 2878171113562986, -2878171113562986]
[4986403614302110, 1, 215325613094771, 215325613094771]
[4813696766896875, 1, 42618765689536, 42618765689536]
[85873854566534125, 18, 5549455197977, -5549455197977]
[4675250941911875, 1, 95827059295464, -95827059295464]
[34425362080078125, 7, 1027816071626752, 1027816071626752]
[4859211248892000, 1, 88133247684661, 88133247684661]
[4790238750000000, 1, 19160748792661, 19160748792661]
[4806051644516424, 1, 34973643309085, 34973643309085]
[5207758554447218, 1, 436680553239879, 436680553239879]
[90682826287374321, 19, 32344264434880, 32344264434880]
[4774222920699375, 1, 3144919492036, 3144919492036]
[109689425892723600, 23, 45368135045197, -45368135045197]
[4960513832421875, 1, 189435831214536, 189435831214536]
[4826861941151250, 1, 55783939943911, 55783939943911]
[119288844374480352, 25, 11894344296877, 11894344296877]
[4748859380251350, 1, 22218620955989, -22218620955989]
[19493774616463875, 4, 409462611634519, 409462611634519]
[75945220396481205, 16, 392027622836219, -392027622836219]
[4839220206475200, 1, 68142205267861, 68142205267861]
[4748747268678336, 1, 22330732529003, -22330732529003]
[4842087641015625, 1, 71009639808286, 71009639808286]
[81115627735042560, 17, 7301714517797, 7301714517797]
[3733717205632410, 1, 1037360795574929, -1037360795574929]
[2522395121637340521, 529, 1505141001341810, -1505141001341810]
[22348679584165353692019, 4684295, 457241500178348986, -457241500178348986]
[126852546435940040625, 26588, 875460160688707, -875460160688707]
[100287094772500064, 21, 94456747145945, 94456747145945]
[223070133222249352, 55, 39339156844154293, -39339156844154293]
[227204085318496121, 48, 1807658739456151, -1807658739456151]
[4801896659375000, 1, 30818658167661, 30818658167661]
[3156870345200000, 1, 1614207656007339, -1614207656007339]
[32936209186653125, 7, 461336821798248, -461336821798248]
[38301169435546875, 8, 132545425888163, 132545425888163]
[52541785957164028, 11, 59927943883299, 59927943883299]
[1637759172828459967, 343, 1279418414342690, 1279418414342690]
[18542979560466504808, 3887, 2200630226421885, -2200630226421885]
[330195950855588752851, 69212, 19899763973594017, -19899763973594017]
[52602406918958592, 11, 120548905677863, 120548905677863]
[8873755299545643360, 1859, 4321295301200159, 4321295301200159]
[69642250044343028, 15, 1923919973767057, -1923919973767057]
[140614140060353421, 26, 16566112028962607, 16566112028962607]
[119191226563931886, 25, 85723466251589, -85723466251589]
[4803354765734525, 1, 32276764527186, 32276764527186]
[7309689072288625, 2, 2232466930126053, -2232466930126053]
[3135465900071505, 1, 1635612101135834, -1635612101135834]
[13637375589178627, 3, 675858414443390, -675858414443390]
[4839282430535475, 1, 68204429328136, 68204429328136]
[2884729006617435432, 605, 1773184113004663, -1773184113004663]
[52236382718950885, 11, 245475294329844, -245475294329844]
[3231122062634375, 1, 1539955938572964, -1539955938572964]
[4191100402015625, 1, 579977599191714, -579977599191714]
[2656727785847098271581, 556875, 166276075238634044, -166276075238634044]
[4208709710329839, 1, 562368290877500, -562368290877500]
[75289140373678231, 15, 3722970355568146, 3722970355568146]
[14547450607600625, 3, 234216603978608, 234216603978608]
[9955446770568481, 2, 413290768153803, 413290768153803]
[3912145178782445, 1, 858932822424894, -858932822424894]
[61996399990812672, 13, 27614024882735, -27614024882735]
[61981858523791360, 13, 42155491904047, -42155491904047]
[3863857582921875, 1, 907220418285464, -907220418285464]
[14289156053672500, 3, 24077949949517, -24077949949517]
[158400939879832190541, 33212, 56102696265952327, -56102696265952327]
[4091882514947500, 1, 679195486259839, -679195486259839]
[4388572056171875, 1, 382505945035464, -382505945035464]
[93832322697468342, 19, 3181840674528901, 3181840674528901]
[3060399308140625, 3, 11252834695481392, -11252834695481392]
[4438479138499952, 1, 332598862707387, -332598862707387]
[602206747642108115, 119, 34448465498434774, 34448465498434774]
[18664267433849037, 4, 420044570980319, -420044570980319]
[4354857028257750, 1, 416220972949589, -416220972949589]
[90405060016020750, 19, 245422006918691, -245422006918691]
[24415595300720074, 3, 10102361297098057, 10102361297098057]
[6162153835827990, 1, 1391075834620651, 1391075834620651]
[4601768509461123, 1, 169309491746216, -169309491746216]
[306577232612873838, 65, 3542837465603197, -3542837465603197]
[24205702833775771, 5, 350312827739076, 350312827739076]
[1781391791612056, 1, 2989686209595283, -2989686209595283]
[235776284009995256, 65, 74343786068481779, -74343786068481779]
[4303053122671875, 1, 468024878535464, -468024878535464]
[4110373316934885, 1, 660704684272454, -660704684272454]
[7204718601641264, 1, 2433640600433925, 2433640600433925]
[90757253405607750, 19, 106771382668309, 106771382668309]
[5110772379313986, 1, 339694378106647, 339694378106647]
[419699455884652293, 88, 155408221593539, -155408221593539]
[61457001776034480, 13, 567012239660927, -567012239660927]
[191011444482913593, 40, 168324434620033, 168324434620033]
[9783431888625486, 1, 5012353887418147, 5012353887418147]
[675890717881736071, 138, 17481953715123289, 17481953715123289]
[420375061587439354798935, 88001452, 513269875935769742707, 513269875935769742707]
[62086252059804303360, 13013, 214030093200953, 214030093200953]
[7074654927064725, 2, 2467501075349953, -2467501075349953]
[20876471990456313, 2, 11334315988041635, 11334315988041635]
[59239911035518070, 7, 25842365027066697, 25842365027066697]
[3248412135725988, 1, 1522665865481351, -1522665865481351]
[6269886201415375, 1, 1498808200208036, 1498808200208036]
[39966756857431677, 8, 1798132847772965, 1798132847772965]
[3835554053420804, 1, 935523947786535, -935523947786535]
[14033096365272495, 4, 5051215639556861, -5051215639556861]
[10609076009816902475, 2261, 178331350912891004, -178331350912891004]
[18853004091796875, 4, 231307913032481, -231307913032481]
[13071400656148835, 3, 1241833347473182, -1241833347473182]
[8401319869490625, 1, 3630241868283286, 3630241868283286]
[145289099927649249, 32, 7385396110985599, -7385396110985599]
[9164481917716125, 2, 377674084698553, -377674084698553]
[68253652156678835, 8, 30085028147020123, 30085028147020123]
[4453906201171875, 1, 317171800035464, -317171800035464]
[1711594191695349, 1, 3059483809511990, -3059483809511990]
[90939551279937360, 19, 289069256997919, 289069256997919]
[2714159885937500, 1, 2056918115269839, -2056918115269839]
[910020436995312500, 189, 8286694767125429, 8286694767125429]
[43947013195205120, 9, 1007311184339069, 1007311184339069]
[553124123793544499, 125, 43260626357372876, -43260626357372876]
[8643500065397925, 2, 898655937016753, -898655937016753]
[723422092517578125, 143, 41157938344928648, 41157938344928648]
[1201127546911522461, 247, 22671280613309728, 22671280613309728]
[4471085605677768, 1, 299992395529571, -299992395529571]
[3513288986796875, 1, 1257789014410464, -1257789014410464]
[14242965861498880, 3, 70268142123137, -70268142123137]
[1873463391167940, 1, 2897614610039399, -2897614610039399]
[232168033882652736, 49, 1614788176506875, -1614788176506875]
[47799006106922560, 11, 4682851906358169, -4682851906358169]
[231617979862349275, 49, 2164842196810336, -2164842196810336]
[14302523746883680, 3, 10710256738337, -10710256738337]
[2697392506918682958, 529, 173492244280000627, 173492244280000627]
[595528215813215718, 115, 46854245674371733, 46854245674371733]
