N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 47849463811209517, Dim = 259
[47842758057592512, 1, 6705753617005, -6705753617005]
[143701531982421875, 3, 153140548793324, 153140548793324]
[531146532045816232, 11, 4802430122511545, 4802430122511545]
[239363487564379178, 5, 116168508331593, 116168508331593]
[47850487186903632, 1, 1023375694115, 1023375694115]
[46395831697033104, 1, 1453632114176413, -1453632114176413]
[1866698651331500000, 39, 569562694328837, 569562694328837]
[2437656577202616055, 51, 2666077169069312, -2666077169069312]
[145407496987216100, 3, 1859105553587549, 1859105553587549]
[476294401401397579, 10, 2200236710697591, -2200236710697591]
[47846281325325093, 1, 3182485884424, -3182485884424]
[133114704357295950107, 2783, 50353429300135704, -50353429300135704]
[21749876218095116, 1, 26099587593114401, -26099587593114401]
[47828065117112280, 1, 21398694097237, -21398694097237]
[144081667486859375, 3, 533276053230824, 533276053230824]
[98831176841718750, 1, 50981713030509233, 50981713030509233]
[340595237524506250, 7, 5648990846039631, 5648990846039631]
[540129292590228465020, 11319, 1478788288852057903, -1478788288852057903]
[526905059814453125, 11, 560957891148438, 560957891148438]
[5589048699904707037, 128, 535682667930111139, -535682667930111139]
[42742582740978750, 1, 5106881070230767, -5106881070230767]
[47849619037500000, 1, 155226290483, 155226290483]
[45646625119684875, 1, 2202838691524642, -2202838691524642]
[44950546814030000, 1, 2898916997179517, -2898916997179517]
[13807839911565889035, 289, 20655129873661378, -20655129873661378]
[48035048212796645, 1, 185584401587128, 185584401587128]
[3444318151574818375, 72, 843242832266849, -843242832266849]
[1196880229798451198, 25, 643634518213273, 643634518213273]
[2631717238983146496, 55, 3270633376939, -3270633376939]
[18649817257946875, 1, 29199646553262642, -29199646553262642]
[115237768985959750, 1, 67388305174750233, 67388305174750233]
[434477969840687500, 9, 3832795539801847, 3832795539801847]
[8373101275858642752, 175, 554891103022723, -554891103022723]
[48273610410395370, 1, 424146599185853, 424146599185853]
[1101266321977691100, 23, 728654319872209, 728654319872209]
[8076234052735151688, 169, 10325331359256685, -10325331359256685]
[8085821983941406320, 169, 737400153002053, -737400153002053]
[49846291977631149, 1, 1996828166421632, 1996828166421632]
[546785273005857990, 11, 20441171082553303, 20441171082553303]
[47822575071469198, 1, 26888739740319, -26888739740319]
[399002228467030683, 7, 64055981788564064, 64055981788564064]
[48329171294439420, 1, 479707483229903, 479707483229903]
[3259769456230175889, 68, 6005917067928733, 6005917067928733]
[9672507303342730, 1, 38176956507866787, -38176956507866787]
[239710876329890196, 5, 463557273842611, 463557273842611]
[39899935266126936, 1, 7949528545082581, -7949528545082581]
[95969385398731845, 2, 270457776312811, 270457776312811]
[46777566501179514, 1, 1071897310030003, -1071897310030003]
[95629736154141189, 2, 69191468277845, -69191468277845]
[47897244435493376, 1, 47780624283859, 47780624283859]
[1102717562309568205, 23, 2179894651749314, 2179894651749314]
[47865805558474750, 1, 16341747265233, 16341747265233]
[47882582158882900, 1, 33118347673383, 33118347673383]
[95669447733107325, 2, 29479889311709, -29479889311709]
[956797953580792323, 20, 191322643398017, -191322643398017]
[14275870886962685, 1, 33573592924246832, -33573592924246832]
[73170012071278969, 1, 25320548260069452, 25320548260069452]
[93950014489028775, 2, 1748913133390259, -1748913133390259]
[190971821073703131, 4, 426034171134937, -426034171134937]
[47843313540855294, 1, 6150270354223, -6150270354223]
[224525054840310551250, 4693, 32478825695712031, -32478825695712031]
[36445319119178125, 1, 11404144692031392, -11404144692031392]
[41085571951328125, 1, 6763891859881392, -6763891859881392]
[522377119493510723, 11, 3966982429793964, -3966982429793964]
[47436409188918750, 1, 413054622290767, -413054622290767]
[909199392947718750, 19, 59580534737927, 59580534737927]
[38677960696393018, 1, 9171503114816499, -9171503114816499]
