N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 66847008023, Dim = 100
[46694888100, 1, 20152119923, -20152119923]
[56723625000, 1, 10123383023, -10123383023]
[65652343750, 1, 1194664273, -1194664273]
[66961566000, 1, 114557977, 114557977]
[67200000000, 1, 352991977, 352991977]
[57196321875, 1, 9650686148, -9650686148]
[65510156250, 1, 1336851773, -1336851773]
[46792968750, 1, 20054039273, -20054039273]
[97272656250, 1, 30425648227, 30425648227]
[28698826464, 1, 38148181559, -38148181559]
[74443359375, 1, 7596351352, 7596351352]
[93954491400, 1, 27107483377, 27107483377]
[61148067750, 1, 5698940273, -5698940273]
[92976206400, 1, 26129198377, 26129198377]
[61383601048, 1, 5463406975, -5463406975]
[322263905502, 5, 11971134613, -11971134613]
[978776737785, 16, 90775390583, -90775390583]
[68302080000, 1, 1455071977, 1455071977]
[66936038400, 1, 89030377, 89030377]
[66762178560, 1, 84829463, -84829463]
[64866203804115, 968, 158300037851, 158300037851]
[3284582400000, 49, 9079006873, 9079006873]
[56623104000000, 847, 3688204519, 3688204519]
[68887568750, 1, 2040560727, 2040560727]
[49653311708, 1, 17193696315, -17193696315]
[69023368700, 1, 2176360677, 2176360677]
[40979836898, 1, 25867171125, -25867171125]
[58381792755, 1, 8465215268, -8465215268]
[505975537210, 7, 38046481049, 38046481049]
[84636326775, 1, 17789318752, 17789318752]
[367947650070, 1, 301100642047, 301100642047]
[47302728200, 1, 19544279823, -19544279823]
[150506606250, 1, 83659598227, 83659598227]
[91959959949, 2, 41734056097, -41734056097]
[47190000000, 1, 19657008023, -19657008023]
[154097733790, 3, 46443290279, -46443290279]
[66380562248, 1, 466445775, -466445775]
[44380984375, 1, 22466023648, -22466023648]
[66525709250, 1, 321298773, -321298773]
[18868546620, 1, 47978461403, -47978461403]
[82347890625, 2, 51346125421, -51346125421]
[51838215000, 1, 15008793023, -15008793023]
[106051785840, 1, 39204777817, 39204777817]
[125221496400, 1, 58374488377, 58374488377]
[167491704744, 1, 100644696721, 100644696721]
[118081884375, 1, 51234876352, 51234876352]
[27902085750, 1, 38944922273, -38944922273]
[45286718750, 1, 21560289273, -21560289273]
[66477987576, 1, 369020447, -369020447]
[494685173983, 5, 160450133868, 160450133868]
[69643606032, 1, 2796598009, 2796598009]
[73254575394, 1, 6407567371, 6407567371]
[744365643175, 9, 142742570968, 142742570968]
[52905652800, 1, 13941355223, -13941355223]
[56656464228, 1, 10190543795, -10190543795]
[68709197700, 1, 1862189677, 1862189677]
[64033719750, 1, 2813288273, -2813288273]
[244258736085, 4, 23129296007, -23129296007]
[52376596272, 1, 14470411751, -14470411751]
[458795390625, 7, 9133665536, -9133665536]
[61570884375, 1, 5276123648, -5276123648]
[368020778125, 6, 33061270013, -33061270013]
[88671623040, 1, 21824615017, 21824615017]
[3345697265625, 49, 70193872498, 70193872498]
[327873056875, 6, 73208991263, -73208991263]
[562909847500, 9, 38713224707, -38713224707]
[66635156250, 1, 211851773, -211851773]
[66071678400, 1, 775329623, -775329623]
[189210912800, 3, 11330111269, -11330111269]
[64908200448, 1, 1938807575, -1938807575]
[730894726016, 11, 4422362237, -4422362237]
[68363961120, 1, 1516953097, 1516953097]
[1471818359375, 22, 1184182869, 1184182869]
[2205735869584, 33, 215395175, -215395175]
[343299548592, 5, 9064508477, 9064508477]
[199062500000, 3, 1478524069, -1478524069]
[537585852375, 8, 2809788191, 2809788191]
[87815859307813, 1331, 1157508370800, -1157508370800]
[335800588032, 5, 1565547917, 1565547917]
[51458310921875, 768, 119808760211, 119808760211]
[5443115234375, 81, 28507584512, 28507584512]
[8541641876625, 128, 14775150319, -14775150319]
[1744189453125, 26, 6167244527, 6167244527]
[1820000000000, 27, 15130783379, 15130783379]
[334305427456, 5, 70387341, 70387341]
[75437512920, 1, 8590504897, 8590504897]
[79941610658, 3, 120599413411, -120599413411]
[196839127485, 1, 129992119462, 129992119462]
[96005231010, 1, 29158222987, 29158222987]
[61431965595, 1, 5415042428, -5415042428]
[109018593684, 1, 42171585661, 42171585661]
[35627863271, 3, 164913160798, -164913160798]
[63927703125, 1, 2919304898, -2919304898]
[133360068725, 2, 333947321, -333947321]
[110002142250, 1, 43155134227, 43155134227]
[107101767150, 1, 40254759127, 40254759127]
[66820359375, 1, 26648648, -26648648]
[92272566204, 1, 25425558181, 25425558181]
[34609014375, 1, 32237993648, -32237993648]
[66792411868, 1, 54596155, -54596155]
[50407480266, 1, 16439527757, -16439527757]
[110678273475, 1, 43831265452, 43831265452]
[67182204375, 1, 335196352, 335196352]
[168788683921, 2, 35094667875, 35094667875]
[172250413335, 1, 105403405312, 105403405312]
[55305250000, 1, 11541758023, -11541758023]
