N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 25548168982321613, Dim = 250
[32028564934213848, 1, 6480395951892235, 6480395951892235]
[25529523304320000, 1, 18645678001613, -18645678001613]
[22066430112089363, 1, 3481738870232250, -3481738870232250]
[219798937058403703, 9, 10134583782490814, -10134583782490814]
[215302975084071875, 9, 14630545756822642, -14630545756822642]
[31138882574930130, 1, 5590713592608517, 5590713592608517]
[267597913865546875, 7, 88760730989295584, 88760730989295584]
[30230700500000000, 1, 4682531517678387, 4682531517678387]
[102030950007421875, 4, 161725921864577, -161725921864577]
[177339112500000000, 7, 1498070376251291, -1498070376251291]
[1609577965652800000, 63, 43319766538381, 43319766538381]
[22821484908821808, 1, 2726684073499805, -2726684073499805]
[40275808072505829936, 1573, 88538263313932687, 88538263313932687]
[25576938786896640, 1, 28769804575027, 28769804575027]
[26436164074268949, 1, 887995091947336, 887995091947336]
[1443146118100264435, 56, 12448655090254107, 12448655090254107]
[157576847909567625, 8, 46808503949005279, -46808503949005279]
[25979710105001016, 1, 431541122679403, 431541122679403]
[6986201520423125, 1, 18561967461898488, -18561967461898488]
[252699047346995249, 10, 2782642476220881, -2782642476220881]
[3094819244384765625, 121, 3490797523850452, 3490797523850452]
[13898366507441891475, 544, 162581058934003, 162581058934003]
[177137531527513700, 7, 1699651348737591, -1699651348737591]
[25609356219228210, 1, 61187236906597, 61187236906597]
[25503515189628840, 1, 44653792692773, -44653792692773]
[29150708326439700, 1, 3602539344118087, 3602539344118087]
[3638942350905626100, 143, 14445813566364559, -14445813566364559]
[20557992999116664, 1, 4990175983204949, -4990175983204949]
[3174546068465784012, 125, 18975054324417613, -18975054324417613]
[179030191467606336, 7, 193008591355045, 193008591355045]
[22469054232609820, 1, 3079114749711793, -3079114749711793]
[23686288296301323, 1, 1861880686020290, -1861880686020290]
[50511069555890625, 2, 585268408752601, -585268408752601]
[24728307533505576, 1, 819861448816037, -819861448816037]
[634981435405821504, 25, 3722789152218821, -3722789152218821]
[24869474708203125, 1, 678694274118488, -678694274118488]
[28836564732421875, 1, 3288395750100262, 3288395750100262]
[45585704207591275, 2, 5510633757051951, -5510633757051951]
[31010280793457238, 1, 5462111811135625, 5462111811135625]
[15143571790200425, 1, 10404597192121188, -10404597192121188]
[6804927934304500, 1, 18743241048017113, -18743241048017113]
[14365461880414645, 2, 36730876084228581, -36730876084228581]
[29966119464965229, 1, 4417950482643616, 4417950482643616]
[34005010850792755200, 1331, 397935322688297, 397935322688297]
[26668490574834108, 1, 1120321592512495, 1120321592512495]
[281686722033841488, 11, 656863228303745, 656863228303745]
[2849751349876419788800, 111537, 185226095214039619, 185226095214039619]
[1411415766413269042968750, 55240493, 122316582514856293541, 122316582514856293541]
[1142913715219147991, 45, 6753888985324594, -6753888985324594]
[332611206653250000, 13, 485009883069031, 485009883069031]
[73890208439256748, 1, 48342039456935135, 48342039456935135]
[431524838965016223791, 16875, 399487388339004416, 399487388339004416]
[83462249984402520, 1, 57914081002080907, 57914081002080907]
[177669772614682920, 7, 1167410261568371, -1167410261568371]
[19295692220581920, 1, 6252476761739693, -6252476761739693]
[485204826015055872, 19, 210384649054775, -210384649054775]
[173907850682190625, 8, 30477501176382279, -30477501176382279]
[48735258837890625, 2, 2361079126752601, -2361079126752601]
[17047545345068238, 1, 8500623637253375, -8500623637253375]
[24186647460937500, 1, 1361521521384113, -1361521521384113]
[6318652448059380, 1, 19229516534262233, -19229516534262233]
[2166577907889547152, 85, 5016455607789953, -5016455607789953]
[131423848672379004, 5, 3683003760770939, 3683003760770939]
[1125882526892424441049, 44064, 128008855404885817, 128008855404885817]
[8333589818737013530752, 326095, 2459654446847139517, 2459654446847139517]
[146034533306042304, 5, 18293688394434239, 18293688394434239]
[21390574205000000, 1, 4157594777321613, -4157594777321613]
[138932744256787338, 7, 39904438619463953, -39904438619463953]
[25724511308746250, 1, 176342326424637, 176342326424637]
[70507261964711500, 3, 6137244982253339, -6137244982253339]
[25747259328000000, 1, 199090345678387, 199090345678387]
[332099232488100000, 13, 26964282080969, -26964282080969]
