N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 224139446127173377, Dim = 280
[224138934306451125, 1, 511820722252, -511820722252]
[307522165285502578125, 1372, 2845199020704881, 2845199020704881]
[672311545234579250, 3, 106793146940881, -106793146940881]
[2465147892480000000, 11, 386014918907147, -386014918907147]
[224050105039896576, 1, 89341087276801, -89341087276801]
[19047657089613993984, 85, 4195831195743061, -4195831195743061]
[671068813614995614, 3, 1349524766524517, -1349524766524517]
[224877694741149450, 1, 738248613976073, 738248613976073]
[12332254043254966002, 55, 4584506260430267, 4584506260430267]
[275721533028231017, 1, 51582086901057640, 51582086901057640]
[437995971446639375, 2, 10282920807707379, -10282920807707379]
[11937537692158203125, 51, 506425939672360898, 506425939672360898]
[440341153668040625, 2, 7937738586306129, -7937738586306129]
[144184979112901650, 1, 79954467014271727, -79954467014271727]
[193869636040332175, 1, 30269810086841202, -30269810086841202]
[226596183088860585, 1, 2456736961687208, 2456736961687208]
[224060569082350000, 1, 78877044823377, -78877044823377]
[6301003611515146875, 28, 25099119954292319, 25099119954292319]
[6284288368795078125, 28, 8383877234223569, 8383877234223569]
[5155832605498242525, 23, 625344573254854, 625344573254854]
[2451473933554529000, 11, 14059973844378147, -14059973844378147]
[632800312883870131, 3, 39618025497650000, -39618025497650000]
[1124461256547625227, 5, 3764025911758342, 3764025911758342]
[30538509403579926903, 136, 55544730284347631, 55544730284347631]
[128411811153252627, 1, 95727634973920750, -95727634973920750]
[151642374807008470, 1, 72497071320164907, -72497071320164907]
[224488325426841840, 1, 348879299668463, 348879299668463]
[209556551376046875, 1, 14582894751126502, -14582894751126502]
[2349930486963276875, 11, 115603420435630272, -115603420435630272]
[4255564756731356250, 19, 3084719684937913, -3084719684937913]
[461054743509562413176, 2057, 97174033223313, -97174033223313]
[433958003176909302, 1, 209818557049735925, 209818557049735925]
[231164463380712295, 1, 7025017253538918, 7025017253538918]
[448576101254737379, 2, 297209000390625, 297209000390625]
[3362103194889398183, 15, 11502981797528, 11502981797528]
[93073200966728125, 1, 131066245160445252, -131066245160445252]
[4559294891605715625, 17, 748924307443768216, 748924307443768216]
[213761248304296875, 1, 10378197822876502, -10378197822876502]
[3531078665598046875, 17, 279291918563900534, -279291918563900534]
[224337435152187500, 1, 197989025014123, 197989025014123]
[13000124266357421875, 58, 36390981366009, 36390981366009]
[99082519591807752, 1, 125056926535365625, -125056926535365625]
[207488108228111529, 1, 16651337899061848, -16651337899061848]
[223640241513304000, 1, 499204613869377, -499204613869377]
[224202017239593400, 1, 62571112420023, 62571112420023]
[417571626849691020245, 1863, 161285232981106, -161285232981106]
[225509244648187500, 1, 1369798521014123, 1369798521014123]
[4922943995063826225, 22, 8123819733988069, -8123819733988069]
[671566840228362694, 3, 851498153157437, -851498153157437]
[223430285703439122, 1, 709160423734255, -709160423734255]
[128884126874895024633, 575, 3945351770332858, 3945351770332858]
[239435836027561250, 1, 15296389900387873, 15296389900387873]
[7313594615503515625, 32, 141132339433967561, 141132339433967561]
[1360367651880974367488, 6069, 65353335159142475, 65353335159142475]
[192475503863413155, 1, 31663942263760222, -31663942263760222]
[222324957240170840, 1, 1814488887002537, -1814488887002537]
[223974541113074752, 1, 164905014098625, -164905014098625]
[223713212834535424, 1, 426233292637953, -426233292637953]
[224048911370041296, 1, 90534757132081, -90534757132081]
[36302069372767198, 1, 187837376754406179, -187837376754406179]
[241082366378203105, 1, 16942920251029728, 16942920251029728]
[213159103225619265, 1, 10980342901554112, -10980342901554112]
[1748254263127182152104, 7803, 705835003151708627, -705835003151708627]
[2461855896582071535, 11, 3678010816835612, -3678010816835612]
[269004357365512615, 2, 179274534888834139, -179274534888834139]
[11126897772716096007, 50, 80074533642572843, -80074533642572843]
[448097957430489821, 2, 180934823856933, -180934823856933]
[1075910803097991861, 5, 44786427537875024, -44786427537875024]
[2406280422726478016862, 10115, 139109925150119308507, 139109925150119308507]
[6051784317413244928, 27, 19271979563749, 19271979563749]
[417539089225768022513, 1863, 32698909155978838, -32698909155978838]
[218028194206159766, 1, 6111251921013611, -6111251921013611]
[224693896773757125, 1, 554450646583748, 554450646583748]
[221096347277041600, 1, 3043098850131777, -3043098850131777]
[54882472496169700096, 245, 31691804987777269, -31691804987777269]
[224148962219212800, 1, 9516092039423, 9516092039423]
[675274739728965376, 3, 2856401347445245, 2856401347445245]
[54670973240624125, 1, 169468472886549252, -169468472886549252]
[3587803437940981875, 16, 1572299906207843, 1572299906207843]
[3579150209734053045, 16, 7080928300720987, -7080928300720987]
[188509129916091389496, 841, 7855723138579439, 7855723138579439]
[2436345922259360160, 11, 29187985139546987, -29187985139546987]
[224595444935232000, 1, 455998808058623, 455998808058623]
[10985756015871611073, 49, 2923155640115600, 2923155640115600]
[224119673296257024, 1, 19772830916353, -19772830916353]
[20593157342605675947, 92, 27671701094274737, -27671701094274737]
[341951443630917120, 1, 117811997503743743, 117811997503743743]
[175753283602216320, 1, 48386162524957057, -48386162524957057]
[222011290903397688, 1, 2128155223775689, -2128155223775689]
