N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 104228741, Dim = 70
[56250000, 1, 48000163, -48000163]
[262440000, 1, 158189837, 158189837]
[147000000, 1, 42749837, 42749837]
[109375000, 1, 5124837, 5124837]
[90037500, 1, 14212663, -14212663]
[732421875, 7, 2670734, 2670734]
[103262208, 1, 987955, -987955]
[103335750, 1, 914413, -914413]
[102060000, 1, 2190163, -2190163]
[155649627, 2, 52850699, -52850699]
[41257755, 1, 62992408, -62992408]
[147027636, 1, 42777473, 42777473]
[524126295, 4, 107125643, 107125643]
[211789809, 2, 3289483, 3289483]
[111850585, 1, 7600422, 7600422]
[207986625, 2, 513701, -513701]
[103531120, 1, 719043, -719043]
[102263392, 1, 1986771, -1986771]
[12607619787, 121, 6649936, -6649936]
[519847713, 5, 1403102, -1403102]
[104361048, 1, 110885, 110885]
[1147912560, 11, 1160767, 1160767]
[1148175000, 11, 1423207, 1423207]
[1146880000, 11, 128207, 128207]
[111608343, 2, 96891983, -96891983]
[86806489, 1, 17443674, -17443674]
[117406179, 1, 13156016, 13156016]
[545640788, 5, 24389973, 24389973]
[1750686228225, 16807, 1446261316, -1446261316]
[99607200, 1, 4642963, -4642963]
[4484191635, 32, 1148186419, 1148186419]
[105875000, 1, 1624837, 1624837]
[2816000000, 27, 1245599, 1245599]
[79893275, 1, 24356888, -24356888]
[421836492, 5, 99414323, -99414323]
[524126295, 1, 419876132, 419876132]
[860978646, 7, 131227505, 131227505]
[664335375, 7, 65415766, -65415766]
[487179275, 4, 70178623, 70178623]
[103984375, 1, 265788, -265788]
[115539436859, 1125, 1741996516, -1741996516]
[96630600, 1, 7619563, -7619563]
[93915360, 1, 10334803, -10334803]
[1775587275, 16, 107584667, 107584667]
[104946688, 1, 696525, 696525]
[20131375, 1, 84118788, -84118788]
[39703125, 1, 64547038, -64547038]
[46406250, 1, 57843913, -57843913]
[107421875, 1, 3171712, 3171712]
[3643149312, 35, 5606393, -5606393]
[39530064, 1, 64720099, -64720099]
[141134400, 1, 36884237, 36884237]
[117612000, 1, 13361837, 13361837]
[100362240, 1, 3887923, -3887923]
[79734375, 2, 128765951, -128765951]
[5080838400, 49, 27419587, -27419587]
[245581875, 1, 141331712, 141331712]
[162421875, 1, 58171712, 58171712]
[13753988325, 128, 409967461, 409967461]
[244592271, 5, 276658544, -276658544]
[374375925, 4, 42624727, -42624727]
[2334744405, 22, 41240819, 41240819]
[974358550, 7, 244607409, 244607409]
[3443914584, 35, 204841121, -204841121]
[57648010, 1, 46602153, -46602153]
[133402500, 1, 29152337, 29152337]
[90986328125, 864, 914187293, 914187293]
[11985021279, 128, 1358999585, -1358999585]
[317625000, 1, 213374837, 213374837]
[86240000, 1, 18010163, -18010163]
