N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 290430014011, Dim = 100
[289460658375, 1, 969355636, -969355636]
[290424960000, 1, 5054011, -5054011]
[107179440500, 3, 764110601533, -764110601533]
[102325781250, 1, 188104232761, -188104232761]
[347261387220, 1, 56831373209, 56831373209]
[101104609375, 1, 189325404636, -189325404636]
[1019046875000, 3, 147756832967, 147756832967]
[271683720000, 1, 18746294011, -18746294011]
[294152512500, 1, 3722498489, 3722498489]
[173322187500, 1, 117107826511, -117107826511]
[730452800000, 3, 140837242033, -140837242033]
[3203613281250, 11, 8883127129, 8883127129]
[258807656250, 1, 31622357761, -31622357761]
[98703417241, 1, 191726596770, -191726596770]
[156099003060, 1, 134331010951, -134331010951]
[244624536585, 1, 45805477426, -45805477426]
[274221698751, 1, 16208315260, -16208315260]
[719474495922, 1, 429044481911, 429044481911]
[150894479736, 1, 139535534275, -139535534275]
[363763477935, 1, 73333463924, 73333463924]
[286936650000, 1, 3493364011, -3493364011]
[445372054400, 1, 154942040389, 154942040389]
[103592328840, 1, 186837685171, -186837685171]
[292280113125, 1, 1850099114, 1850099114]
[556573090931, 1, 266143076920, 266143076920]
[410160660525, 1, 119730646514, 119730646514]
[227080546875, 1, 63349467136, -63349467136]
[287418056640, 1, 3011957371, -3011957371]
[352418242176, 1, 61988228165, 61988228165]
[2037716327647, 5, 585566257592, 585566257592]
[315347175000, 1, 24917160989, 24917160989]
[176618203125, 1, 113811810886, -113811810886]
[115527343750, 1, 174902670261, -174902670261]
[292725576000, 1, 2295561989, 2295561989]
[246671568000, 1, 43758446011, -43758446011]
[1326972970323, 5, 125177099732, -125177099732]
[282757724249, 1, 7672289762, -7672289762]
[2162085550625, 8, 161354561463, -161354561463]
[274053780000, 1, 16376234011, -16376234011]
[6065773641356, 21, 33256652875, -33256652875]
[2648952779200, 9, 35082653101, 35082653101]
[3243615648000, 11, 48885493879, 48885493879]
[278272250685, 1, 12157763326, -12157763326]
[1403166742848, 5, 48983327207, -48983327207]
[4421151920625, 16, 225728303551, -225728303551]
[3833280000000, 13, 57689817857, 57689817857]
[9293603515625, 32, 156932727, -156932727]
[34062082031250, 121, 1079949664081, -1079949664081]
[2031250000000, 7, 1760098077, -1760098077]
[7293584922624, 25, 32834572349, 32834572349]
[345473018352, 1, 55043004341, 55043004341]
[183205388520, 1, 107224625491, -107224625491]
[123303054875, 1, 167126959136, -167126959136]
[137030243350, 1, 153399770661, -153399770661]
[277148987115, 1, 13281026896, -13281026896]
[87201063950, 1, 203228950061, -203228950061]
[287763511035, 1, 2666502976, -2666502976]
[394287189615, 1, 103857175604, 103857175604]
[197986250000, 1, 92443764011, -92443764011]
[231115051629, 1, 59314962382, -59314962382]
[546219012465, 1, 255788998454, 255788998454]
[287645312500, 1, 2784701511, -2784701511]
[105011907000, 1, 185418107011, -185418107011]
[811360244366, 1, 520930230355, 520930230355]
[527271806880, 1, 236841792869, 236841792869]
[897646239490, 3, 26356197457, 26356197457]
[478021143600, 1, 187591129589, 187591129589]
[114337059375, 1, 176092954636, -176092954636]
[315429751692, 1, 24999737681, 24999737681]
[401597109375, 1, 111167095364, 111167095364]
[505202738040, 1, 214772724029, 214772724029]
[499259176416, 1, 208829162405, 208829162405]
[428872158000, 1, 138442143989, 138442143989]
[789901945525, 2, 209041917503, 209041917503]
[229100977105, 3, 642189064928, -642189064928]
[269447343750, 1, 20982670261, -20982670261]
[187800037425, 1, 102629976586, -102629976586]
[909209001701, 2, 328348973679, 328348973679]
[259725015088, 1, 30704998923, -30704998923]
[103023984375, 1, 187406029636, -187406029636]
[436504696875, 1, 146074682864, 146074682864]
[666527266080, 1, 376097252069, 376097252069]
[410067157500, 1, 119637143489, 119637143489]
[2973859067865, 13, 801731114278, -801731114278]
[79312233000, 1, 211117781011, -211117781011]
[127329175314, 5, 1324820894741, -1324820894741]
[1411276895847, 5, 40873174208, -40873174208]
[277457930750, 1, 12972083261, -12972083261]
[646876673289, 4, 514843382755, -514843382755]
[1095242193375, 1, 804812179364, 804812179364]
[3050750840787, 5, 1598600770732, 1598600770732]
[229959229500, 1, 60470784511, -60470784511]
[291528078160, 1, 1098064149, 1098064149]
[173782021875, 1, 116647992136, -116647992136]
[997533314063, 5, 454616755992, -454616755992]
[133747379766, 1, 156682634245, -156682634245]
[86719077900, 1, 203710936111, -203710936111]
[1525639186214, 5, 73489116159, 73489116159]
[132976790856, 1, 157453223155, -157453223155]
[198235261224, 1, 92194752787, -92194752787]
[91487337786, 1, 198942676225, -198942676225]
[303909459425, 2, 276950568597, -276950568597]
[316733180418, 1, 26303166407, 26303166407]
[289890351387, 1, 539662624, -539662624]
[288913878000, 1, 1516136011, -1516136011]
[349064075997, 2, 231795952025, -231795952025]
