N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 8441487583957, Dim = 160
[5128992618750, 1, 3312494965207, -3312494965207]
[8502103735125, 1, 60616151168, 60616151168]
[22616616920625, 2, 5733641752711, 5733641752711]
[10355593828125, 1, 1914106244168, 1914106244168]
[11933589078125, 1, 3492101494168, 3492101494168]
[9562460022885, 1, 1120972438928, 1120972438928]
[108081057609616, 9, 32107669354003, 32107669354003]
[10075621055500, 1, 1634133471543, 1634133471543]
[45789412561893, 5, 3581974642108, 3581974642108]
[16710079708179, 2, 172895459735, -172895459735]
[22591195642015, 3, 2733267109856, -2733267109856]
[8326805390022, 1, 114682193935, -114682193935]
[10574711433000, 1, 2133223849043, 2133223849043]
[10403635468941, 1, 1962147884984, 1962147884984]
[7417811125725, 1, 1023676458232, -1023676458232]
[8273732556375, 1, 167755027582, -167755027582]
[6580792968750, 1, 1860694615207, -1860694615207]
[8409396752757, 1, 32090831200, -32090831200]
[34068596122561, 5, 8138841797224, -8138841797224]
[8503679023840, 1, 62191439883, 62191439883]
[27494922570687, 4, 6271027765141, -6271027765141]
[10786699218750, 1, 2345211634793, 2345211634793]
[31650504224703, 4, 2115446111125, -2115446111125]
[9511949947500, 1, 1070462363543, 1070462363543]
[136479906930510, 17, 7025381996759, -7025381996759]
[9334766566125, 1, 893278982168, 893278982168]
[8496424288000, 1, 54936704043, 54936704043]
[594983279415213, 70, 4079148538223, 4079148538223]
[8327068750000, 1, 114418833957, -114418833957]
[8430296875000, 1, 11190708957, -11190708957]
[8231896576800, 1, 209591007157, -209591007157]
[77495895869847, 11, 15360467553680, -15360467553680]
[8518565895840, 1, 77078311883, 77078311883]
[8321835353832, 1, 119652230125, -119652230125]
[406065858529474, 49, 7567033084419, -7567033084419]
[8230485071900, 1, 211002512057, -211002512057]
[41737052813274, 5, 470385106511, -470385106511]
[2988082810827075, 343, 92652569529824, 92652569529824]
[144322303125000, 17, 817014197731, 817014197731]
[143783577378441, 17, 278288451172, 278288451172]
[42920676179472, 5, 713238259687, 713238259687]
[407864371575375, 49, 5768520038518, -5768520038518]
[7704780496875, 1, 736707087082, -736707087082]
[43428335498262, 5, 1220897578477, 1220897578477]
[106589355468750, 13, 3149983122691, -3149983122691]
[8458450000000, 1, 16962416043, 16962416043]
[50392489311125, 6, 256436192617, -256436192617]
[8666993671875, 1, 225506087918, 225506087918]
[1033930030152250, 117, 46275982829281, 46275982829281]
[676132756006400, 81, 7627738294117, -7627738294117]
[57696900133184, 7, 1393512954515, -1393512954515]
[185720414336275, 22, 7687489221, 7687489221]
[92986228125000, 11, 129864701473, 129864701473]
[651623097603709, 78, 6812933944937, -6812933944937]
