N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 911938673, Dim = 50
[937500000, 1, 25561327, 25561327]
[781250000, 1, 130688673, -130688673]
[643125000, 1, 268813673, -268813673]
[1500282000, 1, 588343327, 588343327]
[310078125, 1, 601860548, -601860548]
[1801088541, 2, 22788805, -22788805]
[44789760000, 49, 104765023, 104765023]
[2470881105, 2, 647003759, 647003759]
[903935340, 1, 8003333, -8003333]
[2192271466, 3, 543544553, -543544553]
[384359283, 1, 527579390, -527579390]
[931700000, 1, 19761327, 19761327]
[580078125, 1, 331860548, -331860548]
[231548625, 1, 680390048, -680390048]
[2259801992, 1, 1347863319, 1347863319]
[365904000, 1, 546034673, -546034673]
[1663750000, 3, 1072066019, -1072066019]
[23579476910, 27, 1042867261, -1042867261]
[880000000, 1, 31938673, -31938673]
[864536409, 1, 47402264, -47402264]
[314552734375, 343, 1757769536, 1757769536]
[760293820, 1, 151644853, -151644853]
[941118750, 1, 29180077, 29180077]
[946890945, 1, 34952272, 34952272]
[1189581250, 1, 277642577, 277642577]
[3183837475, 3, 448021456, 448021456]
[775424559, 1, 136514114, -136514114]
[1089728640, 1, 177789967, 177789967]
[333669375, 1, 578269298, -578269298]
[1809323971, 2, 14553375, -14553375]
[1020219200, 1, 108280527, 108280527]
[1428306880, 1, 516368207, 516368207]
[1244140625, 1, 332201952, 332201952]
[1522521000, 1, 610582327, 610582327]
[1459940625, 1, 548001952, 548001952]
[644962500, 1, 266976173, -266976173]
[873964000, 1, 37974673, -37974673]
[719737200, 1, 192201473, -192201473]
[11575379574, 13, 279823175, -279823175]
[2658370000, 3, 77446019, -77446019]
[1955078125, 2, 131200779, 131200779]
[4071361294, 5, 488332071, -488332071]
[10136298900, 11, 104973497, 104973497]
[965431467, 1, 53492794, 53492794]
[824503680, 1, 87434993, -87434993]
[8688256200, 7, 2304685489, 2304685489]
[2749490744, 3, 13674725, 13674725]
[1114608924, 1, 202670251, 202670251]
[10117225755, 11, 85900352, 85900352]
[3560622975, 4, 87131717, -87131717]
[1173942000, 1, 262003327, 262003327]
[21867015625, 22, 1804364819, 1804364819]
[7715407700, 9, 492040357, -492040357]
[878176728, 1, 33761945, -33761945]
[128439944061, 140, 768529841, 768529841]
[1040802048, 1, 128863375, 128863375]
