N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 17140121, Dim = 30
[10546875, 1, 6593246, -6593246]
[21870000, 1, 4729879, 4729879]
[50000000, 3, 1420363, -1420363]
[48828125, 3, 2592238, -2592238]
[51200000, 3, 220363, -220363]
[13125000, 1, 4015121, -4015121]
[11907000, 1, 5233121, -5233121]
[17500000, 1, 359879, 359879]
[47840625, 1, 30700504, 30700504]
[17146080, 1, 5959, 5959]
[7411887, 1, 9728234, -9728234]
[18753525, 1, 1613404, 1613404]
[17150000, 1, 9879, 9879]
[84015792, 5, 1684813, -1684813]
[1093955625, 64, 3012119, -3012119]
[51380224, 3, 40139, -40139]
[34941753, 1, 17801632, 17801632]
[10168235, 1, 6971886, -6971886]
[22370117, 1, 5229996, 5229996]
[21741885, 1, 4601764, 4601764]
[17788815, 1, 648694, 648694]
[29712375, 1, 12572254, 12572254]
[18528125, 1, 1388004, 1388004]
[12577950, 1, 4562171, -4562171]
[8250000, 1, 8890121, -8890121]
[49520625, 4, 19039859, -19039859]
[9391536, 1, 7748585, -7748585]
[12835746, 1, 4304375, -4304375]
[4084101, 1, 13056020, -13056020]
[19921440, 1, 2781319, 2781319]
[32019867, 2, 2260375, -2260375]
[105459123, 5, 19758518, 19758518]
[6899904, 1, 10240217, -10240217]
[24257475, 1, 7117354, 7117354]
[17465382, 1, 325261, 325261]
[45294865, 3, 6125498, -6125498]
