N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 5953607126904735149, Dim = 300
[5812839730434923550, 1, 140767396469811599, -140767396469811599]
[5950459432125000000, 1, 3147694779735149, -3147694779735149]
[5623611691080699511, 1, 329995435824035638, -329995435824035638]
[6044985466007460973, 1, 91378339102725824, 91378339102725824]
[6960384788909965875, 1, 1006777662005230726, 1006777662005230726]
[5957814478953211875, 1, 4207352048476726, 4207352048476726]
[6035414276890610151925, 1014, 1543349790791289161, -1543349790791289161]
[5971556743080500000, 1, 17949616175764851, 17949616175764851]
[505871829165115760886, 85, 184776621786726779, -184776621786726779]
[5952513725530211840, 1, 1093401374523309, -1093401374523309]
[12142639570302151911, 2, 235425316492681613, 235425316492681613]
[5948423129664640625, 1, 5183997240094524, -5183997240094524]
[895982062813571582023, 150, 2940993777861309673, 2940993777861309673]
[5954779864093856400, 1, 1172737189121251, 1172737189121251]
[11910339513331452765, 2, 3125259521982467, 3125259521982467]
[4447290320301530163, 2, 7459923933507940135, -7459923933507940135]
[5963233953798800679, 1, 9626826894065530, 9626826894065530]
[53581154839479787520, 9, 1309302662828821, -1309302662828821]
[113209027875241492392, 19, 90492464051524561, 90492464051524561]
[6838149794654803625, 1, 884542667750068476, 884542667750068476]
[77451977962183003872, 13, 55085312421446935, 55085312421446935]
[5941675345300079616, 1, 11931781604655533, -11931781604655533]
[140981324015563281250, 23, 4048360096754372823, 4048360096754372823]
[4284659903864027545, 2, 7622554349945442753, -7622554349945442753]
[55075221010187508732000, 9251, 1598520808196131399, -1598520808196131399]
[53592885312149799616, 9, 10421170007183275, 10421170007183275]
[4953880162774528128, 1, 999726964130207021, -999726964130207021]
[53148791369845225600, 9, 433672772297390741, -433672772297390741]
[2762116456314295080, 1, 3191490670590440069, -3191490670590440069]
[1619641569548587592007, 272, 260431030499631479, 260431030499631479]
[4604378377929687500, 1, 1349228748975047649, -1349228748975047649]
[7924032996670591248000, 1331, 218089239611235319, -218089239611235319]
[287318213078358454525, 49, 4408536139973567776, -4408536139973567776]
[6448952074524960000, 1, 495344947620224851, 495344947620224851]
[5949000580359375000, 1, 4606546545360149, -4606546545360149]
[5827806203252158125, 1, 125800923652577024, -125800923652577024]
[147615539909323386186, 25, 1224638263294992539, -1224638263294992539]
[73623405051081318125, 13, 3773487598680238812, -3773487598680238812]
[29895671832269184799, 5, 127636197745509054, 127636197745509054]
[39310547999801453595, 7, 2364701888531692448, -2364701888531692448]
[5931276323147775600, 1, 22330803756959549, -22330803756959549]
[11785317569329009321, 2, 121896684480460977, -121896684480460977]
[5734071440418750000, 1, 219535686485985149, -219535686485985149]
[6013346681102824492, 1, 59739554198089343, 59739554198089343]
[41716749062945528000, 7, 41499174612381957, 41499174612381957]
[190440284974105560625, 32, 75143086845964143, -75143086845964143]
[9647658069861621145, 3, 8213163310852584302, -8213163310852584302]
[5409971111651678390, 1, 543636015253056759, -543636015253056759]
[136985600351332906173, 23, 52636432523997746, 52636432523997746]
[51159120812169846280, 11, 14330557583782240359, -14330557583782240359]
[65565146246139855900, 11, 75467850187769261, 75467850187769261]
[172653638099414062500, 29, 968580823256821, -968580823256821]
[71431464446422353000, 11, 5941786050470266361, 5941786050470266361]
[103941073812281494140625, 17457, 8954197905532644532, 8954197905532644532]
[4580139571700000000, 1, 1373467555204735149, -1373467555204735149]
[7042976632097656250, 1, 1089369505192921101, 1089369505192921101]
[5015531438485170790, 1, 938075688419564359, -938075688419564359]
[29832403080131231041, 5, 64367445607555296, 64367445607555296]
[91581501592047683125, 9, 37999037449905066784, 37999037449905066784]
[32349977033381284563, 4, 8535548525762343967, 8535548525762343967]
[5698496224450007550, 1, 255110902454727599, -255110902454727599]
[2828180429379853638519, 475, 217044100104442744, 217044100104442744]
[1720731957420498245370, 289, 139497745029787309, 139497745029787309]
[410796351820851582586, 69, 2539935575142695, -2539935575142695]
[1696706347638817275904, 285, 71683529032241561, -71683529032241561]
[262280770739616358210624, 44051, 18423192335870162025, 18423192335870162025]
[41734742219497490603, 7, 59492331164344560, 59492331164344560]
[6276697294260411590, 1, 323090167355676441, 323090167355676441]
[66783388741945057357, 13, 10613503907816499580, -10613503907816499580]
[148837723835437164528, 25, 2454337181214197, -2454337181214197]
[65106833029827993525, 13, 12290059619933563412, -12290059619933563412]
[2389629604813110327444084, 401375, 544251722257014209, 544251722257014209]
[183982718373742932644, 31, 579102560303856975, -579102560303856975]
[458456217773209749600, 77, 28469001545143127, 28469001545143127]
[5754964183477638593750, 961, 33547734522188115561, 33547734522188115561]
[17880621560306640625, 3, 19800179592435178, 19800179592435178]
[17561316629215521799, 3, 299504751498683648, -299504751498683648]
[41800969563980859375, 7, 125719675647713332, 125719675647713332]
[35990811810187609375, 6, 269169048759198481, 269169048759198481]
[138214750532598792625, 21, 13189000867599354496, 13189000867599354496]
[73149740611227760865, 13, 4247152038533796072, -4247152038533796072]
[5810612355947282884, 1, 142994770957452265, -142994770957452265]
[29913299940732195427, 5, 145264306208519682, 145264306208519682]
[666798631026982773363, 112, 5367186347563325, -5367186347563325]
[160661981139719528788, 27, 85411286708320235, -85411286708320235]
[5008721804701481685, 1, 944885322203253464, -944885322203253464]
[15747346900973102529114, 2645, 56050310078060009, 56050310078060009]
[5927777719027776045, 1, 25829407876959104, -25829407876959104]
[5966479071178327317, 1, 12871944273592168, 12871944273592168]
[17174494269672139449595, 2883, 10244922805788015028, 10244922805788015028]
[4910845503909951245, 1, 1042761622994783904, -1042761622994783904]
[132223692704840323482, 11, 66734014308888236843, 66734014308888236843]
[18241592026746703833491, 3135, 422966316099640858624, -422966316099640858624]
[172830903137235327369, 29, 176296456998008048, 176296456998008048]
[404698515877186738207, 68, 146768752335251925, -146768752335251925]
[77412700840587235200, 13, 15808190825678263, 15808190825678263]
[5889683533084423875, 1, 63923593820311274, -63923593820311274]
[5937791177601259200, 1, 15815949303475949, -15815949303475949]
[47614927659239236527, 8, 13929355998644665, -13929355998644665]
[5844525225233974565, 1, 109081901670760584, -109081901670760584]
[936230868126224670200000, 157339, 503723613839453408511, -503723613839453408511]
[137095925702748494625, 23, 162961783939586198, 162961783939586198]
[6901025721230365992, 1, 947418594325630843, 947418594325630843]
[291763046127034780320, 49, 36296908702758019, 36296908702758019]
[40263782445276555560593, 6760, 17398267400545953353, 17398267400545953353]
[4302587076107558693, 1, 1651020050797176456, -1651020050797176456]
[5923347230326695715, 1, 30259896578039434, -30259896578039434]
[47600333055851150575, 8, 28523959386730617, -28523959386730617]
[5806124742450050304, 1, 147482384454684845, -147482384454684845]
[190011358305825156425, 32, 504069755126368343, -504069755126368343]
[184367924494706981875, 31, 193896439339807744, -193896439339807744]
[7342208164902923598, 1, 1388601037998188449, 1388601037998188449]
[3141703010044737515520, 527, 4152054165942091997, 4152054165942091997]
[33273191224480000368640, 5589, 1519007790564379121, -1519007790564379121]
[10237982805313861508439165, 1719652, 149597682120100008983, -149597682120100008983]
[16884735442914294016149, 2821, 89609737916036160820, 89609737916036160820]
[5986939786452628925, 1, 33332659547893776, 33332659547893776]
[42658872067445586875, 7, 983622179112440832, 983622179112440832]
[113114084109272064000, 19, 4451301917903831, -4451301917903831]
[92715325295292137139, 14, 9364825518625845053, 9364825518625845053]
[8663087565038628161, 1, 2709480438133893012, 2709480438133893012]
[64591494761631948110, 9, 11009030619489331769, 11009030619489331769]
[5907637598971635065, 1, 45969527933100084, -45969527933100084]
[6044576524136718750, 1, 90969397231983601, 90969397231983601]
[7871705037449009453125, 1323, 4917191445955149002, -4917191445955149002]
[5856338097120965454, 1, 97269029783769695, -97269029783769695]
[6799852572326826320, 1, 846245445422091171, 846245445422091171]
[5960872187060510720, 1, 7265060155775571, 7265060155775571]
[9539170672438331925, 2, 2368043581371138373, -2368043581371138373]
[336424762674129377451, 55, 8976370694368944256, 8976370694368944256]
[77452395140490587875, 13, 55502490729030938, 55502490729030938]
[75976706836739255859375, 12716, 270638611018643704691, 270638611018643704691]
[61740122758526815625, 12, 9703162764330006163, -9703162764330006163]
[65291516463922956375, 11, 198161932029130264, -198161932029130264]
[78042207179496687500, 13, 645314529735130563, 645314529735130563]
[200819974367580160005, 34, 1602667947180835061, -1602667947180835061]
[184639745794665157920, 31, 77924860618368301, 77924860618368301]
[3538951750694140625, 1, 2414655376210594524, -2414655376210594524]
[780816596682454938125, 132, 5059544068970101543, -5059544068970101543]
[41475105891694921875, 7, 200143996638224168, -200143996638224168]
[89736453331710579303, 19, 23382082079479388528, -23382082079479388528]
[13486120804619531250, 1, 7532513677714796101, 7532513677714796101]
[5959955525261863125, 1, 6348398357127976, 6348398357127976]
[7287224026577534975, 1, 1333616899672799826, 1333616899672799826]
[4699501341355200380, 1, 1254105785549534769, -1254105785549534769]
[1018165553403137097728, 171, 98734702427387249, 98734702427387249]
[196908303539229900800, 33, 439268351373640883, 439268351373640883]
