N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 2434987204800059537, Dim = 300
[9709333773632799579, 4, 30615045567438569, -30615045567438569]
[2384461183477197825, 1, 50526021322861712, -50526021322861712]
[17031851762491608900, 7, 13058671108807859, -13058671108807859]
[2554483936819818575, 1, 119496732019759038, 119496732019759038]
[2435054282550309420, 1, 67077750249883, 67077750249883]
[26789258798300446000, 11, 4399545499791093, 4399545499791093]
[8693671534579272241, 5, 3481264489421025444, -3481264489421025444]
[1865230752852824720, 1, 569756451947234817, -569756451947234817]
[7293007715840000000, 3, 11953898560178611, -11953898560178611]
[20236669351127153925, 8, 756771712726677629, 756771712726677629]
[416654298507584637500, 171, 271486486774456673, 271486486774456673]
[16345656948681354613, 7, 699253484919062146, -699253484919062146]
[2403905988036903867, 1, 31081216763155670, -31081216763155670]
[94743738286408576750, 39, 220762700793745193, -220762700793745193]
[46219518339411056640, 19, 45238551790074563, -45238551790074563]
[2433968251681515822, 1, 1018953118543715, -1018953118543715]
[4864343209883128125, 2, 5631199716990949, -5631199716990949]
[879152193688652912952, 361, 121812755831420095, 121812755831420095]
[917976036033920303055, 377, 14140175702142394, -14140175702142394]
[53567380263528624675, 22, 2338242072685139, -2338242072685139]
[1984997540617674375, 1, 449989664182385162, -449989664182385162]
[4716083839362520625, 3, 2588877775037657986, -2588877775037657986]
[34681145848561828125, 13, 3026312186161054144, 3026312186161054144]
[186005992251980473375, 78, 3923009722424170511, -3923009722424170511]
[4888583345981671875, 2, 18608936381552801, 18608936381552801]
[7207029732280859195, 3, 97931882119319416, -97931882119319416]
[294231339963758241408, 121, 402111817048962569, -402111817048962569]
[51150010561134833842, 21, 15279260333583565, 15279260333583565]
[2194650558507265677, 1, 240336646292793860, -240336646292793860]
[2524714077427611993, 1, 89726872627552456, 89726872627552456]
[2374598864275128972, 1, 60388340524930565, -60388340524930565]
[2417005821421813248, 1, 17981383378246289, -17981383378246289]
[7638147461730322265625, 3388, 611589188132279445731, -611589188132279445731]
[24219636872230094888268, 9947, 1180853916097326271, -1180853916097326271]
[41384436469782656250, 17, 10346011818355879, -10346011818355879]
[1977316002841201171875, 812, 106392543552827831, 106392543552827831]
[17045318400000000000, 7, 407966399583241, 407966399583241]
[1470766648533478560, 1, 964220556266580977, -964220556266580977]
[1417827085228179990, 1, 1017160119571879547, -1017160119571879547]
[17078032885356144000, 7, 33122451755727241, 33122451755727241]
[5325268809681497600000, 2187, 48207216232607419, -48207216232607419]
[2432965894999634820, 1, 2021309800424717, -2021309800424717]
[2824566733651703040, 1, 389579528851643503, 389579528851643503]
[818582055648799442, 1, 1616405149151260095, -1616405149151260095]
[56000627664486400000, 23, 4078045914969351, -4078045914969351]
[116318205044640214990, 49, 2996167990562702323, -2996167990562702323]
[4554594234476823069, 2, 315380175123296005, -315380175123296005]
[2448732439741309029, 1, 13745234941249492, 13745234941249492]
[2469663769375000000, 1, 34676564574940463, 34676564574940463]
[2400900983836074720, 1, 34086220963984817, -34086220963984817]
[21864907338555531250, 9, 49977504645004583, -49977504645004583]
[12964081692146321953125, 5324, 209813790804978137, 209813790804978137]
[2410834986163669065, 1, 24152218636390472, -24152218636390472]
[6540229095581607536, 3, 764732518818571075, -764732518818571075]
[2467986716084979375, 1, 32999511284919838, 32999511284919838]
[17052392594916993600, 7, 7482161316576841, 7482161316576841]
[1241290751557538682, 1, 1193696453242520855, -1193696453242520855]
