N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 1568108874908342021, Dim = 300
[1571159607060734600, 1, 3050732152392579, 3050732152392579]
[1523616201408741440, 1, 44492673499600581, -44492673499600581]
[15553830606858368253, 10, 127258142225051957, -127258142225051957]
[1561499974038448517, 1, 6608900869893504, -6608900869893504]
[21172109036205359375, 19, 8621959587053139024, -8621959587053139024]
[6271244719880765625, 4, 1190779752602459, -1190779752602459]
[47961023165240478515625, 30613, 43493822328595773248, -43493822328595773248]
[2697518328803332125, 2, 438699421013351917, -438699421013351917]
[1568999371062469500, 1, 890496154127479, 890496154127479]
[782980255668647858341, 500, 1074181785523152159, -1074181785523152159]
[1598780888801404308, 1, 30672013893062287, 30672013893062287]
[1535188445431989705, 1, 32920429476352316, -32920429476352316]
[2250570231124704225, 1, 682461356216362204, 682461356216362204]
[10977133877552711250, 7, 371753194317103, 371753194317103]
[7792085125305207363, 5, 48459249236502742, -48459249236502742]
[199859209401386431604032, 127449, 5301403193149369603, 5301403193149369603]
[1674006899466671770, 1, 105898024558329749, 105898024558329749]
[1610936193262736340, 1, 42827318354394319, 42827318354394319]
[265025549443429687500, 169, 15149583919885951, 15149583919885951]
[7808368205187592427, 5, 32176169354117678, -32176169354117678]
[421563607296258766339, 270, 1825788928993579331, -1825788928993579331]
[685361252851383525417, 437, 97674516438062240, 97674516438062240]
[1538721587888671875, 1, 29387287019670146, -29387287019670146]
[120673417304390076152, 77, 70966063552259465, -70966063552259465]
[974022246906822757105, 621, 226635588742362064, 226635588742362064]
[4723092804492698636, 3, 18766179767672573, 18766179767672573]
[1977536601236453125, 1, 409427726328111104, 409427726328111104]
[1567600814078432133, 1, 508060829909888, -508060829909888]
[100359217588547418875, 64, 249594413529531, 249594413529531]
[1567431085439351286, 1, 677789468990735, -677789468990735]
[1204878049123914165, 1, 363230825784427856, -363230825784427856]
[1664985618654631845, 1, 96876743746289824, 96876743746289824]
[562959324607959296875, 357, 3144456265681195378, 3144456265681195378]
[506306496371733657600, 323, 192670223660815183, -192670223660815183]
[7839730461592718864, 5, 813912948991241, -813912948991241]
[76489785401058493268805, 48778, 570700779386168467, 570700779386168467]
[1015158355777428504609, 650, 4112412912993809041, -4112412912993809041]
[224236203043456485000, 143, 3366068436424003, -3366068436424003]
[3230958698009548275, 2, 94740948192864233, 94740948192864233]
[1538997632894384936, 1, 29111242013957085, -29111242013957085]
[577061275243693180941, 368, 2790722576682787, -2790722576682787]
[513083236163992221, 1, 1055025638744349800, -1055025638744349800]
[1591623338013518355, 1, 23514463105176334, 23514463105176334]
[7066041043890588045, 1, 5497932168982246024, 5497932168982246024]
[1792539168913186001776, 1155, 18626581605949032479, -18626581605949032479]
[1547236692105354250, 1, 20872182802987771, -20872182802987771]
[3080389184955529447, 2, 55828564861154595, -55828564861154595]
[469821143680648326336, 299, 956590083054062057, 956590083054062057]
[1491299656927368750, 1, 76809217980973271, -76809217980973271]
[33010772552143843820, 21, 80486179068661379, 80486179068661379]
[47357983245239339871, 20, 15995805747072499451, 15995805747072499451]
[1799355127217487840, 1, 231246252309145819, 231246252309145819]
[1576298458975432920, 1, 8189584067090899, 8189584067090899]
[10922925665810716272, 7, 53836458547677875, -53836458547677875]
[2504560412649468316, 1, 936451537741126295, 936451537741126295]
[1559595053733995520, 1, 8513821174346501, -8513821174346501]
[41718597244251406336, 27, 620342378273828231, -620342378273828231]
[21847514059461294919, 14, 106010189255493375, -106010189255493375]
[17261253489698400000, 11, 12055865706637769, 12055865706637769]
[193864977343787800765000, 123627, 4381465494201734833, 4381465494201734833]
[3064970772895378347, 2, 71246976921305695, -71246976921305695]
[1769867110423575009, 1, 201758235515232988, 201758235515232988]
[3154801647306926835, 2, 18583897490242793, 18583897490242793]
[3211206124238696385, 2, 74988374422012343, 74988374422012343]
[1570409133284116125, 1, 2300258375774104, 2300258375774104]
[12773178871942042125, 8, 228307872675305957, 228307872675305957]
[1661906026697085000, 1, 93797151788742979, 93797151788742979]
[252500712423541964800, 161, 35183563298899419, 35183563298899419]
[20551588247325515625, 13, 166172873517069352, 166172873517069352]
[34437297771728515625, 22, 61097476255008837, -61097476255008837]
[538080921936035156250, 343, 219577842473843047, 219577842473843047]
[6218546481104091615, 4, 53889018529276469, -53889018529276469]
[3167073822021484375, 2, 30856072204800333, 30856072204800333]
[1658808718873988220, 1, 90699843965646199, 90699843965646199]
[32945775899348019136, 21, 15489526272836695, 15489526272836695]
[120736941399028531200, 77, 7441968913804417, -7441968913804417]
[25441232990214336295, 17, 1216617883227478062, -1216617883227478062]
[1579490160088845312, 1, 11381285180503291, 11381285180503291]
[1619591692650750000, 1, 51482817742407979, 51482817742407979]
[39245192364045679424, 25, 42470491337128899, 42470491337128899]
[362268038940429687500, 231, 34888836602680649, 34888836602680649]
[1303186272552778460, 1, 264922602355563561, -264922602355563561]
[2873590786886015625, 2, 262626962930668417, -262626962930668417]
[2323380231952985205, 1, 755271357044643184, 755271357044643184]
[1533725164205179374, 1, 34383710703162647, -34383710703162647]
[23464232109851652262, 15, 57401013773478053, -57401013773478053]
[1691636419724672421, 1, 123527544816330400, 123527544816330400]
[1319737015371948558, 1, 248371859536393463, -248371859536393463]
[1406076818708175057752, 897, 516842084607735085, -516842084607735085]
[1551377617282645625, 1, 16731257625696396, -16731257625696396]
[10976616789743501312, 7, 145334614892835, -145334614892835]
[1507375915129891989, 1, 60732959778450032, -60732959778450032]
[38158318075621489284825, 24334, 43286398105454189, -43286398105454189]
[13134961853562886400700, 8381, 7358627043928077301, -7358627043928077301]
[1213252515428202018, 1, 354856359480140003, -354856359480140003]
[1290774513826334615777, 840, 26436941096672681863, -26436941096672681863]
[198110204569710092352, 125, 2096595206167339727, 2096595206167339727]
[883060935605468750, 1, 685047939302873271, -685047939302873271]
[1116539563628238750, 1, 451569311280103271, -451569311280103271]
[5345757055000166805, 4, 926678444633201279, -926678444633201279]
[1569319575015747555, 1, 1210700107405534, 1210700107405534]
[1006860626442755448, 1, 561248248465586573, -561248248465586573]
[75636604301836259513, 49, 1200730568672499516, -1200730568672499516]
[1549514941406250000, 1, 18593933502092021, -18593933502092021]
[28870752984619144510912, 18411, 300488681659562281, 300488681659562281]
[1558476868022779419, 1, 9632006885562602, -9632006885562602]
[565861045335082656250, 361, 226258506828813331, -226258506828813331]
[381079302727013515625, 243, 28846124286404522, 28846124286404522]
