N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 356722702338263059, Dim = 290
[357180633544921875, 1, 457931206658816, 457931206658816]
[361419394666923320, 1, 4696692328660261, 4696692328660261]
[3208548137781805000, 9, 1956183262562531, -1956183262562531]
[1004377963808114134029, 2816, 153165976434640115, -153165976434640115]
[2134669200046983101187, 5984, 40549254816956131, 40549254816956131]
[30316682962271531826, 85, 4746736480828189, -4746736480828189]
[6771543188208350552, 19, 6188156218647569, -6188156218647569]
[141374195417618254, 1, 215348506920644805, -215348506920644805]
[356780042357567136, 1, 57340019304077, 57340019304077]
[798560615124146875, 2, 85115210447620757, 85115210447620757]
[355153837433628618, 1, 1568864904634441, -1568864904634441]
[5956644332723509425, 17, 107641607026962578, -107641607026962578]
[354229806941377059, 1, 2492895396886000, -2492895396886000]
[714490474117981275, 2, 1045069441455157, 1045069441455157]
[664562208770671750000, 1863, 12185685512328917, -12185685512328917]
[4638128691724707564, 13, 733561327287797, 733561327287797]
[355896301570329520, 1, 826400767933539, -826400767933539]
[24595163043059401000, 69, 18703418280750071, -18703418280750071]
[169444330862741028864, 475, 1047252066075839, 1047252066075839]
[1728296287341374751, 5, 55317224349940544, -55317224349940544]
[272888870707503345064, 765, 3996581267895071, -3996581267895071]
[2036615502056692821, 5, 253001990365377526, 253001990365377526]
[1863180142016144523, 5, 79566630324829228, 79566630324829228]
[1794870021946867151, 5, 11256510255551856, 11256510255551856]
[351403422874338835, 1, 5319279463924224, -5319279463924224]
[357502786184544000, 1, 780083846280941, 780083846280941]
[356720247184021875, 1, 2455154241184, -2455154241184]
[345042645369712290, 1, 11680056968550769, -11680056968550769]
[350910095457796875, 1, 5812606880466184, -5812606880466184]
[4549465422760904030, 13, 87929707636515737, -87929707636515737]
[356896772174067125, 1, 174069835804066, 174069835804066]
[643895024009902635516, 1805, 10546289337814021, 10546289337814021]
[476487462653412210, 1, 119764760315149151, 119764760315149151]
[356726751119960760, 1, 4048781697701, 4048781697701]
[396374681040121875, 1, 39651978701858816, 39651978701858816]
[335466513763631250, 1, 21256188574631809, -21256188574631809]
[711366910129296875, 2, 2078494547229243, -2078494547229243]
[356819667335327665, 1, 96964997064606, 96964997064606]
[3216907228522637650, 9, 6402907478270119, 6402907478270119]
[356589115641916542, 1, 133586696346517, -133586696346517]
[13910464206729012692, 39, 1721184463246609, -1721184463246609]
[17172380924967880161846, 48139, 106757106234764645, 106757106234764645]
[1068510958783447816, 3, 1657148231341361, -1657148231341361]
[4637317031015625000, 13, 78099381794767, -78099381794767]
[364840365827076336, 1, 8117663488813277, 8117663488813277]
[359497651136520225, 1, 2774948798257166, 2774948798257166]
[209701560429412194, 1, 147021141908850865, -147021141908850865]
[1510891947910482087357, 4225, 3738530531320663082, 3738530531320663082]
[169762041450313894725, 476, 37964862699321359, -37964862699321359]
[306441431904296875, 1, 50281270433966184, -50281270433966184]
[1070595608664078112, 3, 427501649288935, 427501649288935]
[355659122765841895, 1, 1063579572421164, -1063579572421164]
[357440134007756800, 1, 717431669493741, 717431669493741]
[4282413809315916505, 12, 1741381256759797, 1741381256759797]
[4637202048951003840, 13, 193081446415927, -193081446415927]
[376616586904925950, 1, 19893884566662891, 19893884566662891]
[5638792299268131003, 17, 425493640482341000, -425493640482341000]
[50031644108196875487, 140, 90465780840047227, 90465780840047227]
[492277288775215802573, 1372, 2853741167118885625, 2853741167118885625]
[352933538484754227, 1, 3789163853508832, -3789163853508832]
[250320803813619595, 1, 106401898524643464, -106401898524643464]
[1049977276992143825325, 2944, 214358691702620371, -214358691702620371]
