N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 4286501650531, Dim = 150
[4200045163776, 1, 86456486755, -86456486755]
[4946199258000, 1, 659697607469, 659697607469]
[5126925769350, 1, 840424118819, 840424118819]
[192870689333036, 45, 21884940859, -21884940859]
[39186852454750, 9, 608337599971, 608337599971]
[12868825249280, 3, 9320297687, 9320297687]
[25787353515625, 6, 68343612439, 68343612439]
[21440951820288, 5, 8443567633, 8443567633]
[8031293707437, 2, 541709593625, -541709593625]
[4400877184704, 1, 114375534173, 114375534173]
[3995801896086, 1, 290699754445, -290699754445]
[12131640870195, 4, 5014365731929, -5014365731929]
[4254191637696, 1, 32310012835, -32310012835]
[30549913967430, 7, 544402413713, 544402413713]
[4326126796875, 1, 39625146344, 39625146344]
[7921588082265, 2, 651415218797, -651415218797]
[5025914871250, 1, 739413220719, 739413220719]
[6012751144491, 1, 1726249493960, 1726249493960]
[3325787845380, 1, 960713805151, -960713805151]
[24511139453125, 7, 5494372100592, -5494372100592]
[3637343284939, 1, 649158365592, -649158365592]
[13023159840691, 3, 163654889098, 163654889098]
[4682970091800, 1, 396468441269, 396468441269]
[4576112647470, 1, 289610996939, 289610996939]
[4539770950000, 1, 253269299469, 253269299469]
[4516072631616, 1, 229570981085, 229570981085]
[6756280781250, 1, 2469779130719, 2469779130719]
[3963960000000, 1, 322541650531, -322541650531]
[3487369502500, 1, 799132148031, -799132148031]
[4683976171875, 1, 397474521344, 397474521344]
[3945297345990, 1, 341204304541, -341204304541]
[6215691838356, 1, 1929190187825, 1929190187825]
[39901332562520, 9, 1322817707741, 1322817707741]
[45362471652225, 11, 1789046503616, -1789046503616]
[8708890808475, 2, 135887507413, 135887507413]
[6911876044073, 2, 1661127256989, -1661127256989]
[16639204542345, 4, 506802059779, -506802059779]
[29334931697500, 7, 670579856217, -670579856217]
[4436323198125, 1, 149821547594, 149821547594]
[5112829729150, 1, 826328078619, 826328078619]
[15869848178275, 3, 3010343226682, 3010343226682]
[12081262329136, 3, 778242622457, -778242622457]
[3459586530015, 1, 826915120516, -826915120516]
[3601454752350, 1, 685046898181, -685046898181]
[3396085072380, 1, 890416578151, -890416578151]
[3605015261250, 1, 681486389281, -681486389281]
[27921364453125, 7, 2084147100592, -2084147100592]
[45509304891141, 11, 1642213264700, -1642213264700]
[4400970619815, 1, 114468969284, 114468969284]
[28587968780800, 7, 1417542772917, -1417542772917]
[46724894801585, 12, 4713125004787, -4713125004787]
[12037048608025, 3, 822456343568, -822456343568]
[84950363777825, 22, 9352672533857, -9352672533857]
[4328135413056, 1, 41633762525, 41633762525]
