N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 845546611823483, Dim = 210
[1835202406537500, 1, 989655794714017, 989655794714017]
[438252145587971, 1, 407294466235512, -407294466235512]
[837729122326250, 1, 7817489497233, -7817489497233]
[540604076962950, 1, 304942534860533, -304942534860533]
[638355388645975, 1, 207191223177508, -207191223177508]
[1977401859785625, 1, 1131855247962142, 1131855247962142]
[4152140742401883, 5, 75592316715532, -75592316715532]
[779502020506209, 1, 66044591317274, -66044591317274]
[827782418184540, 1, 17764193638943, -17764193638943]
[5117996509894125, 7, 800829772870256, -800829772870256]
[4132676849373072, 5, 95056209744343, -95056209744343]
[849630229963515, 1, 4083618140032, 4083618140032]
[13762942179207221, 15, 1079743001854976, 1079743001854976]
[882618901164000, 1, 37072289340517, 37072289340517]
[822260742187500, 1, 23285869635983, -23285869635983]
[832016203200000, 1, 13530408623483, -13530408623483]
[861053642026875, 1, 15507030203392, 15507030203392]
[845845000000000, 1, 298388176517, 298388176517]
[7759793213046875, 9, 149873706635528, 149873706635528]
[5915033669531250, 7, 3792613233131, -3792613233131]
[1680542066680785, 2, 10551156966181, -10551156966181]
[840510486270000, 1, 5036125553483, -5036125553483]
[1695584961984375, 2, 4491738337409, 4491738337409]
[843256313499600, 1, 2290298323883, -2290298323883]
[4235414436153054, 5, 7681377035639, 7681377035639]
[840799458984375, 1, 4747152839108, -4747152839108]
[11818500758842635, 14, 19151806686127, -19151806686127]
[102262301587411875, 121, 48838443229568, -48838443229568]
[874759983101400, 1, 29213371277917, 29213371277917]
[2626040520228125, 4, 756145927065807, -756145927065807]
[830792715735983, 1, 14753896087500, -14753896087500]
[1985965363765383, 1, 1140418751941900, 1140418751941900]
[912390864930930, 1, 66844253107447, 66844253107447]
[9087469812683691, 14, 2750182752845071, -2750182752845071]
[3569785136360443, 3, 1033145300889994, 1033145300889994]
[1511706433071835, 2, 179386790575131, -179386790575131]
[2974427793042706, 3, 437787957572257, 437787957572257]
[819032263809375, 1, 26514348014108, -26514348014108]
[797454358593750, 1, 48092253229733, -48092253229733]
[490108906663530, 1, 355437705159953, -355437705159953]
[499197868464113, 1, 346348743359370, -346348743359370]
[818013313869765, 1, 27533297953718, -27533297953718]
[255396139395341, 1, 590150472428142, -590150472428142]
[428226539738970, 1, 417320072084513, -417320072084513]
[1091056412133765, 1, 245509800310282, 245509800310282]
[57839411639240, 1, 787707200184243, -787707200184243]
[1689657708892195, 1, 844111097068712, 844111097068712]
[171229445425038, 1, 674317166398445, -674317166398445]
[430389754170915, 1, 415156857652568, -415156857652568]
[816016226752350, 1, 29530385071133, -29530385071133]
[2879363621733417, 5, 1348369437383998, -1348369437383998]
[244374475947602, 1, 601172135875881, -601172135875881]
[1340698918018460, 3, 1195940917451989, -1195940917451989]
[839673828125000, 1, 5872783698483, -5872783698483]
[3374775880463520, 1, 2529229268640037, 2529229268640037]
[1028849551908750, 1, 183302940085267, 183302940085267]
[1110220257719755, 2, 580872965927211, -580872965927211]
[2352332862851825, 3, 184306972618624, -184306972618624]
[422101367545858, 1, 423445244277625, -423445244277625]
[729371992362475, 1, 116174619461008, -116174619461008]
[1071892685937500, 1, 226346074114017, 226346074114017]
[7270812017891565, 7, 1351985735127184, 1351985735127184]
[841268563306875, 1, 4278048516608, -4278048516608]
[19306943924960601, 10, 10851477806725771, 10851477806725771]
[845709892627600, 1, 163280804117, 163280804117]
[2153497963209901, 2, 462404739562935, 462404739562935]
[5936325887695203, 8, 828047006892661, -828047006892661]
[838024359422250, 1, 7522252401233, -7522252401233]
[1096373641921875, 1, 250827030098392, 250827030098392]
[966593448528750, 1, 121046836705267, 121046836705267]
[4238212118126283, 5, 10479059008868, 10479059008868]
[945216629957600, 1, 99670018134117, 99670018134117]
[871671963903125, 1, 26125352079642, 26125352079642]
[34878022502140994, 35, 5283891088319089, 5283891088319089]
[1055166053906250, 1, 209619442082767, 209619442082767]
[4279951252987956, 5, 52218193870541, 52218193870541]
[10940931847466775, 13, 51174106238504, -51174106238504]
[796423485000000, 1, 49123126823483, -49123126823483]
[449917186875000, 1, 395629424948483, -395629424948483]
[646097278076250, 1, 199449333747233, -199449333747233]
[808160218613748, 1, 37386393209735, -37386393209735]
[3344904209872225, 4, 37282237421707, -37282237421707]
[1756149581385045, 2, 65056357738079, 65056357738079]
[729087629747400, 1, 116458982076083, -116458982076083]
[9461059374807157, 11, 160046644748844, 160046644748844]
[19259285682970515, 22, 657260222853889, 657260222853889]
[96280833851546526, 121, 6030306179094917, -6030306179094917]
[844685680781250, 1, 860931042233, -860931042233]
[2462698838343625, 3, 73940997126824, -73940997126824]
[12605234802167007, 19, 3460150822479170, -3460150822479170]
[7661464607536285, 11, 1639548122522028, -1639548122522028]
[848994138798000, 1, 3447526974517, 3447526974517]
[5875806720930432, 7, 43019561833949, -43019561833949]
[687577604673960, 1, 157969007149523, -157969007149523]
[8099969463833247, 10, 355496654401583, -355496654401583]
[11337663574213119, 14, 499988991315643, -499988991315643]
[3519603024491708, 5, 708130034625707, -708130034625707]
[842030532189000, 1, 3516079634483, -3516079634483]
[14771936188807875, 17, 397643787808664, 397643787808664]
[4225254679551906, 5, 2478379565509, -2478379565509]
[849548747643750, 1, 4002135820267, 4002135820267]
[799007904001125, 1, 46538707822358, -46538707822358]
[51488144086681445, 63, 1781292458197984, -1781292458197984]
[789873700936320, 1, 55672910887163, -55672910887163]
[17493562455558189, 20, 582630219088529, 582630219088529]
[304859148710735619, 361, 383178157541744, -383178157541744]
[4316824030421266, 5, 89090971303851, 89090971303851]
[20801920257550432, 25, 336745038036643, -336745038036643]
[1638756527607225, 2, 52336696039741, -52336696039741]
[105130619578601708, 121, 2819479547960265, 2819479547960265]
[14956691019445175, 18, 263147993377519, -263147993377519]
[45606158027191377, 52, 1637734212370261, 1637734212370261]
[1759589382025475, 2, 68496158378509, 68496158378509]
[100145077831343699, 117, 1216124247996188, 1216124247996188]
[6884043783203125, 8, 119670888615261, 119670888615261]
[2551545456711680, 3, 14905621241231, 14905621241231]
[40346060721484375, 48, 240176646042809, -240176646042809]
[4421763304747866, 5, 194030245630451, 194030245630451]
[846056442816000, 1, 509830992517, 509830992517]
[86253829993536205, 102, 8075587540939, 8075587540939]
[7609997491250000, 9, 77984838653, 77984838653]
[402811915226790069, 475, 1177274610635644, 1177274610635644]
[4070899447873578125, 4851, 30847166082137908, -30847166082137908]
[201964016121206625, 238, 723922507217671, 723922507217671]
[13731057084443359375, 16184, 46730718692110503, 46730718692110503]
[64402944239937303, 76, 141401741352595, 141401741352595]
[20927036142970496, 25, 211629152616579, -211629152616579]
[80972141357421875, 96, 200333377632493, -200333377632493]
[291331542368961666, 343, 1309054513506997, 1309054513506997]
[568537657311706677, 676, 3051852280967831, -3051852280967831]
[68544436564542400, 81, 55161006840277, 55161006840277]
[94804529094730125, 112, 103308570500029, 103308570500029]
[41455186835062500, 49, 23402855711833, 23402855711833]
[845661125836800, 1, 114514013317, 114514013317]
[105606661785698304, 125, 86664692237071, -86664692237071]
[845747417788416, 1, 200805964933, 200805964933]
[21144171286375488, 25, 5505990788413, 5505990788413]
[5920075794087936, 7, 1249511323555, 1249511323555]
[24150085449218750000, 28561, 428668928252037, 428668928252037]
[1391920269512500, 1, 546373657689017, 546373657689017]
[854009731449875, 1, 8463119626392, 8463119626392]
[344888085213100, 1, 500658526610383, -500658526610383]
[794651483768571, 1, 50895128054912, -50895128054912]
[813677931565499, 1, 31868680257984, -31868680257984]
[1696082938996875, 1, 850536327173392, 850536327173392]
[1425808109011167, 1, 580261497187684, 580261497187684]
[1144395154336668, 1, 298848542513185, 298848542513185]
[971854246074096, 1, 126307634250613, 126307634250613]
[703503481484375, 4, 2678682965809557, -2678682965809557]
[456254151718750, 1, 389292460104733, -389292460104733]
[710820562960872, 1, 134726048862611, -134726048862611]
[1550254021474158, 1, 704707409650675, 704707409650675]
[858575485068483, 1, 13028873245000, 13028873245000]
[2280744876812402, 1, 1435198264988919, 1435198264988919]
[366100413572894, 1, 479446198250589, -479446198250589]
[543578922832484, 1, 301967688990999, -301967688990999]
[406957482334480, 1, 438589129489003, -438589129489003]
[506372833429645, 1, 339173778393838, -339173778393838]
[3268559533078125, 1, 2423012921254642, 2423012921254642]
[214307884845054, 1, 631238726978429, -631238726978429]
[2618988124892832, 1, 1773441513069349, 1773441513069349]
[718412232897975, 1, 127134378925508, -127134378925508]
[2387376560475060, 1, 1541829948651577, 1541829948651577]
[1112632264396107, 1, 267085652572624, 267085652572624]
[676135001953125, 1, 169411609870358, -169411609870358]
[845597301224819, 1, 50689401336, 50689401336]
[1460837875612115, 2, 230255348034851, -230255348034851]
[231153046071332, 1, 614393565752151, -614393565752151]
[845596118105739, 1, 49506282256, 49506282256]
[2920638927747177, 1, 2075092315923694, 2075092315923694]
[1467992180655000, 1, 622445568831517, 622445568831517]
[270027083187433, 1, 575519528636050, -575519528636050]
[236159454213760, 1, 609387157609723, -609387157609723]
[920070337222806, 1, 74523725399323, 74523725399323]
[238458528515625, 1, 607088083307858, -607088083307858]
[1034906923650600, 1, 189360311827117, 189360311827117]
[2807026920040200, 1, 1961480308216717, 1961480308216717]
[481784538725490, 1, 363762073097993, -363762073097993]
[1819539140717025, 1, 973992528893542, 973992528893542]
[936567736384995, 2, 754525487261971, -754525487261971]
[1641808284948975, 1, 796261673125492, 796261673125492]
[774707215156875, 1, 70839396666608, -70839396666608]
[831557334748140, 1, 13989277075343, -13989277075343]
[188540518010075, 1, 657006093813408, -657006093813408]
[871673509249543, 1, 26126897426060, 26126897426060]
[701600540715360, 1, 143946071108123, -143946071108123]
[2832305985386449, 1, 1986759373562966, 1986759373562966]
[562938418200000, 1, 282608193623483, -282608193623483]
[966845397836318, 1, 121298786012835, 121298786012835]
[377979241002363, 1, 467567370821120, -467567370821120]
[1143126462043720, 1, 297579850220237, 297579850220237]
[808217305331040, 1, 37329306492443, -37329306492443]
[713517095817504, 1, 132029516005979, -132029516005979]
[2114973949888800, 1, 1269427338065317, 1269427338065317]
[1044132472197639, 1, 198585860374156, 198585860374156]
[4738283241799250, 1, 3892736629975767, 3892736629975767]
[4190991557380551, 5, 36741501736864, -36741501736864]
[1111896152803488, 1, 266349540980005, 266349540980005]
[848359414203125, 1, 2812802379642, 2812802379642]
[1301623605768915, 1, 456076993945432, 456076993945432]
[1857933625399005, 1, 1012387013575522, 1012387013575522]
[950652023734875, 1, 105105411911392, 105105411911392]
[1342623366226142, 1, 497076754402659, 497076754402659]
[438830074452627, 1, 406716537370856, -406716537370856]
[978621206250688, 1, 133074594427205, 133074594427205]
[661358941721478, 1, 184187670102005, -184187670102005]
[7015458117951423, 1, 6169911506127940, 6169911506127940]
[1737062583059713, 2, 45969359412747, 45969359412747]
[1133398224323750, 1, 287851612500267, 287851612500267]
[1603844391526195, 3, 932795443944254, -932795443944254]
[834669971827300, 1, 10876639996183, -10876639996183]
[1050316492385160, 1, 204769880561677, 204769880561677]
[450956602425875, 1, 394590009397608, -394590009397608]
[472414507273170, 1, 373132104550313, -373132104550313]
[589629101181120, 1, 255917510642363, -255917510642363]
[298953483004022, 1, 546593128819461, -546593128819461]
[4515873035495185, 2, 2824779811848219, 2824779811848219]
[941030061155184, 1, 95483449331701, 95483449331701]
[3539488801996875, 2, 1848395578349909, 1848395578349909]
[736644546199170, 1, 108902065624313, -108902065624313]
[1834690567084375, 1, 989143955260892, 989143955260892]
[2005802822249226, 1, 1160256210425743, 1160256210425743]
[838907920918980, 1, 6638690904503, -6638690904503]
[205643426586125, 1, 639903185237358, -639903185237358]
[11710538053104527, 10, 3255071934869697, 3255071934869697]
[992657701437831, 1, 147111089614348, 147111089614348]
