N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 130702184608413767897, Dim = 968
[3790375250713126789987, 29, 11897069127520974, 11897069127520974]
[8757605769315872567658, 67, 559400552150118559, 559400552150118559]
[1097639754180416079268138139, 8398297, 36010709871442419933270, -36010709871442419933270]
[254261597093494923616131971, 1945349, 232967701808651470918, 232967701808651470918]
[3256075625694520319396191415, 24880481, 4142404886389127096472958, 4142404886389127096472958]
[392040879436841542369, 3, 65674388399761322, -65674388399761322]
[130679819304316896317, 1, 22365304096871580, -22365304096871580]
[130705409404667118582, 1, 3224796253350685, 3224796253350685]
[1703705036969515748023, 13, 4576637060136765362, 4576637060136765362]
[153595938200992779154481, 1175, 20871286106601875506, 20871286106601875506]
[214753962683715862647877, 1643, 10273372092041993106, 10273372092041993106]
[10324662960708164059703, 79, 809623356523604160, -809623356523604160]
[3006226143389178771726, 23, 75897395662110095, 75897395662110095]
[1176546937596834114067, 9, 227276121110202994, 227276121110202994]
[51647946090620032062327, 395, 20583170296593743012, 20583170296593743012]
[3528858810412676961562, 27, 100174014494771657, -100174014494771657]
[1436805841756376263685092727, 10993995, 133322317601658505685788, -133322317601658505685788]
[130685005853369734221, 1, 17178755044033676, -17178755044033676]
[1437561408272949152991, 11, 162622419602293876, -162622419602293876]
[784188671618391328387, 6, 24436032091278995, -24436032091278995]
[392135650540904469758, 3, 29096715663166067, 29096715663166067]
[1568138916537924451127, 12, 287298763040763637, -287298763040763637]
[1175429867877632623161685, 8993, 25121694167608463964, 25121694167608463964]
[39079878223758599357323, 299, 74974157117243880, -74974157117243880]
[130341694299921713819, 1, 360490308492054078, -360490308492054078]
[130743635111959690667, 1, 41450503545922770, 41450503545922770]
[6916037519108874232126, 53, 11178265137055466415, -11178265137055466415]
[105093499869888620920163, 804, 8943444723951530975, 8943444723951530975]
[914160217244131378859, 7, 755075014764996420, -755075014764996420]
