N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 146640072011, Dim = 100
[121060821000, 1, 25579251011, -25579251011]
[2567805035499, 14, 514844027345, 514844027345]
[146361600000, 1, 278472011, -278472011]
[147015000000, 1, 374927989, 374927989]
[4689100521875, 32, 3381782477, -3381782477]
[147197952000, 1, 557879989, 557879989]
[195304567500000, 1331, 126631653359, 126631653359]
[145994062500, 1, 646009511, -646009511]
[207479909637, 1, 60839837626, 60839837626]
[55908928647, 2, 237371215375, -237371215375]
[122359608150, 1, 24280463861, -24280463861]
[328781578125, 1, 182141506114, 182141506114]
[88385506209, 1, 58254565802, -58254565802]
[99991683792, 1, 46648388219, -46648388219]
[179123073129, 4, 407437214915, -407437214915]
[135754003125, 1, 10886068886, -10886068886]
[147174663636, 1, 534591625, 534591625]
[789627337928, 5, 56426977873, 56426977873]
[106032712500, 1, 40607359511, -40607359511]
[255868112500, 3, 184052103533, -184052103533]
[153548483088, 1, 6908411077, 6908411077]
[110850838956, 1, 35789233055, -35789233055]
[1045493855406, 5, 312293495351, 312293495351]
[258829900875, 2, 34450243147, -34450243147]
[115151465000, 1, 31488607011, -31488607011]
[282757724249, 2, 10522419773, -10522419773]
[439918519040, 3, 1696993, -1696993]
[1021055750000, 7, 5424754077, -5424754077]
[459022279625, 3, 19102063592, 19102063592]
[210773241536, 1, 64133169525, 64133169525]
[283901743125, 2, 9378400897, -9378400897]
[163156593600, 1, 16516521589, 16516521589]
[4383424757569, 30, 15777402761, -15777402761]
[2339434878550, 13, 433113942407, 433113942407]
[761403616974, 5, 28203256919, 28203256919]
[4411471739168, 33, 427650637195, -427650637195]
[139741875000, 1, 6898197011, -6898197011]
[1574234794496, 11, 38805997625, -38805997625]
[1875211490988, 13, 31109445155, -31109445155]
[7048765546875, 49, 136597981664, -136597981664]
[294764052232496, 2025, 2182093589779, -2182093589779]
[24816585937500, 169, 34413767641, 34413767641]
[7625597484987, 52, 313740415, 313740415]
[149234069985, 1, 2593997974, 2593997974]
[213426378620, 1, 66786306609, 66786306609]
[95409737500, 1, 51230334511, -51230334511]
[51649860955, 1, 94990211056, -94990211056]
[108057252303, 1, 38582819708, -38582819708]
[15660599240, 1, 130979472771, -130979472771]
[213092343750, 1, 66452271739, 66452271739]
[113089746000, 1, 33550326011, -33550326011]
[136178902475, 1, 10461169536, -10461169536]
[197360766603, 1, 50720694592, 50720694592]
[164889284560, 1, 18249212549, 18249212549]
[147891769025, 1, 1251697014, 1251697014]
[133808113296, 1, 12831958715, -12831958715]
[76231257795, 1, 70408814216, -70408814216]
[40238878875, 1, 106401193136, -106401193136]
[26036921625, 1, 120603150386, -120603150386]
[190713856333, 3, 249206359700, -249206359700]
[102175046875, 1, 44465025136, -44465025136]
[99874960900, 1, 46765111111, -46765111111]
[103716305550, 1, 42923766461, -42923766461]
[183695242500, 1, 37055170489, 37055170489]
[276301935000, 1, 129661862989, 129661862989]
[257254244625, 2, 36025899397, -36025899397]
[377094453125, 1, 230454381114, 230454381114]
[186969453125, 1, 40329381114, 40329381114]
[1378786216418, 7, 352305712341, 352305712341]
[324496715452, 5, 408703644603, -408703644603]
[304929937125, 2, 11649793103, 11649793103]
[131729732838, 1, 14910339173, -14910339173]
[140484183840, 1, 6155888171, -6155888171]
[223315118208, 1, 76675046197, 76675046197]
[135479615040, 1, 11160456971, -11160456971]
[62003821880, 1, 84636250131, -84636250131]
[152808690177, 1, 6168618166, 6168618166]
[86802569568, 1, 59837502443, -59837502443]
[69629960400, 1, 77010111611, -77010111611]
[314721000000, 1, 168080927989, 168080927989]
[146635731675, 1, 4340336, -4340336]
[440936218217, 4, 145624069827, -145624069827]
[33693833250, 1, 112946238761, -112946238761]
[143819943696, 1, 2820128315, -2820128315]
[197751834280, 1, 51111762269, 51111762269]
[430666479100, 3, 9253736933, -9253736933]
[179152545000, 1, 32512472989, 32512472989]
[805346315917, 7, 221134188160, -221134188160]
[403906091875, 1, 257266019864, 257266019864]
[652463686875, 1, 505823614864, 505823614864]
[200824574080, 1, 54184502069, 54184502069]
[144500000000, 1, 2140072011, -2140072011]
[439099375000, 3, 820841033, -820841033]
[1425383314355, 9, 105622666256, 105622666256]
[219634529400, 1, 72994457389, 72994457389]
[829607796875, 9, 490152851224, -490152851224]
[97876171875, 1, 48763900136, -48763900136]
[166631816520, 1, 19991744509, 19991744509]
[1923513101653, 10, 457112381543, 457112381543]
[86097864600, 1, 60542207411, -60542207411]
[258413974000, 3, 181506242033, -181506242033]
[95715468288, 1, 50924603723, -50924603723]
[291725681247, 2, 1554462775, -1554462775]
[160101541600, 1, 13461469589, 13461469589]
[141834264000, 1, 4805808011, -4805808011]
[82573036650, 1, 64067035361, -64067035361]
