N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 18313358001143, Dim = 180
[23824193092700, 1, 5510835091557, 5510835091557]
[19533464843750, 1, 1220106842607, 1220106842607]
[15935106562375, 1, 2378251438768, -2378251438768]
[24916731119280, 1, 6603373118137, 6603373118137]
[40593088312777, 2, 3966372310491, 3966372310491]
[116507435287321, 7, 11686070720680, -11686070720680]
[27166999424565, 1, 8853641423422, 8853641423422]
[73113465126845, 4, 139966877727, -139966877727]
[13202646803775, 1, 5110711197368, -5110711197368]
[18692671725000, 1, 379313723857, 379313723857]
[21856090414158, 1, 3542732413015, 3542732413015]
[48920312566125, 2, 12293596563839, 12293596563839]
[137104409116125, 8, 9402454893019, -9402454893019]
[14502926037600, 1, 3810431963543, -3810431963543]
[28623923453125, 2, 8002792549161, -8002792549161]
[54959857327375, 3, 19783323946, 19783323946]
[117259659682308, 5, 25692869676593, 25692869676593]
[15798067661376, 1, 2515290339767, -2515290339767]
[18675963768000, 1, 362605766857, 362605766857]
[1296793308281900, 81, 186588689810683, -186588689810683]
[582145582823805, 32, 3881873212771, -3881873212771]
[45147887785000, 3, 9792186218429, -9792186218429]
[18129541015625, 1, 183816985518, -183816985518]
[55072350265625, 3, 132276262196, 132276262196]
[201529741185864, 11, 82803173291, 82803173291]
[17739803206125, 1, 573554795018, -573554795018]
[90890843674176, 5, 675946331539, -675946331539]
[17835775916400, 1, 477582084743, -477582084743]
[1274305670647130, 63, 120564116575121, 120564116575121]
[18119361320775, 1, 193996680368, -193996680368]
[1197478962194515, 68, 47829381883209, -47829381883209]
[129510276928175, 7, 1316770920174, 1316770920174]
[498933582268275, 26, 22786274238557, 22786274238557]
[36618849102825, 2, 7866899461, -7866899461]
[18681274579968, 1, 367916578825, 367916578825]
[18422753264531, 1, 109395263388, 109395263388]
[129415335440625, 7, 1221829432624, 1221829432624]
[92356095161088, 5, 789305155373, 789305155373]
[73182092011875, 4, 71339992697, -71339992697]
[2051926027027591, 112, 829930899575, 829930899575]
[307656125511735, 17, 3670960507696, -3670960507696]
[2224427935275000, 121, 8511617136697, 8511617136697]
[362795307447573, 20, 3471852575287, -3471852575287]
[55165165055000, 3, 225091051571, 225091051571]
[659764993866979, 36, 484105825831, 484105825831]
[144657011860515, 8, 1849852148629, -1849852148629]
[727748452625103, 40, 4785867420617, -4785867420617]
