N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 719399297416802543, Dim = 300
[35286043998383750000, 49, 35478424960425393, 35478424960425393]
[1439321262686682375, 2, 522667853077289, 522667853077289]
[719401381842124800, 1, 2084425322257, 2084425322257]
[17985236990383286052, 25, 254554963222477, 254554963222477]
[723745107550364900, 1, 4345810133562357, 4345810133562357]
[3475197208432980459, 5, 121799278651032256, -121799278651032256]
[13672372846309133775, 19, 3786195389885458, 3786195389885458]
[2188664357649687500, 3, 30466465399279871, 30466465399279871]
[2158241396416545440, 3, 43504166137811, 43504166137811]
[2808910171903358523, 5, 788086315180654192, -788086315180654192]
[16521245814808109375, 23, 24938025778349114, -24938025778349114]
[653415196418359375, 1, 65984100998443168, -65984100998443168]
[519285904937744140625, 722, 120387797187295421, -120387797187295421]
[2855347293862744140625, 3969, 51482415454847458, 51482415454847458]
[522458811158512215, 1, 196940486258290328, -196940486258290328]
[690349480374400000, 1, 29049817042402543, -29049817042402543]
[13668959732676808560, 19, 373081757560243, 373081757560243]
[415798741967606250, 1, 303600555449196293, -303600555449196293]
[647332041460280670, 1, 72067255956521873, -72067255956521873]
[12222147426760212480, 17, 7640629325430751, -7640629325430751]
[16550853521704603101, 23, 4669681118144612, 4669681118144612]
[700428060835923420, 1, 18971236580879123, -18971236580879123]
[718397059718257920, 1, 1002237698544623, -1002237698544623]
[719677384950003480, 1, 278087533200937, 278087533200937]
[719572053359674053, 1, 172755942871510, 172755942871510]
[16625140697697392133, 23, 78956857110933644, 78956857110933644]
[112228344129709671325, 156, 2053732688474617, 2053732688474617]
[243133701896722328125, 338, 23260630156931409, -23260630156931409]
[719381988191396460, 1, 17309225406083, -17309225406083]
[6482496839847388217, 9, 7903163096165330, 7903163096165330]
[43183607353399112510339, 60025, 1664525955539866764, 1664525955539866764]
[17290118821439287044, 25, 694863613980776531, -694863613980776531]
[722192736792066813, 1, 2793439375264270, 2793439375264270]
[3999353515610410991, 5, 402357028526398276, 402357028526398276]
[6874458041559371250, 11, 1038934230025456723, -1038934230025456723]
[36473176125753687320, 51, 216188042503242373, -216188042503242373]
[458826689427462048, 1, 260572607989340495, -260572607989340495]
[25862209447780312145, 36, 36165259224579403, -36165259224579403]
[32371606084448022112, 45, 1362299308092323, -1362299308092323]
[1822325479252463739904, 2535, 1351739699130706601, -1351739699130706601]
[1218292455602927348, 1, 498893158186124805, 498893158186124805]
[2751706873508678943, 5, 845289613575333772, -845289613575333772]
[640967221663753156250, 891, 17552334617909563, -17552334617909563]
[427869930118348540108, 595, 172651844648972977, -172651844648972977]
[809000876195873460, 1, 89601578779070917, 89601578779070917]
[648845445197277328, 1, 70553852219525215, -70553852219525215]
[3044565105099714971775, 4232, 67278431806609799, 67278431806609799]
[2599954178548478125, 3, 441756286298070496, 441756286298070496]
[2714918865657796875, 4, 162678324009413297, -162678324009413297]
[13651071232626953125, 19, 17515418292295192, -17515418292295192]
