N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 464525190752281, Dim = 200
[1216016328515625, 1, 751491137763344, 751491137763344]
[373727029826150, 1, 90798160926131, -90798160926131]
[144290524754376, 1, 320234665997905, -320234665997905]
[300866419259406, 1, 163658771492875, -163658771492875]
[459466581073500, 1, 5058609678781, -5058609678781]
[1043573313173600, 3, 350002259083243, -350002259083243]
[760913130140625, 2, 168137251363937, -168137251363937]
[496363037910480, 1, 31837847158199, 31837847158199]
[304295682855780, 1, 160229507896501, -160229507896501]
[943600933328625, 2, 14550551824063, 14550551824063]
[506571283968750, 1, 42046093216469, 42046093216469]
[513943863468750, 1, 49418672716469, 49418672716469]
[1033538667071625, 2, 104488285567063, 104488285567063]
[438654696480000, 1, 25870494272281, -25870494272281]
[467545749445467, 1, 3020558693186, 3020558693186]
[15357426705359648, 33, 28095410534375, 28095410534375]
[479738605420096, 1, 15213414667815, 15213414667815]
[3322842147574092, 7, 71165812308125, 71165812308125]
[1447502042213150, 3, 53926469956307, 53926469956307]
[3251618691750000, 7, 57643515967, -57643515967]
[6694743472828125, 14, 191390802296191, 191390802296191]
[3304980077519250, 7, 53303742253283, 53303742253283]
[57803114548186722, 125, 262534295848403, -262534295848403]
[3217016601562500, 7, 34659733703467, -34659733703467]
[464413168621710, 1, 112022130571, -112022130571]
[455748959733760, 1, 8776231018521, -8776231018521]
[2843744851641015036, 6125, 1471941716706089, -1471941716706089]
[12561553482283520, 27, 19373331971933, 19373331971933]
[3706744195984375, 8, 9457330033873, -9457330033873]
[5106308768870400, 11, 3468329404691, -3468329404691]
[78490639180800000, 169, 14118056335489, -14118056335489]
[261671282142270, 1, 202853908610011, -202853908610011]
[621486160780732, 1, 156960970028451, 156960970028451]
[253240756373605, 4, 1604860006635519, -1604860006635519]
[2789070256899927, 2, 1860019875395365, 1860019875395365]
[1314962064496080, 1, 850436873743799, 850436873743799]
[473269290000000, 1, 8744099247719, 8744099247719]
[246390728573561, 1, 218134462178720, -218134462178720]
[1083942855170175, 1, 619417664417894, 619417664417894]
[544814355107880, 1, 80289164355599, 80289164355599]
[634320043736808, 1, 169794852984527, 169794852984527]
[239383375000000, 1, 225141815752281, -225141815752281]
[274101875547500, 1, 190423315204781, -190423315204781]
[55663765495800, 1, 408861425256481, -408861425256481]
[1646996848753750, 3, 253421276496907, 253421276496907]
[78781862702816, 1, 385743328049465, -385743328049465]
[132798103989705, 1, 331727086762576, -331727086762576]
[208294885523725, 1, 256230305228556, -256230305228556]
[2436829617421875, 11, 2672947480853216, -2672947480853216]
[497741824126898, 1, 33216633374617, 33216633374617]
[614961164301120, 1, 150435973548839, 150435973548839]
[365518530956250, 1, 99006659796031, -99006659796031]
[63866572184415, 1, 400658618567866, -400658618567866]
[508408111908125, 2, 420642269596437, -420642269596437]
[831790634362688, 1, 367265443610407, 367265443610407]
[1563421895739255, 7, 1688254439526712, -1688254439526712]
[355823729532180, 1, 108701461220101, -108701461220101]
[269706655968750, 1, 194818534783531, -194818534783531]
[226287828718380, 1, 238237362033901, -238237362033901]
[376117753322025, 1, 88407437430256, -88407437430256]
[530819707360250, 1, 66294516607969, 66294516607969]
[753535457674389, 1, 289010266922108, 289010266922108]
[546424885861855, 1, 81899695109574, 81899695109574]
[5456016149083305, 14, 1047336521448629, -1047336521448629]
[450100016323650, 1, 14425174428631, -14425174428631]
[484075605455000, 1, 19550414702719, 19550414702719]
[172446210256320, 1, 292078980495961, -292078980495961]
[330934390068282, 1, 133590800683999, -133590800683999]
[514658415199500, 1, 50133224447219, 50133224447219]
[465973188430750, 1, 1447997678469, 1447997678469]
[1384465535590137, 2, 455415154085575, 455415154085575]
[556253081085625, 1, 91727890333344, 91727890333344]
[868079213070685, 1, 403554022318404, 403554022318404]
[558303447569175, 1, 93778256816894, 93778256816894]
[5156947651821875, 9, 976220935051346, 976220935051346]
[527068026526041, 1, 62542835773760, 62542835773760]
[6503171501029775, 14, 181169502159, -181169502159]
[569644791841125, 1, 105119601088844, 105119601088844]
[477009485391285, 1, 12484294639004, 12484294639004]
[1111682852464415, 3, 281892719792428, -281892719792428]
[1606343783646875, 4, 251756979362249, -251756979362249]
[324861660904473, 1, 139663529847808, -139663529847808]
[1394608140246475, 3, 1032567989632, 1032567989632]
[439147169278125, 1, 25378021474156, -25378021474156]
[3628978443156339, 8, 87223082861909, -87223082861909]
[10410633799226375, 18, 2049180365685317, 2049180365685317]
[530394395665849, 1, 65869204913568, 65869204913568]
[1444602583456250, 3, 51027011199407, 51027011199407]
[5364008684256950, 9, 1183281967486421, 1183281967486421]
[422004047819328, 1, 42521142932953, -42521142932953]
[63955129112109375, 143, 2471973165466808, -2471973165466808]
[552363394302896, 1, 87838203550615, 87838203550615]
[8609929247488569, 16, 1177526195452073, 1177526195452073]
[36299140417428889, 75, 1459751111007814, 1459751111007814]
[926826597571875, 2, 2223783932687, -2223783932687]
[432519078866875, 1, 32006111885406, -32006111885406]
[780713647889175, 2, 148336733615387, -148336733615387]
[439851935968425, 1, 24673254783856, -24673254783856]
[392137062279963, 1, 72388128472318, -72388128472318]
[3810529532699890, 9, 370197184070639, -370197184070639]
[4751982182421875, 11, 357794915853216, -357794915853216]
[60011677682528000, 147, 8273525358057307, -8273525358057307]
[919814085071973, 2, 9236296432589, -9236296432589]
[4135218407365682, 9, 45508309404847, -45508309404847]
[471864431838744, 1, 7339241086463, 7339241086463]
[6251961055695300, 13, 213133575915647, 213133575915647]
[2322934133780799, 5, 308180019394, 308180019394]
[61462140713498915, 121, 5254592632472914, 5254592632472914]
[108032779705703125, 264, 14601870652899059, -14601870652899059]
[6080724597416337, 13, 41897117636684, 41897117636684]
[11660673932452809, 25, 47544163645784, 47544163645784]
[8842497484946125, 19, 16518860652786, 16518860652786]
[467389674003330, 1, 2864483251049, 2864483251049]
[379231992901082035, 798, 8540890680761797, 8540890680761797]
[2248952882339592, 5, 73673071421813, -73673071421813]
[486989083405440, 1, 22463892653159, 22463892653159]
[455775274386432, 1, 8749916365849, -8749916365849]
[12071826931857875, 27, 470353218453712, -470353218453712]
[15097783339843750, 33, 231547954981523, -231547954981523]
[76702543074370521, 169, 1802214162764968, -1802214162764968]
