N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 293222843, Dim = 98
[102036672, 1, 191186171, -191186171]
[632812500, 1, 339589657, 339589657]
[168750000, 1, 124472843, -124472843]
[307546875, 1, 14324032, 14324032]
[302330880, 1, 9108037, 9108037]
[597871125, 2, 11425439, 11425439]
[154350000, 1, 138872843, -138872843]
[294122500, 1, 899657, 899657]
[238239225, 2, 348206461, -348206461]
[375070500, 1, 81847657, 81847657]
[283618125, 1, 9604718, -9604718]
[192893400, 1, 100329443, -100329443]
[354375000, 1, 61152157, 61152157]
[229635000, 1, 63587843, -63587843]
[341796875, 1, 48574032, 48574032]
[1452729852, 5, 13384363, -13384363]
[1107421875, 4, 65469497, -65469497]
[4651171875, 16, 40393613, -40393613]
[301056000, 1, 7833157, 7833157]
[1481421312, 5, 15307097, 15307097]
[293601280, 1, 378437, 378437]
[226474325, 1, 66748518, -66748518]
[210918246, 1, 82304597, -82304597]
[703060820, 3, 176607709, -176607709]
[65225655, 1, 227997188, -227997188]
[292307565, 1, 915278, -915278]
[316964340, 1, 23741497, 23741497]
[362244960, 1, 69022117, 69022117]
[310023175, 1, 16800332, 16800332]
[235812500, 1, 57410343, -57410343]
[589531250, 3, 290137279, -290137279]
[252527968, 1, 40694875, -40694875]
[120312500, 1, 172910343, -172910343]
[279510000, 1, 13712843, -13712843]
[209650518, 1, 83572325, -83572325]
[249043410, 1, 44179433, -44179433]
[1578460851, 7, 474099050, -474099050]
[105459123, 1, 187763720, -187763720]
[91514115, 1, 201708728, -201708728]
[463203125, 1, 169980282, 169980282]
[329422500, 1, 36199657, 36199657]
[179700444, 1, 113522399, -113522399]
[1409317371, 5, 56796844, -56796844]
[545640788, 1, 252417945, 252417945]
[598950000, 1, 305727157, 305727157]
[404325999, 1, 111103156, 111103156]
[245581875, 1, 47640968, -47640968]
[294698250, 1, 1475407, 1475407]
[163350000, 1, 129872843, -129872843]
[623959875, 2, 37514189, 37514189]
[192500000, 1, 100722843, -100722843]
[281224328, 1, 11998515, -11998515]
[363068244, 1, 69845401, 69845401]
[887779354, 3, 8110825, 8110825]
[514596726, 1, 221373883, 221373883]
[694645875, 2, 108200189, 108200189]
[2038093750, 9, 600911837, -600911837]
[1071794405, 4, 101096967, -101096967]
[260306816, 1, 32916027, -32916027]
[3458880600, 11, 233429327, 233429327]
[1245197016, 5, 220917199, -220917199]
[2582630848, 11, 642820425, -642820425]
[284621040, 1, 8601803, -8601803]
[295162560, 1, 1939717, 1939717]
[258720000, 1, 34502843, -34502843]
[3522990625, 12, 4316509, 4316509]
[270448640, 1, 22774203, -22774203]
[276595200, 1, 16627643, -16627643]
[1467092088, 5, 977873, 977873]
[300087018, 1, 6864175, 6864175]
[292181120, 1, 1041723, -1041723]
[300529152, 1, 7306309, 7306309]
[198067606044, 625, 14803329169, 14803329169]
[7638971032, 27, 278045729, -278045729]
[2282897925, 8, 62884819, -62884819]
[2790163684, 9, 151158097, 151158097]
[5480678665, 18, 202667491, 202667491]
[4706920449, 16, 15354961, 15354961]
[129687123005, 432, 3014854829, 3014854829]
[18455346525, 64, 310915427, -310915427]
[379778389375, 1296, 238415153, -238415153]
[3200601600, 11, 24849673, -24849673]
[74882825325, 256, 182222483, -182222483]
[99774315520, 343, 801119629, -801119629]
[5744580078125, 19602, 3174090361, -3174090361]
[593688854528, 2025, 87402547, -87402547]
[10277093376, 35, 14293871, 14293871]
