N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 45106724258927, Dim = 190
[189005827483473, 2, 98792378965619, 98792378965619]
[42257069094240, 1, 2849655164687, -2849655164687]
[348495314887720, 9, 57465203442623, -57465203442623]
[27010132811552, 1, 18096591447375, -18096591447375]
[50378105277500, 1, 5271381018573, 5271381018573]
[126929992921875, 2, 36716544404021, 36716544404021]
[53372496754863, 1, 8265772495936, 8265772495936]
[48564528474735, 1, 3457804215808, 3457804215808]
[41124983900000, 1, 3981740358927, -3981740358927]
[37119143833629, 1, 7987580425298, -7987580425298]
[160393053016625, 3, 25072880239844, 25072880239844]
[122346827102500, 3, 12973345674281, -12973345674281]
[556608963090024, 11, 60434996241827, 60434996241827]
[55055908407500, 1, 9949184148573, 9949184148573]
[280592095535752, 5, 55058474241117, 55058474241117]
[462008156640625, 11, 34165810207572, -34165810207572]
[265434136048818, 5, 39900514754183, 39900514754183]
[44019767859375, 1, 1086956399552, -1086956399552]
[360439711734375, 8, 414082337041, -414082337041]
[48419257359375, 1, 3312533100448, 3312533100448]
[45778491518760, 1, 671767259833, 671767259833]
[43711971235625, 1, 1394753023302, -1394753023302]
[48662986724352, 1, 3556262465425, 3556262465425]
[45244170107136, 1, 137445848209, 137445848209]
[43115137228800, 1, 1991587030127, -1991587030127]
[2223997362933723, 49, 13767874246300, 13767874246300]
[94959461953125, 2, 4746013435271, 4746013435271]
[409388980000000, 9, 3428461669657, 3428461669657]
[90359349609375, 2, 145901091521, 145901091521]
[934329827234375, 21, 12911382203092, -12911382203092]
[45145309233024, 1, 38584974097, 38584974097]
[35234272741078125, 784, 129399077920643, -129399077920643]
[317588602500000, 7, 1841532687511, 1841532687511]
[45295593750000, 1, 188869491073, 188869491073]
[196972709484367271, 4356, 487818612481259, 487818612481259]
[586786641819840, 13, 399226453789, 399226453789]
[767175189580800, 17, 360877179041, 360877179041]
[741539582813190161, 16524, 3803928841319587, -3803928841319587]
[14416504401230217, 320, 17647361626423, -17647361626423]
