N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 1328094533, Dim = 50
[937500000, 1, 390594533, -390594533]
[1889568000, 1, 561473467, 561473467]
[479359650, 1, 848734883, -848734883]
[1302097335, 1, 25997198, -25997198]
[1227691773, 1, 100402760, -100402760]
[885780500, 1, 442314033, -442314033]
[1331000000, 1, 2905467, 2905467]
[401749040, 1, 926345493, -926345493]
[494176221, 1, 833918312, -833918312]
[1047816000, 1, 280278533, -280278533]
[1585320275, 1, 257225742, 257225742]
[2959312125, 1, 1631217592, 1631217592]
[887409600, 1, 440684933, -440684933]
[1334161125, 1, 6066592, 6066592]
[17051274625, 9, 5098423828, 5098423828]
[1386260568, 1, 58166035, 58166035]
[1328096000, 1, 1467, 1467]
[392000000000, 297, 2444076301, -2444076301]
[203359712270616, 153125, 4763095009, -4763095009]
[1182568205, 1, 145526328, -145526328]
[2694016325, 1, 1365921792, 1365921792]
[1293127836, 1, 34966697, -34966697]
[804156925, 1, 523937608, -523937608]
[1311844248, 1, 16250285, -16250285]
[1993359375, 1, 665264842, 665264842]
[2299171875, 1, 971077342, 971077342]
[1125819695, 6, 6842747503, -6842747503]
[1858265955, 1, 530171422, 530171422]
[290811521, 1, 1037283012, -1037283012]
[1252817280, 1, 75277253, -75277253]
[556715068, 1, 771379465, -771379465]
[4734454725, 4, 577923407, -577923407]
[661644126, 1, 666450407, -666450407]
[2805602800, 1, 1477508267, 1477508267]
[1329424096, 1, 1329563, 1329563]
[3202030832, 1, 1873936299, 1873936299]
[10872201626, 9, 1080649171, -1080649171]
[4751836375, 2, 2095647309, 2095647309]
[1585596870, 1, 257502337, 257502337]
[1700379135, 1, 372284602, 372284602]
[6594932344, 5, 45540321, -45540321]
[5905156257, 4, 592778125, 592778125]
[28114734375, 22, 1103345351, -1103345351]
[14613770535, 11, 4730672, 4730672]
[11451532950, 7, 2154871219, 2154871219]
[36848468800, 21, 8958483607, 8958483607]
[17363069361, 13, 97840432, 97840432]
[31666652875, 24, 207615917, -207615917]
[5101137405, 4, 211240727, -211240727]
[11424738325, 9, 528112472, -528112472]
[1348401600, 1, 20307067, 20307067]
[9263887776, 7, 32773955, -32773955]
[10480640625, 8, 144115639, -144115639]
[35666640625, 26, 1136182767, 1136182767]
[10838953125, 8, 214196861, 214196861]
[8911032000, 7, 385629731, -385629731]
