N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 1188470172067261, Dim = 220
[1221132649997260, 1, 32662477929999, 32662477929999]
[1223398202223600, 1, 34928030156339, 34928030156339]
[1347742322297667725, 1134, 17147173393751, 17147173393751]
[427823823926540041, 360, 25438017673919, -25438017673919]
[8319489750000000, 7, 198545529173, 198545529173]
[7797400500723064000, 6561, 152298210235421, -152298210235421]
[545230602537621, 1, 643239569529640, -643239569529640]
[22066430112089363, 15, 4239377531080448, 4239377531080448]
[7429762721415125, 6, 298941689011559, 298941689011559]
[1186309214033125, 1, 2160958034136, -2160958034136]
[1188629775333000, 1, 159603265739, 159603265739]
[1188412465625000, 1, 57706442261, -57706442261]
[1997244666828125, 1, 808774494760864, 808774494760864]
[139823308036376250000, 117649, 980762835060611, 980762835060611]
[1168160947078125, 1, 20309224989136, -20309224989136]
[4892718478522875, 4, 138837790253831, 138837790253831]
[67682366740625000, 57, 60433067208877, -60433067208877]
[2598837660059333, 2, 221897315924811, 221897315924811]
[1153358537557083, 1, 35111634510178, -35111634510178]
[57914233138967739, 49, 320805292328050, -320805292328050]
[1187701050027492, 1, 769122039769, -769122039769]
[944311977836227, 1, 244158194231034, -244158194231034]
[15344001413619417, 13, 106110823254976, -106110823254976]
[1488337694921875, 1, 299867522854614, 299867522854614]
[1193135543554500, 1, 4665371487239, 4665371487239]
[3606593933350408, 3, 41183417148625, 41183417148625]
[609534503842641, 1, 578935668224620, -578935668224620]
[49481862770996093750, 41503, 156785219688560467, 156785219688560467]
[3193951307421875, 2, 817010963287353, 817010963287353]
[1216341126000000, 1, 27870953932739, 27870953932739]
[325405266757487553, 275, 1424030561009222, -1424030561009222]
[1260614783276541, 1, 72144611209280, 72144611209280]
[1226336756728941, 1, 37866584661680, 37866584661680]
[1175018927492410, 1, 13451244574851, -13451244574851]
[1196382907992272, 1, 7912735925011, 7912735925011]
[148586978812698272, 125, 28207304290647, 28207304290647]
[871633982499280, 1, 316836189567981, -316836189567981]
[1175689820416188, 1, 12780351651073, -12780351651073]
[5843753637454502, 5, 98597222881803, -98597222881803]
[343480060983758400, 289, 12181256319971, 12181256319971]
[152106444358171875, 128, 17737666437533, -17737666437533]
[7330564627857625, 6, 199743595454059, 199743595454059]
[242439937821198975, 196, 9499784096015819, 9499784096015819]
[388233830510526, 1, 800236341556735, -800236341556735]
[13069835332439067, 11, 3336560300804, -3336560300804]
[860973213823632, 1, 327496958243629, -327496958243629]
[1197529312540288, 1, 9059140473027, 9059140473027]
[1364744029904948, 1, 176273857837687, 176273857837687]
[29741805072258048, 25, 30050770576523, 30050770576523]
[188640758977734375, 154, 5616352479376181, 5616352479376181]
[1193579708446125, 1, 5109536378864, 5109536378864]
[391656791073730, 1, 796813380993531, -796813380993531]
[9026513732805426, 7, 707222528334599, 707222528334599]
[2014574708741595, 1, 826104536674334, 826104536674334]
[64315813031640625, 54, 138423740008531, 138423740008531]
[2060317042551768, 1, 871846870484507, 871846870484507]
[2689390610156250, 1, 1500920438088989, 1500920438088989]
[664884227359755, 1, 523585944707506, -523585944707506]
[688547332179541835, 578, 1611572724664977, 1611572724664977]
[19060791698520000, 17, 1143201226623437, -1143201226623437]
[1212173748989280, 1, 23703576922019, 23703576922019]
[6513519685834161, 5, 571168825497856, 571168825497856]
[1211615096572881, 1, 23144924505620, 23144924505620]
[1105752358621456, 1, 82717813445805, -82717813445805]
[42663475526116081, 36, 121450668305315, -121450668305315]
[22083565573265625, 19, 497367696012334, -497367696012334]
[2383233177268125, 2, 6292833133603, 6292833133603]
[5064196611865391, 5, 878154248470914, -878154248470914]
[1220927631000000, 1, 32457458932739, 32457458932739]
[1767312566126250, 1, 578842394058989, 578842394058989]
[2395077487065263, 3, 1170333029136520, -1170333029136520]
[1716493071668375, 2, 660447272466147, -660447272466147]
[1484173103016240, 1, 295702930948979, 295702930948979]
[1632865816558977, 2, 744074527575545, -744074527575545]
[599506852946365, 1, 588963319120896, -588963319120896]
[57895233227391820, 49, 339805203903969, -339805203903969]
[608430149423834661, 512, 66578674602971, -66578674602971]
[29888948006779875, 22, 3742604221300133, 3742604221300133]
[1196222206286250, 1, 7752034218989, 7752034218989]
[1235386506110625, 1, 46916334043364, 46916334043364]
[151537431987072824, 125, 2978660478665199, 2978660478665199]
[809631376787805, 1, 378838795279456, -378838795279456]
[230915144585125, 1, 957555027482136, -957555027482136]
[6980579611753125, 11, 6092592280986746, -6092592280986746]
[2617717354407421875, 2197, 6648386375649458, 6648386375649458]
[985627194715800, 1, 202842977351461, -202842977351461]
[22583512074240000, 19, 2578804962041, 2578804962041]
[22900859447090625, 19, 319926177812666, 319926177812666]
[1297886683661568, 1, 109416511594307, 109416511594307]
[987456421875000, 1, 201013750192261, -201013750192261]
[1225859584950000, 1, 37389412882739, 37389412882739]
[1234295001259375, 1, 45824829192114, 45824829192114]
[6660956764051135, 11, 6412215128688736, -6412215128688736]
[841148172715851, 1, 347321999351410, -347321999351410]
[20745105888033450, 17, 541112962890013, 541112962890013]
[1174123230120000, 1, 14346941947261, -14346941947261]
[2863237160100625, 3, 702173356101158, -702173356101158]
