N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 18446787952707673019, Dim = 968
[7176178394553693489839567, 389017, 64285555212655007244, 64285555212655007244]
[2268958460199262480495, 123, 3542016218699158, 3542016218699158]
[774765347277769967207, 42, 253264047700409, 253264047700409]
[479616435363604545881, 26, 51406794952613, -51406794952613]
[977679734648841613445, 53, 26844665056562, -26844665056562]
[5362936541268311083021965963422, 290724679231, 30875097646660757595033, 30875097646660757595033]
[112709873923506114973711, 6110, 467537767172379, -467537767172379]
[14148615544003272244676, 767, 70815723512960897, -70815723512960897]
[1235920396298730353288, 67, 14396532683738985, -14396532683738985]
[3744698798949656358382, 203, 844549998735525, 844549998735525]
[1309707473553999816989, 71, 14471088244967360, -14471088244967360]
[295720431758725033176664, 16031, 25911131672990925, -25911131672990925]
[155584787244681537026197459, 8434261, 236960110633918706500, -236960110633918706500]
[40269261560446892679277, 2183, 76540313957521200, -76540313957521200]
[5441612607291193617099, 295, 189838757569923506, -189838757569923506]
[18447195620214766075, 1, 407667507093056, 407667507093056]
[143940288988012474908850, 7803, 2593034502341593, 2593034502341593]
[239808108390704521065, 13, 134994495228182, -134994495228182]
[18446796273109541679, 1, 8320401868660, 8320401868660]
[8485499502266387785327, 460, 22955979141803413, -22955979141803413]
[18446782825455967125, 1, 5127251705894, -5127251705894]
[166021089693718717675, 9, 1880650339496, -1880650339496]
[2047593951182111558149, 111, 488431559853040, 488431559853040]
[18446433335927295101, 1, 354616780377918, -354616780377918]
[9758370966476965824485, 529, 20139494606797434, 20139494606797434]
[92233797446707670533, 5, 142316830694562, -142316830694562]
[55340807459407424123, 3, 443601284405066, 443601284405066]
[112213032566411831994790, 6083, 1221450091057020213, 1221450091057020213]
[41744747189574310469198, 2263, 333947403153572799, -333947403153572799]
[1604871880900470794521, 87, 1329014903241868, 1329014903241868]
[92234017601489805652, 5, 77837951440557, 77837951440557]
[178302365587076014894868167, 9665769, 25555779277034318444, -25555779277034318444]
[1567977354057230241929, 85, 378077078035314, 378077078035314]
[373621251145518950783375, 20254, 7951377741456549, 7951377741456549]
[6804112369045867124356250, 368851, 3814098310776374919, -3814098310776374919]
[31027492693903829145737, 1682, 4642550476872221, -4642550476872221]
[772459530071791247949601, 41875, 284552157440278976, 284552157440278976]
[25585702219744694660633, 1387, 7329339152183280, 7329339152183280]
[18446691091979041034, 1, 96860728631985, -96860728631985]
[11271004471045247082649, 611, 17031940858868040, 17031940858868040]
[534955251514693932637, 29, 1599113828584914, -1599113828584914]
[2859252150932777316262, 155, 18263087998317, 18263087998317]
[667386316927479061316863, 36179, 24413531840837538, -24413531840837538]
[19878737711427308909513227, 1077626, 602897249935259667, -602897249935259667]
[350488383932928042802, 19, 587168517744559, -587168517744559]
[18446741246610280175, 1, 46706097392844, -46706097392844]
[91514414399236570708213, 4961, 100634146195139046, -100634146195139046]
[14191134416145803692412375, 769301, 1997339838131222656, 1997339838131222656]
[57904481451276190836875, 3139, 14067726805230234, 14067726805230234]
[16584028781476409613250, 899, 366411992211569169, 366411992211569169]
[20531275739418830271875, 1113, 748055190201728, 748055190201728]
[18448476884320808191, 1, 1688931613135172, 1688931613135172]
[629987529946949668353445, 34151, 11274574029927081576, 11274574029927081576]
[239809932816755453843, 13, 1689431555704596, 1689431555704596]
[18447058441658948333, 1, 270488951275314, 270488951275314]
[341113539184654555667737, 18491, 13983151136973873408, 13983151136973873408]
[28426526605054251425479, 1541, 26369931727303200, 26369931727303200]
[18448881679181470671, 1, 2093726473797652, 2093726473797652]
[350472852199949696910, 19, 16118901496090451, -16118901496090451]
[4814028031255483984375, 261, 583624401218673584, -583624401218673584]
[18447225078343359375, 1, 437125635686356, 437125635686356]
[92233939625447078151, 5, 138091286944, -138091286944]
[18447008107482416250, 1, 220154774743231, 220154774743231]
[498066623177397745625, 27, 3348454290574112, 3348454290574112]
[1678658823486712890625, 91, 1119790314645896, 1119790314645896]
[977596172117386400215, 53, 83589376120269792, -83589376120269792]
[93745891488599427052183, 5082, 684887060967230375, -684887060967230375]
[350527282206883490995, 19, 38311105437703634, 38311105437703634]
[35509709639271739356257, 1925, 357169690531205318, -357169690531205318]
[2269413477573342038409767, 123025, 2610308519434752708, -2610308519434752708]
[202914364952882860375, 11, 302526901542834, -302526901542834]
[3744661753488384937585, 203, 36200911272685272, -36200911272685272]
[313593875879102657636, 17, 1519316927783687, -1519316927783687]
[351556752251132683570315, 19057, 16314236382558847232, 16314236382558847232]
[313601676958131396625, 17, 6281762100955302, 6281762100955302]
[2361298295223888122755, 128, 109437277305976323, 109437277305976323]
[55207693274852613947392, 2993, 3543067601451398475, -3543067601451398475]
[202933970219934340096, 11, 19302740149936887, 19302740149936887]
[1346615489424892178200, 73, 31122767952187, -31122767952187]
[18446461071224372382, 1, 326881483300637, -326881483300637]
[2468997981536217389683512, 133837, 135222309680555839609, 135222309680555839609]
[1457254321212433646574, 79, 41927051472521927, -41927051472521927]
[18446397984447627264, 1, 389968260045755, -389968260045755]
[313600088348077556032, 17, 4693152047114709, 4693152047114709]
[2859267480978613319552, 155, 15348308924001607, 15348308924001607]
[18446891255216414720, 1, 103302508741701, 103302508741701]
[424272610046212325775, 23, 3512866064153662, -3512866064153662]
[9826112901476266468318102, 532703, 546381294969071922255, -546381294969071922255]
[18446980192982233035, 1, 192240274560016, 192240274560016]
[8872861363272665341550, 481, 43641979725380589, -43641979725380589]
[41690381519475458670400, 2261, 17806041596590025559, -17806041596590025559]
[18446460531958741620, 1, 327420748931399, -327420748931399]
[590253511349972240563, 32, 43703136673296045, -43703136673296045]
[184467922797313418062241, 10000, 43270236687872241, 43270236687872241]
[3873846213802205101667, 210, 20743733593767677, 20743733593767677]
[147574014620768985465, 8, 289000892398687, -289000892398687]
[10860886863240939420518, 589, 4271240903879987673, -4271240903879987673]
[313498201954361321423, 17, 97193241669119900, -97193241669119900]
[28352554413255401620115, 1537, 158670056291810088, -158670056291810088]
[18447673354864415145, 1, 885402156742126, 885402156742126]
[276703007059064198587, 15, 1187768449103302, 1187768449103302]
[92233761129655651534, 5, 178633882713561, -178633882713561]
[276707826746796271057, 15, 6007456181175772, 6007456181175772]
[85291424734010857928741, 4623, 11924028643285561904, 11924028643285561904]
[498064760151524336183, 27, 1485428417164670, 1485428417164670]
[18944848066684439943054, 1027, 3160746340247459, -3160746340247459]
[8061250212926577703953, 437, 3877593324594650, 3877593324594650]
[14369950449804915321692, 779, 97365354361960109, -97365354361960109]
[7636747004479201776073, 414, 223207941774853793, -223207941774853793]
[18447076449654389459, 1, 288496946716440, 288496946716440]
[2048114537941204143125, 111, 521075190652438016, 521075190652438016]
[55337589508953640733, 3, 2774349169378324, -2774349169378324]
[18447353320757139415, 1, 565368049466396, 565368049466396]
[695517322171571100303169625, 37704147, 3082475148051233140168, -3082475148051233140168]
[20675788398240420303353, 1121, 3060896744881150946, -3060896744881150946]
[534990854590713302711, 29, 34003962190785160, 34003962190785160]
[3449048549283428035181, 187, 500797872906819372, -500797872906819372]
[17534080524568047582471727, 950521, 21192972397516778828, 21192972397516778828]
[18449815441736590935, 1, 3027489028917916, 3027489028917916]
[682279295635012151723, 37, 251858615171749980, -251858615171749980]
[47853127353233972895175121, 2594147, 552273918778944044672, -552273918778944044672]
[7932127037086171426397, 430, 8217421872028227, 8217421872028227]
[1790329385126581275525863, 97051, 50167528348901358894, 50167528348901358894]
[18448088142721842731, 1, 1300190014169712, 1300190014169712]
[867132851759718685141, 47, 133817982458053248, 133817982458053248]
[10200266086643347117521, 553, 807651203996061986, -807651203996061986]
[18444458446127313677, 1, 2329506580359342, -2329506580359342]
[572038494171106688095, 31, 188067637168824506, 188067637168824506]
[2120756199003054800407, 115, 624415558327596778, -624415558327596778]
[18445385318437968099, 1, 1402634269704920, -1402634269704920]
[17727492877223405108162, 961, 129654671331336903, 129654671331336903]
[18446425499526082201, 1, 362453181590818, -362453181590818]
[21379287831622423761971, 1159, 539405565769267050, -539405565769267050]
[910498433973752910628155, 49358, 1874204007585756353, 1874204007585756353]
[3883274767442698878310665, 210511, 22988730253923407956, 22988730253923407956]
[1125289655911713735185, 61, 35590796545681026, 35590796545681026]
[33739201227687066829311, 1829, 26062184732877560, 26062184732877560]
[18446892682774419604, 1, 104730066746585, 104730066746585]
[18447111549811953008, 1, 323597104279989, 323597104279989]
[202921403270480415209, 11, 6735790696012000, 6735790696012000]
[376027715338263042961423, 20384, 8389710269836142127, 8389710269836142127]
[166016394066268931564, 9, 4697508100125607, -4697508100125607]
[286368079323712627234497, 15523, 18589933831418960560, 18589933831418960560]
[424207866060640407337, 23, 68256851636072100, -68256851636072100]
[70870345627412861923859921, 3841966, 1586496099625754255433, -1586496099625754255433]
[18444670072167968750, 1, 2117880539704269, -2117880539704269]
[1125197550170898437500, 61, 56514944269616659, -56514944269616659]
[129122719677707421875, 7, 4795991246289258, -4795991246289258]
[36893334592096345625, 2, 241313319000413, -241313319000413]
[18445800388818359375, 1, 987563889313644, -987563889313644]
