N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 3819047, Dim = 25
[3981312, 1, 162265, 162265]
[3906250, 1, 87203, 87203]
[29296875, 8, 1255501, -1255501]
[95551488, 25, 75313, 75313]
[1640625, 1, 2178422, -2178422]
[7563150, 1, 3744103, 3744103]
[2701125, 1, 1117922, -1117922]
[2857680, 1, 961367, -961367]
[3828125, 1, 9078, 9078]
[3294172, 1, 524875, -524875]
[14706125, 2, 7068031, 7068031]
[3073280, 1, 745767, -745767]
[3628800, 1, 190247, -190247]
[102942875, 27, 171394, -171394]
[12005000, 3, 547859, 547859]
[3773385, 1, 45662, -45662]
[1127357, 1, 2691690, -2691690]
[3169320, 1, 649727, -649727]
[922383, 1, 2896664, -2896664]
[4108797, 1, 289750, 289750]
[2598750, 1, 1220297, -1220297]
[34941753, 10, 3248717, -3248717]
[739508, 1, 3079539, -3079539]
[8152375, 3, 3304766, -3304766]
[1924560, 1, 1894487, -1894487]
[7640325, 2, 2231, 2231]
[16269176, 3, 4812035, 4812035]
[7486875, 2, 151219, -151219]
[3849120, 1, 30073, 30073]
[214358881, 56, 492249, 492249]
[11789738455, 3087, 340366, 340366]
