N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 2397353600295959, Dim = 220
[5267856074706225, 2, 473148874114307, 473148874114307]
[299810548899173484, 125, 141348862178609, 141348862178609]
[4811574371098495, 2, 16867170506577, 16867170506577]
[2433386948457465, 1, 36033348161506, 36033348161506]
[2389217292765875, 1, 8136307530084, -8136307530084]
[14360845514864849, 6, 23276086910905, -23276086910905]
[2388657358196109, 1, 8696242099850, -8696242099850]
[2389226221582200, 1, 8127378713759, -8127378713759]
[19179152151684525, 8, 323349316853, 323349316853]
[1747589083474609375, 729, 81691141144736, -81691141144736]
[5728729198942750, 3, 1463331601945127, -1463331601945127]
[2175518554687500, 1, 221835045608459, -221835045608459]
[526134224036215025, 221, 3680921629191914, -3680921629191914]
[67204385738221875, 28, 78484929935023, 78484929935023]
[1242392992238255, 1, 1154960608057704, -1154960608057704]
[2047566899218750, 1, 349786701077209, -349786701077209]
[59508463717083073, 25, 425376290315902, -425376290315902]
[1311622639013858704, 539, 19449048454336803, 19449048454336803]
[13398284472833351, 5, 1411516471353556, 1411516471353556]
[2400207519531250, 1, 2853919235291, 2853919235291]
[2395469370857472, 1, 1884229438487, -1884229438487]
[2072580834471719, 1, 324772765824240, -324772765824240]
[579175006247869707, 242, 984565023752371, -984565023752371]
[1794101293359375, 1, 603252306936584, -603252306936584]
[799590281403547920, 323, 25245068507953163, 25245068507953163]
[42190463291601625, 18, 961901513725637, -961901513725637]
[14617035633893550, 7, 2164439568178163, -2164439568178163]
[7368586534375000, 3, 176525733487123, 176525733487123]
[18706775672755781632, 7803, 225529646413555, 225529646413555]
[1495315559180183521, 624, 633087404494895, -633087404494895]
[2004531934231190, 1, 392821666064769, -392821666064769]
[11912646923431072, 5, 74121078048723, -74121078048723]
[7159631219965952, 3, 32429580921925, -32429580921925]
[2397663956096640, 1, 310355800681, 310355800681]
[137193144006668750, 57, 543988789799087, 543988789799087]
[2246417444815830, 1, 150936155480129, -150936155480129]
[803980980249876, 1, 1593372620046083, -1593372620046083]
[232900077703538817, 98, 2040575125465165, -2040575125465165]
[1742579934393584, 1, 654773665902375, -654773665902375]
[19109715187617675, 8, 69113614749997, -69113614749997]
[4052074650917657, 1, 1654721050621698, 1654721050621698]
[10055015817757911, 4, 465601416574075, 465601416574075]
[302966832724161606, 125, 3297632687166731, 3297632687166731]
[1021305896513460558, 425, 2430616387677983, 2430616387677983]
[21945732909386000, 9, 369550506722369, 369550506722369]
[2146927989727339, 1, 250425610568620, -250425610568620]
[837986528367989, 1, 1559367071927970, -1559367071927970]
[6713503136697500, 3, 478557664190377, -478557664190377]
[22984214764420910, 9, 1408032361757279, 1408032361757279]
[2539604657837520, 1, 142251057541561, 142251057541561]
[2380289212372500, 1, 17064387923459, -17064387923459]
[4591222902751485, 1, 2193869302455526, 2193869302455526]
[57956748840593731800, 24167, 19904382241290647, 19904382241290647]
[2325987623334375, 1, 71365976961584, -71365976961584]
[2324879944682490, 1, 72473655613469, -72473655613469]
[1444749075000000, 1, 952604525295959, -952604525295959]
[2393207552736000, 1, 4146047559959, -4146047559959]
[16814836208776320, 7, 33361006704607, 33361006704607]
[2399646096919071, 1, 2292496623112, 2292496623112]
[2440455930123750, 1, 43102329827791, 43102329827791]
[6137197324058801, 10, 17836338678900789, -17836338678900789]
[237141126170000000, 99, 196880259299941, -196880259299941]
[7240006112129791, 2, 2445298911537873, 2445298911537873]
[97728454970000855, 38, 6629018158754413, 6629018158754413]
[2473638461890596, 1, 76284861594637, 76284861594637]
[44418464002680768, 19, 1131254402942453, -1131254402942453]
[23665329039021813, 10, 308206963937777, -308206963937777]
[1941240529940250, 1, 456113070355709, -456113070355709]
[40711355336171520, 17, 43655868859783, -43655868859783]
[3389832518661225, 1, 992478918365266, 992478918365266]
[3574269069977749, 3, 3617791730910128, -3617791730910128]
[2517217127343360, 1, 119863527047401, 119863527047401]
[1476891872251243539, 625, 21454127933730836, -21454127933730836]
[3448767404134903851, 1445, 15408548292756904, -15408548292756904]
[10084559488209375, 2, 5289852287617457, 5289852287617457]
[26902501773161625, 11, 531612169906076, 531612169906076]
[2172400699218750, 1, 224952901077209, -224952901077209]
[2185911334238632, 1, 211442266057327, -211442266057327]
[2297738706180750, 1, 99614894115209, -99614894115209]
[4455970096901455872, 1859, 710246048731909, -710246048731909]
[707206608136028, 3, 6484854192751849, -6484854192751849]
[1308013894687500, 1, 1089339705608459, -1089339705608459]
[2382944092139520, 1, 14409508156439, -14409508156439]
[2261329898168880, 1, 136023702127079, -136023702127079]
[2044502620308720, 1, 352850979987239, -352850979987239]
[529526387961838080, 221, 288757703568859, -288757703568859]
[724474772127681575, 304, 4320722362289961, -4320722362289961]
[19030646517480351, 7, 2249171315408638, 2249171315408638]
[3986504986100000, 1, 1589151385804041, 1589151385804041]
[1761932046875000, 1, 635421553420959, -635421553420959]
[2513525437500000, 1, 116171837204041, 116171837204041]
[11406968955078125, 4, 1817554553894289, 1817554553894289]
[1825428785077989, 1, 571924815217970, -571924815217970]
[1326464324453125, 1, 1070889275842834, -1070889275842834]
[2220826887922500, 1, 176526712373459, -176526712373459]
[2780358638737680, 1, 383005038441721, 383005038441721]
[2410754062500000, 1, 13400462204041, 13400462204041]
[1728307647276210, 1, 669045953019749, -669045953019749]
[21499452441796875, 11, 4871437161458674, -4871437161458674]
[343306962740009520, 143, 485397897687383, 485397897687383]
[4824129517653875, 2, 29422317061957, 29422317061957]
[16071288471771468, 7, 710186730300245, -710186730300245]
[2396810144531250, 1, 543455764709, -543455764709]
[1764480476751098535, 736, 28226933272711, 28226933272711]
[131910315504886737, 55, 55867488608992, 55867488608992]
[2326526882942535, 1, 70826717353424, -70826717353424]
[11526354836648379, 5, 460413164831416, -460413164831416]
[2444971787447280, 1, 47618187151321, 47618187151321]
[7195138635475700, 3, 3077834587823, 3077834587823]
[45568057644545436, 19, 18339238922215, 18339238922215]
[55137920260673250, 23, 1212546133807, -1212546133807]
[237310124302444375, 99, 27882126855566, -27882126855566]
[2805825927734375, 1, 408472327438416, 408472327438416]
[4793078540625375, 2, 1628659966543, -1628659966543]
[4018889989162125, 1, 1621536388866166, 1621536388866166]
[2331683186423500, 1, 65670413872459, -65670413872459]
[43786021200165530, 19, 1763697205457691, -1763697205457691]
[1487785277343750, 1, 909568322952209, -909568322952209]
[2574105964047618, 1, 176752363751659, 176752363751659]
[86320059891487961, 36, 15330280833437, 15330280833437]
[24230272242517839927, 10108, 2177949273713645, -2177949273713645]
[40753143135664128, 17, 1868069367175, -1868069367175]
[2467371008019456, 1, 70017407723497, 70017407723497]
[2401818852478500, 1, 4465252182541, 4465252182541]
[2375697054354624, 1, 21656545941335, -21656545941335]
[2397326666342400, 1, 26933953559, -26933953559]
[16443992022929602560, 6859, 543678499619779, 543678499619779]
[2264726588647419, 1, 132627011648540, -132627011648540]
[2634703790548914, 1, 237350190252955, 237350190252955]
[2467485748114695, 1, 70132147818736, 70132147818736]
[12823469096259483857, 5346, 7216749077287043, 7216749077287043]
[5163152265063015705, 2156, 5542097175071899, -5542097175071899]
[2349037487954663, 1, 48316112341296, -48316112341296]
[2285165358368750, 1, 112188241927209, -112188241927209]
[79583866127334400, 33, 471197317567753, 471197317567753]
[6376304120877600, 1, 3978950520581641, 3978950520581641]
[21361378521484375, 9, 214803881179256, -214803881179256]
[2424122662500000, 1, 26769062204041, 26769062204041]
[526972762668185113, 220, 445029396925867, -445029396925867]
[26205777892200816, 11, 165111711054733, -165111711054733]
[11508973951822165, 2, 6714266751230247, 6714266751230247]
[86581408436526410, 13, 55415811632678943, 55415811632678943]
[132942647310380544, 55, 1088199294102799, 1088199294102799]
[2049963137509950, 1, 347390462786009, -347390462786009]
[4337324727021192634, 1815, 13872057515972951, -13872057515972951]
[2389822047880800, 1, 7531552415159, -7531552415159]
[141697902507954354562, 59049, 136569764078271571, 136569764078271571]
[21509955329280220, 9, 66227073383411, -66227073383411]
[11980920795324767, 5, 5847206155028, -5847206155028]
[6460543038485148561, 2695, 324914312460944, -324914312460944]
[1197699919233125, 1, 1199653681062834, -1199653681062834]
[10674616273790625, 7, 6106858928281088, -6106858928281088]
[2407778476277031, 1, 10424875981072, 10424875981072]
[3803831761777227908, 1587, 768401892459025, -768401892459025]
[2319644188978655, 1, 77709411317304, -77709411317304]
[1980968798568375, 1, 416384801727584, -416384801727584]
[78340580050546905, 34, 3169442359515701, -3169442359515701]
[1184939070665735, 1, 1212414529630224, -1212414529630224]
[11746789039656022, 5, 239978961823773, -239978961823773]
[281439722690681995, 117, 949351456054792, 949351456054792]
[509467207743739666113, 212500, 29567680848378613, 29567680848378613]
