N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 246881389, Dim = 79
[153055008, 1, 93826381, -93826381]
[337500000, 1, 90618611, 90618611]
[3955078125, 16, 4975901, 4975901]
[285887070, 1, 39005681, 39005681]
[264710250, 1, 17828861, 17828861]
[102876480, 1, 144004909, -144004909]
[175000000, 1, 71881389, -71881389]
[240045120, 1, 6836269, -6836269]
[5931980229, 25, 240054496, -240054496]
[256048128, 1, 9166739, 9166739]
[245862400, 1, 1018989, -1018989]
[1025390625, 4, 37865069, 37865069]
[15625000000, 63, 71472493, 71472493]
[12093235200, 49, 3952861, -3952861]
[298946109, 1, 52064720, 52064720]
[199297406, 1, 47583983, -47583983]
[193700430, 1, 53180959, -53180959]
[246071287, 2, 247691491, -247691491]
[297123750, 1, 50242361, 50242361]
[187171875, 1, 59709514, -59709514]
[103984375, 1, 142897014, -142897014]
[221371920, 1, 25509469, -25509469]
[264136950, 1, 17255561, 17255561]
[818606250, 1, 571724861, 571724861]
[272820394, 1, 25939005, 25939005]
[175384539, 1, 71496850, -71496850]
[378157500, 1, 131276111, 131276111]
[148225000, 1, 98656389, -98656389]
[78440670, 1, 168440719, -168440719]
[116472510, 1, 130408879, -130408879]
[135884595, 2, 357878183, -357878183]
[234788400, 1, 12092989, -12092989]
[177829344, 1, 69052045, -69052045]
[244490400, 1, 2390989, -2390989]
[292307565, 1, 45426176, 45426176]
[213070473, 2, 280692305, -280692305]
[503284375, 1, 256402986, 256402986]
[147916692, 1, 98964697, -98964697]
[330859375, 1, 83977986, 83977986]
[373527000, 1, 126645611, 126645611]
[114604875, 1, 132276514, -132276514]
[208828125, 1, 38053264, -38053264]
[2357947691, 9, 136015190, 136015190]
[508200000, 1, 261318611, 261318611]
[133402500, 1, 113478889, -113478889]
[185530752, 1, 61350637, -61350637]
[158122800, 1, 88758589, -88758589]
[285267906, 1, 38386517, 38386517]
[1136953125, 4, 149427569, 149427569]
[1714871048, 7, 13298675, -13298675]
[1771561000, 7, 43391277, 43391277]
[281107200, 1, 34225811, 34225811]
[286963600, 1, 40082211, 40082211]
[266200000, 1, 19318611, 19318611]
[196000000, 1, 50881389, -50881389]
[1190488992, 5, 43917953, -43917953]
[19728747500, 81, 268645009, -268645009]
[242000000, 1, 4881389, -4881389]
[248396544, 1, 1515155, 1515155]
[240570000, 1, 6311389, -6311389]
[11958036750, 49, 139151311, -139151311]
[10720765125, 44, 142015991, -142015991]
[84532448880, 343, 147867547, -147867547]
[6602750000, 27, 63047503, -63047503]
[31321359531, 128, 279458261, -279458261]
[245329920, 1, 1551469, -1551469]
[15352201216, 63, 201326291, -201326291]
[109035520000, 441, 160827451, 160827451]
[1730150400, 7, 1980677, 1980677]
