N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 40072889, Dim = 40
[35831808, 1, 4241081, -4241081]
[41006250, 1, 933361, 933361]
[21008750, 1, 19064139, -19064139]
[68068350, 1, 27995461, 27995461]
[38281250, 1, 1791639, -1791639]
[78764805, 2, 1380973, -1380973]
[33756345, 1, 6316544, -6316544]
[40824000, 1, 751111, 751111]
[341796875, 9, 18859126, -18859126]
[41597325, 2, 38548453, -38548453]
[20418750, 1, 19654139, -19654139]
[50118750, 1, 10045861, 10045861]
[31127250, 1, 8945639, -8945639]
[35218260, 1, 4854629, -4854629]
[75631500, 1, 35558611, 35558611]
[47832147, 1, 7759258, 7759258]
[32795840, 1, 7277049, -7277049]
[31434480, 1, 8638409, -8638409]
[23581250, 1, 16491639, -16491639]
[39204000, 1, 868889, -868889]
[48299328, 1, 8226439, 8226439]
[9075780, 1, 30997109, -30997109]
[246071287, 5, 45706842, 45706842]
[141724880, 3, 21506213, 21506213]
[129696875, 3, 9478208, 9478208]
[994328874, 25, 7493351, -7493351]
[40429125, 1, 356236, 356236]
[97453125, 2, 17307347, 17307347]
[164725407, 5, 35639038, -35639038]
[246071287, 6, 5633953, 5633953]
[38900169, 1, 1172720, -1172720]
[46574352, 1, 6501463, 6501463]
[355888225, 9, 4767776, -4767776]
[883847888, 25, 117974337, -117974337]
[400241898, 11, 40559881, -40559881]
[58212000, 1, 18139111, 18139111]
[1302097335, 32, 19764887, 19764887]
[660342375, 16, 19176151, 19176151]
[38635520, 1, 1437369, -1437369]
[3874403907, 98, 52739215, -52739215]
[280600848, 7, 90625, 90625]
[1302328125, 32, 19995677, 19995677]
[442552320, 11, 1750541, 1750541]
[194520692025, 4802, 2090679047, 2090679047]
[96228000000, 2401, 12993511, 12993511]
