N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 44961246158502419857, Dim = 968
[1393860611951810597672, 31, 61981038235582105, 61981038235582105]
[130915779597323864123376, 2911, 33592029923319919649, 33592029923319919649]
[44962016264578763592, 1, 770106076343735, 770106076343735]
[44963311911953777452, 1, 2065753451357595, 2065753451357595]
[8227866208461989501995, 183, 41838543953331836, -41838543953331836]
[11644907960820281127019, 259, 54794231845615944, -54794231845615944]
[60832457842319022278224, 1353, 108210134751788297, -108210134751788297]
[314635525652052552727, 7, 93197457464386272, -93197457464386272]
[14361313960313256688042, 319, 18676435750984753659, 18676435750984753659]
[1933316821751112236419, 43, 16763064491817432, -16763064491817432]
[56568489795811437161377, 1258, 7242128415392981271, 7242128415392981271]
[1124031717195489080731, 25, 563232928584306, 563232928584306]
[1033962901711621789761, 23, 145759933933866950, -145759933933866950]
[2832468036297880458181, 63, 90471687771992810, -90471687771992810]
[44961271593405440875, 1, 25434903021018, 25434903021018]
[134926525115966796875, 3, 42786640459537304, 42786640459537304]
[134890734916091171875, 3, 6996440583912304, 6996440583912304]
[2742855739593505859375, 61, 219723924858248098, 219723924858248098]
[2113225827080352359375, 47, 47257630738626096, 47257630738626096]
[2787571605433385021875, 62, 25656393765009259, -25656393765009259]
[5438403728686450006849, 121, 1907056492342795848, -1907056492342795848]
[134882864805669278782, 3, 873669837980789, -873669837980789]
[764392118226985180289, 17, 50933532444042720, 50933532444042720]
[36733442333371841528009, 817, 104221875364504840, 104221875364504840]
[134885274561862007075, 3, 1536086354747504, 1536086354747504]
[1663565757295676000338, 37, 350568913534371, -350568913534371]
[44962616670087090348, 1, 1370511584670491, 1370511584670491]
[662698348663933602135037, 14739, 14541533766435862714, 14541533766435862714]
[1832179985088266990290328, 40749, 54165375451883537435, 54165375451883537435]
[44955626361586692367, 1, 5619796915727490, -5619796915727490]
[5981156204730201626935, 133, 1310465649379785954, 1310465649379785954]
[44973722471154337685, 1, 12476312651917828, 12476312651917828]
[44965532398467772685, 1, 4286239965352828, 4286239965352828]
[51494985343743719063557818, 1145249, 3163141964981224748425, 3163141964981224748425]
[44962697182576742987, 1, 1451024074323130, 1451024074323130]
[224806229502811744788, 5, 1289700354497, -1289700354497]
[31829245190662824202598685, 707941, 664376033537413385752, -664376033537413385752]
[89928926269234418211, 2, 6433952229578497, 6433952229578497]
[134883294432443403448, 3, 444043063856123, -444043063856123]
[1709156584458455362013, 38, 629230435363407447, 629230435363407447]
[44903350072910215887, 1, 57896085592203970, -57896085592203970]
[44967790295675958073, 1, 6544137173538216, 6544137173538216]
[1034113737646215331721, 23, 5076000659675010, 5076000659675010]
[18567099677940600101437, 413, 1894985520899299504, -1894985520899299504]
[19648026244187060234277, 437, 38327078497243232, -38327078497243232]
[72743254583219011923710, 1617, 40919544920599014941, 40919544920599014941]
[90364182184166164302287, 2010, 7922594423699610283, -7922594423699610283]
[1213952950964785399657, 27, 695314779936482, -695314779936482]
[44941543200683593750, 1, 19702957818826107, -19702957818826107]
[1394038793900822265625, 31, 240162987247250058, 240162987247250058]
[89920489270345215625, 2, 2003046659624089, -2003046659624089]
[1339503347296990005796875, 29791, 62862989044415836988, 62862989044415836988]
[159656038576295552073750, 3551, 1346532546540838457, -1346532546540838457]
[174352954907044122157609375, 3877851, 58469950645187277932, -58469950645187277932]
[4091591682667178320075, 91, 118282243458113088, 118282243458113088]
[44987917823906309929, 1, 26671665403890072, 26671665403890072]
[1729389840200858747586147, 38471, 314260762887846732500, -314260762887846732500]
[3192076245117717822711, 71, 172232135953987136, -172232135953987136]
[44960399964961608985, 1, 846193540810872, -846193540810872]
[4727625271586561682650585, 105149, 4800733809262893108, -4800733809262893108]
[1573643260630451217127, 35, 354917133477868, -354917133477868]
[2277240957749855075423445, 50653, 181043916767997593176, -181043916767997593176]
[2742812690268482817183, 61, 176674599835205906, 176674599835205906]
[44961364639512970506, 1, 118481010550649, 118481010550649]
[224806064540751938673, 5, 166251760160612, -166251760160612]
[494573797866886931583, 11, 90123360313156, 90123360313156]
[3551934141636321438195, 79, 4304885369730508, -4304885369730508]
