N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 95970560348802499, Dim = 270
[1439360774400733184, 15, 197630831304301, -197630831304301]
[191956460905834625, 2, 15340208229627, 15340208229627]
[1243593414765333432, 13, 4023869769099055, -4023869769099055]
[384565949873263125, 4, 683708478053129, 683708478053129]
[96007187999034000, 1, 36627650231501, 36627650231501]
[1055878962461943750, 11, 202798625116261, 202798625116261]
[95974040046601431, 1, 3479697798932, 3479697798932]
[691314229992254297, 3, 403402548945846800, 403402548945846800]
[10943655226505359435, 117, 284900334304532948, -284900334304532948]
[92381046461482779, 1, 3589513887319720, -3589513887319720]
[495544894073988759, 5, 15692092329976264, 15692092329976264]
[29596932118109840679, 308, 37999530678670987, 37999530678670987]
[210832742949433927875, 2197, 14578136885162428, -14578136885162428]
[95935467208799400, 1, 35093140003099, -35093140003099]
[95600217083437500, 1, 370343265364999, -370343265364999]
[92650762866631780720, 969, 344710111357840811, -344710111357840811]
[130380484396912750, 1, 34409924048110251, 34409924048110251]
[191970920654296875, 2, 29799956691877, 29799956691877]
[3568721070758645140625, 37179, 631607550517030304, 631607550517030304]
[95954742754620750, 1, 15817594181749, -15817594181749]
[191512978307776125, 2, 428142389828873, -428142389828873]
[95956284480382854, 1, 14275868419645, -14275868419645]
[57889554211846500, 1, 38081006136955999, -38081006136955999]
[100127585801100000, 1, 4157025452297501, 4157025452297501]
[281496974301439687, 3, 6414706744967810, -6414706744967810]
[288083596765202875, 3, 171915718795378, 171915718795378]
[89526815805621843, 1, 6443744543180656, -6443744543180656]
[663802709103505268, 7, 7991213338112225, -7991213338112225]
[91379993561590734, 1, 4590566787211765, -4590566787211765]
[523824404471310250, 3, 235912723424902753, 235912723424902753]
[2057622113076928125, 22, 53730214596726853, -53730214596726853]
[88864219626607425, 1, 7106340722195074, -7106340722195074]
[95597020263671875, 1, 373540085130624, -373540085130624]
[191921661572265625, 2, 19459125339373, -19459125339373]
[288292350495296875, 3, 380669448889378, 380669448889378]
[614855311967314687500, 6409, 220009308160528591, -220009308160528591]
[2208042743186132853, 23, 719855163675376, 719855163675376]
[94018123822426650, 1, 1952436526375849, -1952436526375849]
[8056084127933584071, 85, 101413501714628344, -101413501714628344]
[120518400971718750, 1, 24547840622916251, 24547840622916251]
[74749312156949430, 1, 21221248191853069, -21221248191853069]
[81881214379857750, 1, 14089345968944749, -14089345968944749]
[191260064272265625, 2, 681056425339373, -681056425339373]
[2198045639275110625, 23, 9277248747346852, -9277248747346852]
[220268983263587394110, 2299, 367334978309551091, -367334978309551091]
[96270677612711875, 1, 300117263909376, 300117263909376]
[9502268457448716625, 99, 1182982917269224, 1182982917269224]
[121427349716288070, 1, 25456789367485571, 25456789367485571]
[76281283796129685, 1, 19689276552672814, -19689276552672814]
[93040810505277635, 1, 2929749843524864, -2929749843524864]
[479923623682109607, 5, 70821938097112, 70821938097112]
[1202784499078072526, 13, 44832785456359961, -44832785456359961]
[96674863993399020, 1, 704303644596521, 704303644596521]
[1247876662696139025, 13, 259378161706538, 259378161706538]
[97544974018657984, 1, 1574413669855485, 1574413669855485]
[3463327315185546875, 36, 8387142628656911, 8387142628656911]
[19185965183439208869, 200, 8146886321290931, -8146886321290931]
[1820576749041700650, 19, 2863897585546831, -2863897585546831]
[2961214392251903641802, 30855, 42752689602535157, 42752689602535157]
[87354275061564511, 1, 8616285287237988, -8616285287237988]
[91001074950996210, 1, 4969485397806289, -4969485397806289]
[51798171767611472203, 540, 25930820741877257, -25930820741877257]
[275654197344095026380, 2873, 69222538014553247, -69222538014553247]
[63420052863671875, 1, 32550507485130624, -32550507485130624]
[261513685843089625, 2, 69572565145484627, 69572565145484627]
