N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 10080582527, Dim = 90
[4271484375, 1, 5809098152, -5809098152]
[10251562500, 1, 170979973, 170979973]
[164130859375, 16, 2841538943, 2841538943]
[321696484375, 32, 882156489, -882156489]
[3814697265625, 378, 4237070419, 4237070419]
[2847105800, 1, 7233476727, -7233476727]
[5358972025, 2, 14802193029, -14802193029]
[13264453125, 1, 3183870598, 3183870598]
[9128572992, 1, 952009535, -952009535]
[15345900262, 3, 14895847319, -14895847319]
[2147531232, 1, 7933051295, -7933051295]
[12057493063, 1, 1976910536, 1976910536]
[10376808750, 1, 296226223, 296226223]
[7261364880, 1, 2819217647, -2819217647]
[8270304525, 1, 1810278002, -1810278002]
[5989500000, 1, 4091082527, -4091082527]
[87003776475, 8, 6359116259, 6359116259]
[9015874560, 1, 1064707967, -1064707967]
[52089208083, 5, 1686295448, 1686295448]
[10141824000, 1, 61241473, 61241473]
[10063224864, 1, 17357663, -17357663]
[147978323955, 16, 13310996477, -13310996477]
[493882861824, 49, 65681999, -65681999]
[1219784832000, 121, 34346233, 34346233]
[10154369225, 1, 73786698, 73786698]
[37962852785, 4, 2359477323, -2359477323]
[1132371625, 1, 8948210902, -8948210902]
[6994737750, 1, 3085844777, -3085844777]
[2357947691, 1, 7722634836, -7722634836]
[4599777611, 2, 15561387443, -15561387443]
[3965611650, 1, 6114970877, -6114970877]
[13436465328, 1, 3355882801, 3355882801]
[23414850459, 2, 3253685405, 3253685405]
[11825682050, 1, 1745099523, 1745099523]
[44162493375, 4, 3840163267, 3840163267]
[3747120650, 1, 6333461877, -6333461877]
[26604703125, 1, 16524120598, 16524120598]
[6636664125, 1, 3443918402, -3443918402]
[9869198625, 1, 211383902, -211383902]
[5498981488, 1, 4581601039, -4581601039]
[9969744330, 1, 110838197, -110838197]
[54634651071, 5, 4231738436, 4231738436]
[3473229375, 1, 6607353152, -6607353152]
[6324318000, 1, 3756264527, -3756264527]
[2263818375, 1, 7816764152, -7816764152]
[26432656250, 3, 3809091331, -3809091331]
[3892809375, 1, 6187773152, -6187773152]
[14567553000, 1, 4486970473, 4486970473]
[7526908818, 1, 2553673709, -2553673709]
[7166250000, 1, 2914332527, -2914332527]
[12949041105, 1, 2868458578, 2868458578]
[10151965824, 1, 71383297, 71383297]
[10406456775, 1, 325874248, 325874248]
[7610864976, 1, 2469717551, -2469717551]
[56612647520, 7, 13951430169, -13951430169]
[25231171875, 2, 5070006821, 5070006821]
[56638646064, 5, 6235733429, 6235733429]
[9689680000, 1, 390902527, -390902527]
[686155033395, 77, 90049821184, -90049821184]
[10603271250, 1, 522688723, 522688723]
[39519982788, 5, 10882929847, -10882929847]
[7458587136, 1, 2621995391, -2621995391]
[22914760869, 2, 2753595815, 2753595815]
[6122764375, 1, 3957818152, -3957818152]
[5199218750, 1, 4881363777, -4881363777]
[67442375000, 9, 23282867743, -23282867743]
[86279210875, 8, 5634550659, 5634550659]
[66958716825, 8, 13685943391, -13685943391]
[75403272945, 8, 5241387271, -5241387271]
[75017355413, 8, 5627304803, -5627304803]
[17325140625, 2, 2836024429, -2836024429]
[113216796875, 11, 2330389078, 2330389078]
[10493768376, 1, 413185849, 413185849]
[28657228600, 3, 1584518981, -1584518981]
[135604136745, 13, 4556563894, 4556563894]
[375974556419, 36, 13073585447, 13073585447]
[81124178863, 9, 9601063880, -9601063880]
[1284775885575, 121, 65025399808, 65025399808]
[86023437500, 9, 4701805243, -4701805243]
[112780248750, 11, 1893840953, 1893840953]
[49110437376, 5, 1292475259, -1292475259]
[111083984375, 11, 197576578, 197576578]
[51069354336, 5, 666441701, 666441701]
[491270763555, 49, 2677780268, -2677780268]
[74826892800, 7, 4262815111, 4262815111]
[591275953125, 56, 26763331613, 26763331613]
[322132299489, 32, 446341375, -446341375]
[13830472434324, 1331, 413217090887, 413217090887]
[69677104640, 7, 886973049, -886973049]
[254063755008, 25, 2049191833, 2049191833]
[1288297456875, 128, 2017106581, -2017106581]
[151244713984, 15, 35976079, 35976079]
[9985876992, 1, 94705535, -94705535]
[9748273580955, 968, 9730305181, -9730305181]
[130897141760, 13, 150431091, -150431091]
[657072000000000, 65219, 373511828413, -373511828413]
