N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 32508933983, Dim = 110
[26244000000, 1, 6264933983, -6264933983]
[84742574700, 1, 52233640717, 52233640717]
[32558203125, 1, 49269142, 49269142]
[20253807000, 1, 12255126983, -12255126983]
[41691864375, 1, 9182930392, 9182930392]
[33081218100, 1, 572284117, 572284117]
[33191424000, 1, 682490017, 682490017]
[882735153125, 27, 4993935584, 4993935584]
[885842380864, 27, 8101163323, 8101163323]
[12760553883, 1, 19748380100, -19748380100]
[44841916350, 1, 12332982367, 12332982367]
[40441843750, 3, 57084958199, -57084958199]
[40521009375, 1, 8012075392, 8012075392]
[10232578125, 1, 22276355858, -22276355858]
[18595241280, 1, 13913692703, -13913692703]
[52089208083, 1, 19580274100, 19580274100]
[45299486925, 1, 12790552942, 12790552942]
[44389681875, 1, 11880747892, 11880747892]
[35955063837, 1, 3446129854, 3446129854]
[30187080000, 1, 2321853983, -2321853983]
[33202400000, 1, 693466017, 693466017]
[30883359375, 1, 1625574608, -1625574608]
[64980964125, 2, 36903841, -36903841]
[29282000000, 1, 3226933983, -3226933983]
[379778389375, 12, 10328818421, -10328818421]
[1458956660623, 50, 166490038527, -166490038527]
[122298103125, 4, 7737632807, -7737632807]
[880000000000, 27, 2258782459, 2258782459]
[162415278333, 5, 129391582, -129391582]
[23447140518494, 729, 251872355113, -251872355113]
[16176340748799, 500, 78126242701, -78126242701]
[2437066784768, 75, 1103263957, -1103263957]
[3932160000000, 121, 1421011943, -1421011943]
[52574396875, 3, 44952405074, -44952405074]
[33190281124, 1, 681347141, 681347141]
[23132734625, 1, 9376199358, -9376199358]
[47226392928, 1, 14717458945, 14717458945]
[39013316342, 1, 6504382359, 6504382359]
[39367708380, 1, 6858774397, 6858774397]
[128601180708, 1, 96092246725, 96092246725]
[72472372245, 1, 39963438262, 39963438262]
[23530693875, 1, 8978240108, -8978240108]
[23196834375, 1, 9312099608, -9312099608]
[54736014060, 1, 22227080077, 22227080077]
[63815984375, 1, 31307050392, 31307050392]
[4490907135, 1, 28018026848, -28018026848]
[30586359375, 1, 1922574608, -1922574608]
[35525490000, 1, 3016556017, 3016556017]
[74011437500, 1, 41502503517, 41502503517]
[21834256158, 1, 10674677825, -10674677825]
[31919986098, 5, 130624683817, -130624683817]
[163674229992, 5, 1129560077, 1129560077]
[99431287648, 5, 63113382267, -63113382267]
[119594217886, 3, 22067415937, 22067415937]
[32420562174, 1, 88371809, -88371809]
[151792661163, 5, 10752008752, -10752008752]
[44624387808, 1, 12115453825, 12115453825]
[12700362675, 1, 19808571308, -19808571308]
[31275457213, 3, 66251344736, -66251344736]
[6804404750, 1, 25704529233, -25704529233]
[39155074608, 1, 6646140625, 6646140625]
[27147656250, 1, 5361277733, -5361277733]
[6918467094, 1, 25590466889, -25590466889]
[10727016300, 1, 21781917683, -21781917683]
[14428931517, 1, 18080002466, -18080002466]
[5022375435, 1, 27486558548, -27486558548]
[10277016750, 1, 22231917233, -22231917233]
[94633914375, 2, 29616046409, 29616046409]
[61773872875, 2, 3243995091, -3243995091]
[58681186564, 1, 26172252581, 26172252581]
[31954308750, 1, 554625233, -554625233]
[31238593750, 1, 1270340233, -1270340233]
[26644117500, 1, 5864816483, -5864816483]
[197484762475, 6, 2431158577, 2431158577]
[118795909375, 4, 11239826557, -11239826557]
[28420622685, 1, 4088311298, -4088311298]
[52787109375, 1, 20278175392, 20278175392]
[38014691000, 1, 5505757017, 5505757017]
[181561972207, 4, 51526236275, 51526236275]
[124954375000, 3, 27427573051, 27427573051]
[39933756135, 1, 7424822152, 7424822152]
[32705480808, 1, 196546825, 196546825]
[190893214512, 5, 28348544597, 28348544597]
[134910108333, 4, 4874372401, 4874372401]
[29311282000, 1, 3197651983, -3197651983]
[415209609375, 13, 7406532404, -7406532404]
[368853172688, 15, 118780837057, -118780837057]
[30037109375, 1, 2471824608, -2471824608]
[239160735000, 7, 11598197119, 11598197119]
[4037746453650, 121, 104165441707, 104165441707]
[537569794125, 16, 17426850397, 17426850397]
[32960928000, 1, 451994017, 451994017]
[284944034375, 9, 7636371472, -7636371472]
[547969296875, 16, 27826353147, 27826353147]
[2354732307785, 72, 14089061009, 14089061009]
[288891995392, 9, 3688410455, -3688410455]
[33859617792, 1, 1350683809, 1350683809]
[168378642432, 5, 5833972517, 5833972517]
[32506110000, 1, 2823983, -2823983]
[97540625000, 3, 13823051, 13823051]
[1258210937500, 39, 9637487837, -9637487837]
[96553545088, 3, 973256861, -973256861]
[73598621279183, 2187, 2501582658362, 2501582658362]
[11373291015625, 351, 37344812408, -37344812408]
[2088303705873, 65, 24777003022, -24777003022]
[892531250000, 27, 14790032459, 14790032459]
[14374305034375, 441, 37865147872, 37865147872]
[6130663996600, 189, 13524526187, -13524526187]
[433881982464, 13, 11265840685, 11265840685]
[4859245156480, 147, 80431860979, 80431860979]
[1430280449325, 44, 112645927, -112645927]
[2065422734375, 64, 15149040537, -15149040537]
[22592197265625, 686, 291068553287, 291068553287]
[4648735526400, 143, 42033169, -42033169]
[44839742717952, 1375, 139958491327, 139958491327]
[40618896484375, 1248, 47746873591, 47746873591]
